"ap 06:10"|610|"Fangorn Forest – cont. passim, 586–99 passim, 600–51, 657, 713, 715, 721, 730, 735, 736, 764, 767, 1020, 1281, 1284, 1435; name (Fangorn) 1486; East End 610"|"The Return of the King"|"J. R. R. Tolkien"
"~ 00:00"|"about midnight"|"4Boromir sets out from Minas Tirith.
   10Gandalf imprisoned in Orthanc.
  
  
  
   All trace of Gollum is lost. It is thought that at about this time, being hunted both by the Elves and Sauron’s servants, he took refuge in Moria; but when he had at last discovered the way to the West-gate he could not get out.
  
  
  
   18Gandalf escapes from Orthanc in the early hours. The Black Riders cross the Fords of Isen.
   19Gandalf comes to Edoras as a beggar, and is refused admittance.
   20Gandalf gains entrance to Edoras. Théoden commands him to go: ‘Take any horse, only be gone ere tomorrow is old!’
   21Gandalf meets Shadowfax, but the horse will not allow him to come near. He follows Shadowfax far over the fields.
   22The Black Riders reach Sarn Ford at evening; they drive off the guard of Rangers. Gandalf overtakes Shadowfax.
   23Four Riders enter the Shire before dawn. The others pursue the Rangers eastward, and then return to watch the Greenway. A Black Rider comes to Hobbiton at nightfall. Frodo leaves Bag End. Gandalf having tamed Shadowfax rides from Rohan.
   24Gandalf crosses the Isen.
   26The Old Forest. Frodo comes to Bombadil.
   27Gandalf crosses Greyflood. Second night with Bombadil.
   28The Hobbits captured by a Barrow-wight. Gandalf reaches Sarn Ford.
   29Frodo reaches Bree at night. Gandalf visits the Gaffer.
   30Crickhollow and the Inn at Bree are raided in the early hours. Frodo leaves Bree. Gandalf comes to Crickhollow, and reaches Bree at night.
  
  
  
   1Gandalf leaves Bree.
   3He is attacked at night on Weathertop.
   6The camp under Weathertop attacked at night. Frodo wounded.
   9Glorfindel leaves Rivendell.
   11He drives the Riders off the Bridge of Mitheithel.
   13Frodo crosses the Bridge.
   18Glorfindel finds Frodo at dusk. Gandalf reaches Rivendell.
   20Escape across the Ford of Bruinen.
   24Frodo recovers and wakes. Boromir arrives in Rivendell at night.
   25Council of Elrond.
  
  
  
   25The Company of the Ring leaves Rivendell at dusk.
  
  
  
  
   8The Company reach Hollin.
   11, 12Snow on Caradhras.
   13Attack by Wolves in the early hours. The Company reaches West-gate of Moria at nightfall. Gollum begins to trail the Ring-bearer.
   14Night in Hall Twenty-one.
   15The Bridge of Khazad-dûm, and fall of Gandalf. The Company reaches Nimrodel late at night.
   17The Company comes to Caras Galadhon at evening.
   23Gandalf pursues the Balrog to the peak of Zirakzigil.
   25He casts down the Balrog, and passes away. His body lies on the peak.
  
  
  
   15The Mirror of Galadriel. Gandalf returns to life, and lies in a trance.
   
   16Farewell to Lórien. Gollum in hiding on the west bank observes the departure.
   17Gwaihir bears Gandalf to Lórien.
   23The boats are attacked at night near Sarn Gebir.
   25The Company pass the Argonath and camp at Parth Galen. First Battle of the Fords of Isen; Théodred son of Théoden slain.
   26Breaking of the Fellowship. Death of Boromir; his horn is heard in Minas Tirith. Meriadoc and Peregrin captured. Frodo and Samwise enter the eastern Emyn Muil. Aragorn sets out in pursuit of the Orcs at evening. Éomer hears of the descent of the Orc-band from Emyn Muil.
   27Aragorn reaches the west-cliff at sunrise. Éomer against Théoden’s orders sets out from Eastfold about midnight to pursue the Orcs.
   28Éomer overtakes the Orcs just outside Fangorn Forest.
   29Meriadoc and Pippin escape and meet Treebeard. The Rohirrim attack at sunrise and destroy the Orcs. Frodo descends from the Emyn Muil and meets Gollum. Faramir sees the funeral boat of Boromir.
   30Entmoot begins. Éomer returning to Edoras meets Aragorn.
  
  
  
   1Frodo begins the passage of the Dead Marshes at dawn. Entmoot continues. Aragorn meets Gandalf the White. They set out for Edoras. Faramir leaves Minas Tirith on an errand to Ithilien.
   2Frodo comes to the end of the Marshes. Gandalf comes to Edoras and heals Théoden. The Rohirrim ride west against Saruman. Second Battle of Fords of Isen. Erkenbrand defeated. Entmoot ends in afternoon. The Ents march on Isengard and reach it at night.
   3Théoden retreats to Helm’s Deep. Battle of the Hornburg begins. Ents complete the destruction of Isengard.
   4Théoden and Gandalf set out from Helm’s Deep for Isengard. Frodo reaches the slag-mounds on the edge of the Desolation of the Morannon.
   
   5Théoden reaches Isengard at noon. Parley with Saruman in Orthanc. Winged Nazgûl passes over the camp at Dol Baran. Gandalf sets out with Peregrin for Minas Tirith. Frodo hides in sight of the Morannon, and leaves at dusk.
   6Aragorn overtaken by the Dúnedain in the early hours. Théoden sets out from the Hornburg for Harrowdale. Aragorn sets out later.
   7Frodo taken by Faramir to Henneth Annûn. Aragorn comes to Dunharrow at nightfall.
   8Aragorn takes the ‘Paths of the Dead’ at daybreak; he reaches Erech at midnight. Frodo leaves Henneth Annûn.
   9Gandalf reaches Minas Tirith. Faramir leaves Henneth Annûn. Aragorn sets out from Erech and comes to Calembel. At dusk Frodo reaches the Morgul-road. Théoden comes to Dunharrow. Darkness begins to flow out of Mordor.
   10The Dawnless Day. The Muster of Rohan: the Rohirrim ride from Harrowdale. Faramir rescued by Gandalf outside the gates of the City. Aragorn crosses Ringló. An army from the Morannon takes Cair Andros and passes into Anórien. Frodo passes the Cross-roads, and sees the Morgul-host set forth.
   11Gollum visits Shelob, but seeing Frodo asleep nearly repents. Denethor sends Faramir to Osgiliath. Aragorn reaches Linhir and crosses into Lebennin. Eastern Rohan is invaded from the north. First assault on Lórien.
   12Gollum leads Frodo into Shelob’s lair. Faramir retreats to the Causeway Forts. Théoden camps under Min-Rimmon. Aragorn drives the enemy towards Pelargir. The Ents defeat the invaders of Rohan.
   13Frodo captured by the Orcs of Cirith Ungol. The Pelennor is overrun. Faramir is wounded. Aragorn reaches Pelargir and captures the fleet. Théoden in Drúadan Forest.
   14Samwise finds Frodo in the Tower. Minas Tirith is besieged. The Rohirrim led by the Wild Men come to the Grey Wood.
   15In the early hours the Witch-king breaks the Gates of the City. Denethor burns himself on a pyre. The horns of the Rohirrim are heard at cockcrow. Battle of the Pelennor. Théoden is slain. Aragorn raises the standard of Arwen. Frodo and Samwise escape and begin their journey north along the Morgai. Battle under the trees in Mirkwood; Thranduil repels the forces of Dol Guldur. Second assault on Lórien.
   16Debate of the commanders. Frodo from the Morgai looks out over the camp to Mount Doom.
   17Battle of Dale. King Brand and King Dáin Ironfoot fall. Many Dwarves and Men take refuge in Erebor and are besieged. Shagrat brings Frodo’s cloak, mail-shirt, and sword to Barad-dûr.
   18The Host of the West marches from Minas Tirith. Frodo comes in sight of the Isenmouthe; he is overtaken by Orcs on the road from Durthang to Udûn.
   19The Host comes to Morgul Vale. Frodo and Samwise escape and begin their journey along the road to the Barad-dûr.
   22The dreadful nightfall. Frodo and Samwise leave the road and turn south to Mount Doom. Third assault on Lórien.
   23The Host passes out of Ithilien. Aragorn dismisses the faint-hearted. Frodo and Samwise cast away their arms and gear.
   24Frodo and Samwise make their last journey to the feet of Mount Doom. The Host camps in the Desolation of the Morannon.
   25The Host is surrounded on the Slag-hills. Frodo and Samwise reach the Sammath Naur. Gollum seizes the Ring and falls in the Cracks of Doom. Downfall of Barad-dûr and passing of Sauron.
  
  After the fall of the Dark Tower and the passing of Sauron the Shadow was lifted from the hearts of all who opposed him, but
   fear and despair fell upon his servants and allies. Three times Lórien had been assailed from Dol Guldur, but besides the
   valour of the elven people of that land, the power that dwelt there was too great for any to overcome, unless Sauron had come

   there himself. Though grievous harm was done to the fair woods on the borders, the assaults were driven back; and when the
   Shadow passed, Celeborn came forth and led the host of Lórien over Anduin in many boats. They took Dol Guldur, and Galadriel
   threw down its walls and laid bare its pits, and the forest was cleansed."|"The Return of the King"|"J. R. R. Tolkien"
12:00|noon|"4Boromir sets out from Minas Tirith.
   10Gandalf imprisoned in Orthanc.
  
  
  
   All trace of Gollum is lost. It is thought that at about this time, being hunted both by the Elves and Sauron’s servants, he took refuge in Moria; but when he had at last discovered the way to the West-gate he could not get out.
  
  
  
   18Gandalf escapes from Orthanc in the early hours. The Black Riders cross the Fords of Isen.
   19Gandalf comes to Edoras as a beggar, and is refused admittance.
   20Gandalf gains entrance to Edoras. Théoden commands him to go: ‘Take any horse, only be gone ere tomorrow is old!’
   21Gandalf meets Shadowfax, but the horse will not allow him to come near. He follows Shadowfax far over the fields.
   22The Black Riders reach Sarn Ford at evening; they drive off the guard of Rangers. Gandalf overtakes Shadowfax.
   23Four Riders enter the Shire before dawn. The others pursue the Rangers eastward, and then return to watch the Greenway. A Black Rider comes to Hobbiton at nightfall. Frodo leaves Bag End. Gandalf having tamed Shadowfax rides from Rohan.
   24Gandalf crosses the Isen.
   26The Old Forest. Frodo comes to Bombadil.
   27Gandalf crosses Greyflood. Second night with Bombadil.
   28The Hobbits captured by a Barrow-wight. Gandalf reaches Sarn Ford.
   29Frodo reaches Bree at night. Gandalf visits the Gaffer.
   30Crickhollow and the Inn at Bree are raided in the early hours. Frodo leaves Bree. Gandalf comes to Crickhollow, and reaches Bree at night.
  
  
  
   1Gandalf leaves Bree.
   3He is attacked at night on Weathertop.
   6The camp under Weathertop attacked at night. Frodo wounded.
   9Glorfindel leaves Rivendell.
   11He drives the Riders off the Bridge of Mitheithel.
   13Frodo crosses the Bridge.
   18Glorfindel finds Frodo at dusk. Gandalf reaches Rivendell.
   20Escape across the Ford of Bruinen.
   24Frodo recovers and wakes. Boromir arrives in Rivendell at night.
   25Council of Elrond.
  
  
  
   25The Company of the Ring leaves Rivendell at dusk.
  
  
  
  
   8The Company reach Hollin.
   11, 12Snow on Caradhras.
   13Attack by Wolves in the early hours. The Company reaches West-gate of Moria at nightfall. Gollum begins to trail the Ring-bearer.
   14Night in Hall Twenty-one.
   15The Bridge of Khazad-dûm, and fall of Gandalf. The Company reaches Nimrodel late at night.
   17The Company comes to Caras Galadhon at evening.
   23Gandalf pursues the Balrog to the peak of Zirakzigil.
   25He casts down the Balrog, and passes away. His body lies on the peak.
  
  
  
   15The Mirror of Galadriel. Gandalf returns to life, and lies in a trance.
   
   16Farewell to Lórien. Gollum in hiding on the west bank observes the departure.
   17Gwaihir bears Gandalf to Lórien.
   23The boats are attacked at night near Sarn Gebir.
   25The Company pass the Argonath and camp at Parth Galen. First Battle of the Fords of Isen; Théodred son of Théoden slain.
   26Breaking of the Fellowship. Death of Boromir; his horn is heard in Minas Tirith. Meriadoc and Peregrin captured. Frodo and Samwise enter the eastern Emyn Muil. Aragorn sets out in pursuit of the Orcs at evening. Éomer hears of the descent of the Orc-band from Emyn Muil.
   27Aragorn reaches the west-cliff at sunrise. Éomer against Théoden’s orders sets out from Eastfold about midnight to pursue the Orcs.
   28Éomer overtakes the Orcs just outside Fangorn Forest.
   29Meriadoc and Pippin escape and meet Treebeard. The Rohirrim attack at sunrise and destroy the Orcs. Frodo descends from the Emyn Muil and meets Gollum. Faramir sees the funeral boat of Boromir.
   30Entmoot begins. Éomer returning to Edoras meets Aragorn.
  
  
  
   1Frodo begins the passage of the Dead Marshes at dawn. Entmoot continues. Aragorn meets Gandalf the White. They set out for Edoras. Faramir leaves Minas Tirith on an errand to Ithilien.
   2Frodo comes to the end of the Marshes. Gandalf comes to Edoras and heals Théoden. The Rohirrim ride west against Saruman. Second Battle of Fords of Isen. Erkenbrand defeated. Entmoot ends in afternoon. The Ents march on Isengard and reach it at night.
   3Théoden retreats to Helm’s Deep. Battle of the Hornburg begins. Ents complete the destruction of Isengard.
   4Théoden and Gandalf set out from Helm’s Deep for Isengard. Frodo reaches the slag-mounds on the edge of the Desolation of the Morannon.
   
   5Théoden reaches Isengard at noon. Parley with Saruman in Orthanc. Winged Nazgûl passes over the camp at Dol Baran. Gandalf sets out with Peregrin for Minas Tirith. Frodo hides in sight of the Morannon, and leaves at dusk.
   6Aragorn overtaken by the Dúnedain in the early hours. Théoden sets out from the Hornburg for Harrowdale. Aragorn sets out later.
   7Frodo taken by Faramir to Henneth Annûn. Aragorn comes to Dunharrow at nightfall.
   8Aragorn takes the ‘Paths of the Dead’ at daybreak; he reaches Erech at midnight. Frodo leaves Henneth Annûn.
   9Gandalf reaches Minas Tirith. Faramir leaves Henneth Annûn. Aragorn sets out from Erech and comes to Calembel. At dusk Frodo reaches the Morgul-road. Théoden comes to Dunharrow. Darkness begins to flow out of Mordor.
   10The Dawnless Day. The Muster of Rohan: the Rohirrim ride from Harrowdale. Faramir rescued by Gandalf outside the gates of the City. Aragorn crosses Ringló. An army from the Morannon takes Cair Andros and passes into Anórien. Frodo passes the Cross-roads, and sees the Morgul-host set forth.
   11Gollum visits Shelob, but seeing Frodo asleep nearly repents. Denethor sends Faramir to Osgiliath. Aragorn reaches Linhir and crosses into Lebennin. Eastern Rohan is invaded from the north. First assault on Lórien.
   12Gollum leads Frodo into Shelob’s lair. Faramir retreats to the Causeway Forts. Théoden camps under Min-Rimmon. Aragorn drives the enemy towards Pelargir. The Ents defeat the invaders of Rohan.
   13Frodo captured by the Orcs of Cirith Ungol. The Pelennor is overrun. Faramir is wounded. Aragorn reaches Pelargir and captures the fleet. Théoden in Drúadan Forest.
   14Samwise finds Frodo in the Tower. Minas Tirith is besieged. The Rohirrim led by the Wild Men come to the Grey Wood.
   15In the early hours the Witch-king breaks the Gates of the City. Denethor burns himself on a pyre. The horns of the Rohirrim are heard at cockcrow. Battle of the Pelennor. Théoden is slain. Aragorn raises the standard of Arwen. Frodo and Samwise escape and begin their journey north along the Morgai. Battle under the trees in Mirkwood; Thranduil repels the forces of Dol Guldur. Second assault on Lórien.
   16Debate of the commanders. Frodo from the Morgai looks out over the camp to Mount Doom.
   17Battle of Dale. King Brand and King Dáin Ironfoot fall. Many Dwarves and Men take refuge in Erebor and are besieged. Shagrat brings Frodo’s cloak, mail-shirt, and sword to Barad-dûr.
   18The Host of the West marches from Minas Tirith. Frodo comes in sight of the Isenmouthe; he is overtaken by Orcs on the road from Durthang to Udûn.
   19The Host comes to Morgul Vale. Frodo and Samwise escape and begin their journey along the road to the Barad-dûr.
   22The dreadful nightfall. Frodo and Samwise leave the road and turn south to Mount Doom. Third assault on Lórien.
   23The Host passes out of Ithilien. Aragorn dismisses the faint-hearted. Frodo and Samwise cast away their arms and gear.
   24Frodo and Samwise make their last journey to the feet of Mount Doom. The Host camps in the Desolation of the Morannon.
   25The Host is surrounded on the Slag-hills. Frodo and Samwise reach the Sammath Naur. Gollum seizes the Ring and falls in the Cracks of Doom. Downfall of Barad-dûr and passing of Sauron.
  
  After the fall of the Dark Tower and the passing of Sauron the Shadow was lifted from the hearts of all who opposed him, but
   fear and despair fell upon his servants and allies. Three times Lórien had been assailed from Dol Guldur, but besides the
   valour of the elven people of that land, the power that dwelt there was too great for any to overcome, unless Sauron had come

   there himself. Though grievous harm was done to the fair woods on the borders, the assaults were driven back; and when the
   Shadow passed, Celeborn came forth and led the host of Lórien over Anduin in many boats. They took Dol Guldur, and Galadriel
   threw down its walls and laid bare its pits, and the forest was cleansed."|"The Return of the King"|"J. R. R. Tolkien"
00:00|midnight|"4Boromir sets out from Minas Tirith.
   10Gandalf imprisoned in Orthanc.
  
  
  
   All trace of Gollum is lost. It is thought that at about this time, being hunted both by the Elves and Sauron’s servants, he took refuge in Moria; but when he had at last discovered the way to the West-gate he could not get out.
  
  
  
   18Gandalf escapes from Orthanc in the early hours. The Black Riders cross the Fords of Isen.
   19Gandalf comes to Edoras as a beggar, and is refused admittance.
   20Gandalf gains entrance to Edoras. Théoden commands him to go: ‘Take any horse, only be gone ere tomorrow is old!’
   21Gandalf meets Shadowfax, but the horse will not allow him to come near. He follows Shadowfax far over the fields.
   22The Black Riders reach Sarn Ford at evening; they drive off the guard of Rangers. Gandalf overtakes Shadowfax.
   23Four Riders enter the Shire before dawn. The others pursue the Rangers eastward, and then return to watch the Greenway. A Black Rider comes to Hobbiton at nightfall. Frodo leaves Bag End. Gandalf having tamed Shadowfax rides from Rohan.
   24Gandalf crosses the Isen.
   26The Old Forest. Frodo comes to Bombadil.
   27Gandalf crosses Greyflood. Second night with Bombadil.
   28The Hobbits captured by a Barrow-wight. Gandalf reaches Sarn Ford.
   29Frodo reaches Bree at night. Gandalf visits the Gaffer.
   30Crickhollow and the Inn at Bree are raided in the early hours. Frodo leaves Bree. Gandalf comes to Crickhollow, and reaches Bree at night.
  
  
  
   1Gandalf leaves Bree.
   3He is attacked at night on Weathertop.
   6The camp under Weathertop attacked at night. Frodo wounded.
   9Glorfindel leaves Rivendell.
   11He drives the Riders off the Bridge of Mitheithel.
   13Frodo crosses the Bridge.
   18Glorfindel finds Frodo at dusk. Gandalf reaches Rivendell.
   20Escape across the Ford of Bruinen.
   24Frodo recovers and wakes. Boromir arrives in Rivendell at night.
   25Council of Elrond.
  
  
  
   25The Company of the Ring leaves Rivendell at dusk.
  
  
  
  
   8The Company reach Hollin.
   11, 12Snow on Caradhras.
   13Attack by Wolves in the early hours. The Company reaches West-gate of Moria at nightfall. Gollum begins to trail the Ring-bearer.
   14Night in Hall Twenty-one.
   15The Bridge of Khazad-dûm, and fall of Gandalf. The Company reaches Nimrodel late at night.
   17The Company comes to Caras Galadhon at evening.
   23Gandalf pursues the Balrog to the peak of Zirakzigil.
   25He casts down the Balrog, and passes away. His body lies on the peak.
  
  
  
   15The Mirror of Galadriel. Gandalf returns to life, and lies in a trance.
   
   16Farewell to Lórien. Gollum in hiding on the west bank observes the departure.
   17Gwaihir bears Gandalf to Lórien.
   23The boats are attacked at night near Sarn Gebir.
   25The Company pass the Argonath and camp at Parth Galen. First Battle of the Fords of Isen; Théodred son of Théoden slain.
   26Breaking of the Fellowship. Death of Boromir; his horn is heard in Minas Tirith. Meriadoc and Peregrin captured. Frodo and Samwise enter the eastern Emyn Muil. Aragorn sets out in pursuit of the Orcs at evening. Éomer hears of the descent of the Orc-band from Emyn Muil.
   27Aragorn reaches the west-cliff at sunrise. Éomer against Théoden’s orders sets out from Eastfold about midnight to pursue the Orcs.
   28Éomer overtakes the Orcs just outside Fangorn Forest.
   29Meriadoc and Pippin escape and meet Treebeard. The Rohirrim attack at sunrise and destroy the Orcs. Frodo descends from the Emyn Muil and meets Gollum. Faramir sees the funeral boat of Boromir.
   30Entmoot begins. Éomer returning to Edoras meets Aragorn.
  
  
  
   1Frodo begins the passage of the Dead Marshes at dawn. Entmoot continues. Aragorn meets Gandalf the White. They set out for Edoras. Faramir leaves Minas Tirith on an errand to Ithilien.
   2Frodo comes to the end of the Marshes. Gandalf comes to Edoras and heals Théoden. The Rohirrim ride west against Saruman. Second Battle of Fords of Isen. Erkenbrand defeated. Entmoot ends in afternoon. The Ents march on Isengard and reach it at night.
   3Théoden retreats to Helm’s Deep. Battle of the Hornburg begins. Ents complete the destruction of Isengard.
   4Théoden and Gandalf set out from Helm’s Deep for Isengard. Frodo reaches the slag-mounds on the edge of the Desolation of the Morannon.
   
   5Théoden reaches Isengard at noon. Parley with Saruman in Orthanc. Winged Nazgûl passes over the camp at Dol Baran. Gandalf sets out with Peregrin for Minas Tirith. Frodo hides in sight of the Morannon, and leaves at dusk.
   6Aragorn overtaken by the Dúnedain in the early hours. Théoden sets out from the Hornburg for Harrowdale. Aragorn sets out later.
   7Frodo taken by Faramir to Henneth Annûn. Aragorn comes to Dunharrow at nightfall.
   8Aragorn takes the ‘Paths of the Dead’ at daybreak; he reaches Erech at midnight. Frodo leaves Henneth Annûn.
   9Gandalf reaches Minas Tirith. Faramir leaves Henneth Annûn. Aragorn sets out from Erech and comes to Calembel. At dusk Frodo reaches the Morgul-road. Théoden comes to Dunharrow. Darkness begins to flow out of Mordor.
   10The Dawnless Day. The Muster of Rohan: the Rohirrim ride from Harrowdale. Faramir rescued by Gandalf outside the gates of the City. Aragorn crosses Ringló. An army from the Morannon takes Cair Andros and passes into Anórien. Frodo passes the Cross-roads, and sees the Morgul-host set forth.
   11Gollum visits Shelob, but seeing Frodo asleep nearly repents. Denethor sends Faramir to Osgiliath. Aragorn reaches Linhir and crosses into Lebennin. Eastern Rohan is invaded from the north. First assault on Lórien.
   12Gollum leads Frodo into Shelob’s lair. Faramir retreats to the Causeway Forts. Théoden camps under Min-Rimmon. Aragorn drives the enemy towards Pelargir. The Ents defeat the invaders of Rohan.
   13Frodo captured by the Orcs of Cirith Ungol. The Pelennor is overrun. Faramir is wounded. Aragorn reaches Pelargir and captures the fleet. Théoden in Drúadan Forest.
   14Samwise finds Frodo in the Tower. Minas Tirith is besieged. The Rohirrim led by the Wild Men come to the Grey Wood.
   15In the early hours the Witch-king breaks the Gates of the City. Denethor burns himself on a pyre. The horns of the Rohirrim are heard at cockcrow. Battle of the Pelennor. Théoden is slain. Aragorn raises the standard of Arwen. Frodo and Samwise escape and begin their journey north along the Morgai. Battle under the trees in Mirkwood; Thranduil repels the forces of Dol Guldur. Second assault on Lórien.
   16Debate of the commanders. Frodo from the Morgai looks out over the camp to Mount Doom.
   17Battle of Dale. King Brand and King Dáin Ironfoot fall. Many Dwarves and Men take refuge in Erebor and are besieged. Shagrat brings Frodo’s cloak, mail-shirt, and sword to Barad-dûr.
   18The Host of the West marches from Minas Tirith. Frodo comes in sight of the Isenmouthe; he is overtaken by Orcs on the road from Durthang to Udûn.
   19The Host comes to Morgul Vale. Frodo and Samwise escape and begin their journey along the road to the Barad-dûr.
   22The dreadful nightfall. Frodo and Samwise leave the road and turn south to Mount Doom. Third assault on Lórien.
   23The Host passes out of Ithilien. Aragorn dismisses the faint-hearted. Frodo and Samwise cast away their arms and gear.
   24Frodo and Samwise make their last journey to the feet of Mount Doom. The Host camps in the Desolation of the Morannon.
   25The Host is surrounded on the Slag-hills. Frodo and Samwise reach the Sammath Naur. Gollum seizes the Ring and falls in the Cracks of Doom. Downfall of Barad-dûr and passing of Sauron.
  
  After the fall of the Dark Tower and the passing of Sauron the Shadow was lifted from the hearts of all who opposed him, but
   fear and despair fell upon his servants and allies. Three times Lórien had been assailed from Dol Guldur, but besides the
   valour of the elven people of that land, the power that dwelt there was too great for any to overcome, unless Sauron had come

   there himself. Though grievous harm was done to the fair woods on the borders, the assaults were driven back; and when the
   Shadow passed, Celeborn came forth and led the host of Lórien over Anduin in many boats. They took Dol Guldur, and Galadriel
   threw down its walls and laid bare its pits, and the forest was cleansed."|"The Return of the King"|"J. R. R. Tolkien"
"ap 04:46"|"4 hours, 46 minutes"|"In Númenor calculation started with S.A. 1. The Deficit caused by deducting 1 day from the last year of a century was not adjusted until the last year of a millennium, leaving a
   millennial deficit of 4 hours, 46 minutes, 40 seconds. This addition was made in Númenor in S.A. 1000, 2000, 3000. After the Downfall in S.A.
   3319 the system was maintained by the exiles, but it was much dislocated by the beginning of the Third Age with a new numeration:
   S.A. 3442 became T.A. 1. By making T.A. 4 a leap year instead of T.A. 3 (S.A. 3444) 1 more short year of only 365 days was
   intruded causing a deficit of 5 hours, 48 minutes, 46 seconds. The millennial additions were made 441 years late: in T.A.
   1000 (S.A. 4441) and 2000 (S.A. 5441). To reduce the errors so caused, and the accumulation of the millennial deficits, Mardil
   the Steward issued a revised calendar to take effect in T.A. 2060, after a special addition of 2 days to 2059 (S.A. 5500),
   which concluded 5½ millennia since the beginning of the Númenórean system. But this still left about 8 hours deficit."|"The Return of the King"|"J. R. R. Tolkien"
"ap 05:48"|"5 hours, 48 minutes"|"In Númenor calculation started with S.A. 1. The Deficit caused by deducting 1 day from the last year of a century was not adjusted until the last year of a millennium, leaving a
   millennial deficit of 4 hours, 46 minutes, 40 seconds. This addition was made in Númenor in S.A. 1000, 2000, 3000. After the Downfall in S.A.
   3319 the system was maintained by the exiles, but it was much dislocated by the beginning of the Third Age with a new numeration:
   S.A. 3442 became T.A. 1. By making T.A. 4 a leap year instead of T.A. 3 (S.A. 3444) 1 more short year of only 365 days was
   intruded causing a deficit of 5 hours, 48 minutes, 46 seconds. The millennial additions were made 441 years late: in T.A.
   1000 (S.A. 4441) and 2000 (S.A. 5441). To reduce the errors so caused, and the accumulation of the millennial deficits, Mardil
   the Steward issued a revised calendar to take effect in T.A. 2060, after a special addition of 2 days to 2059 (S.A. 5500),
   which concluded 5½ millennia since the beginning of the Númenórean system. But this still left about 8 hours deficit."|"The Return of the King"|"J. R. R. Tolkien"
"> 12:00"|"after noon"|"I have translated these names also into our own names, naturally beginning with Sunday and Monday, which occur in the Shire
   week with the same names as ours, and re-naming the others in order. It must be noted, however, that the associations of the
   names were quite different in the Shire. The last day of the week, Friday (Highday), was the chief day, and one of holiday
   (after noon) and evening feasts. Saturday thus corresponds more nearly to our Monday, and Thursday to our Saturday."|"The Return of the King"|"J. R. R. Tolkien"
"ap 09:00"|"nine o’clock"|"Pippin never forgot that hour in the great hall under the piercing eye of the Lord of Gondor, stabbed ever and anon by his
   shrewd questions, and all the while conscious of Gandalf at his side, watching and listening, and (so Pippin felt) holding
   in check a rising wrath and impatience. When the hour was over and Denethor again rang the gong, Pippin felt worn out. ‘It
   cannot be more than nine o’clock,’ he thought. ‘I could now eat three breakfasts on end.’"|"The Return of the King"|"J. R. R. Tolkien"
"ap 09:00"|"Nine o’clock"|"‘Nine o’clock we’d call it in the Shire,’ said Pippin aloud to himself. ‘Just the time for a nice breakfast by the open window
   in spring sunshine. And how I should like breakfast! 
   Do these people ever have it, or is it over? And when do they have dinner, and where?’"|"The Return of the King"|"J. R. R. Tolkien"
12:00|noon|"Beregond laughed. ‘At the table small men may do the greater deeds, we say. But you have broken your fast as well as any man
   in the Citadel, and with greater honour. This is a fortress and a tower of guard and is now in posture of war. We rise ere
   the Sun, and take a morsel in the grey light, and go to our duties at the opening hour. But do not despair!’ He laughed again,
   seeing the dismay in Pippin’s face. ‘Those who have had heavy duty take somewhat to refresh their strength in the mid-morning. Then there is the nuncheon, at noon or after as duties allow;
   and men gather for the daymeal, and such mirth as there still may be, about the hour of sunset."|"The Return of the King"|"J. R. R. Tolkien"
"< 12:00"|"before noon"|"‘That is the road to the vales of Tumladen and Lossarnach, and the mountain-villages, and then on to Lebennin,’ said Beregond.
   ‘There go the last of the wains that bear away to refuge the aged, the children, and the women that must go with them. They
   must all be gone from the Gate and the road clear for a league before noon: that was the order. It is a sad necessity.’ He
   sighed. ‘Few, maybe, of those now sundered will meet again. And there were always too few children 
   in this city; but now there are none – save some young lads that will not depart, and may find some task to do: my own son
   is one of them.’"|"The Return of the King"|"J. R. R. Tolkien"
