"> 12:00"|"past noon"|"The water was calm, ruffled only by small ripples as the breeze touched it or the sliding wrinkles that the Lady told him signaled hidden snags or bars. The autumn had been rainy and the water was high; Gawen looked at the waving water grass and imagined sunken meadows. Hills and hummocks poked through the surface, linked in some places by thick reeds. It was past noon when at last the Lady sent the boat sliding up the pebbled shore of one island which—at least to Gawen—seemed no different from any other. Then she stepped out on the dry ground and motioned to the two children to follow her onto the land."|"Lady of Avalon"|"Marion Zimmer Bradley"
00:00|midnight|"It was Caillean who answered. “They wait for midnight, braving the cold and the dangers of the darkness. Be still now, my children, and pray to the Lady to kindle a light within your own darkness, for, though you may not think so, your darkness is deeper and more dangerous than this night that wraps the world.”"|"Lady of Avalon"|"Marion Zimmer Bradley"
00:00|midnight|"“Listen!” The door was pulled open, revealing a rectangle of midnight-blue frosted with stars, and, faint as if the stars themselves were singing, came a breath of song."|"Lady of Avalon"|"Marion Zimmer Bradley"
00:00|midnight|"Father Joseph, his own midnight services completed, had accepted her invitation with one of his monks, not the sour-faced Brother Paulus but a younger man, Alanus, beside him."|"Lady of Avalon"|"Marion Zimmer Bradley"
12:00|noon|"The recruits in Gawen’s cohort found it hard to sleep, but even the veterans were not allowed to sleep long. The scouts that the prefect had sent out were returning, and the news was bad. The “idea” of a barrier had not been enough after all. The Novantae and Selgovae warriors had broken the border, and their Brigante cousins were rising to join them. By noon, the sun rode bloody through a smoke-palled sky."|"Lady of Avalon"|"Marion Zimmer Bradley"
12:00|noon|"There were a few groans from the regulars when the recruits joined them, but to Gawen’s relief, Bufo’s sharp order to “save it for the enemy” quieted them down. By noon they were moving out, and Gawen began to bless the long training marches that had hardened him to the weight of his pack and the steady tramp up the Roman road."|"Lady of Avalon"|"Marion Zimmer Bradley"
12:00|midday|"Gawen woke in the dawning, cold, stiff, but, oddly, a little more hopeful. His snares had caught a young hare, whose meat eased his hunger. It was at midday, when he had ventured down to drink at a small spring, that his luck turned evil once more. He should have moved on as soon as he had eased his thirst, but the afternoon had turned warm and he was very tired. Sitting with his back against a willow, he allowed his eyes to close."|"Lady of Avalon"|"Marion Zimmer Bradley"
00:00|midnight|"He looked out again. The moon had disappeared. A practiced glance at the positions of the stars told him that midnight was near. Soon they will come, and I will be waiting. Why? Was it only his desire for Sianna that had held him, or some deeper compulsion of the soul?"|"Lady of Avalon"|"Marion Zimmer Bradley"
12:00|"high noon"|"“Gawen, son of Eilan, I call you now, at the hour of nights high noon. Is it still your desire to be admitted to the sacred mysteries?” The voice was that of Brannos, and it warmed Gawen’s heart to hear it. The old man seemed ancient as the hills, his fingers were now so twisted by joint ache that he could no longer play the harp at all, but at need he could still act with the power of a priest at the rituals."|"Lady of Avalon"|"Marion Zimmer Bradley"
"< 00:00"|"toward midnight"|"Caillean glanced upward. The stars were wheeling toward midnight, and the fire was beginning to burn low. The astral tides were turning; the time for the working of the deepest magics was near."|"Lady of Avalon"|"Marion Zimmer Bradley"
12:00|noon|"“We had better eat,” murmured Sianna. “The feast they are preparing down below won’t be ready until after they dance around the tree at noon.”"|"Lady of Avalon"|"Marion Zimmer Bradley"
