08:00|"8 A.M"|"Abraham Lincoln Birthplace National Historic Site, 3 miles S of Hodgenville, KY, on U.S. 31E. (502) 358-3874. Located on the site Sinking Spring Farm, where Lincoln was born. An original Kentucky log cabin from the early nineteenth century has been reconstructed inside the Lincoln National Birthplace Memorial. Hours: 8 A.M.-6:45 P.M. lune through August; 8 A.M.-4:45 P.M. rest of year. Closed: Christmas. For further information write: Superintendent, Route 1, Hodgenville, KY 42748."|Lincoln|"Russell Freedman"
18:45|"6:45 P.M."|"Abraham Lincoln Birthplace National Historic Site, 3 miles S of Hodgenville, KY, on U.S. 31E. (502) 358-3874. Located on the site Sinking Spring Farm, where Lincoln was born. An original Kentucky log cabin from the early nineteenth century has been reconstructed inside the Lincoln National Birthplace Memorial. Hours: 8 A.M.-6:45 P.M. lune through August; 8 A.M.-4:45 P.M. rest of year. Closed: Christmas. For further information write: Superintendent, Route 1, Hodgenville, KY 42748."|Lincoln|"Russell Freedman"
16:45|"4:45 P.M."|"Abraham Lincoln Birthplace National Historic Site, 3 miles S of Hodgenville, KY, on U.S. 31E. (502) 358-3874. Located on the site Sinking Spring Farm, where Lincoln was born. An original Kentucky log cabin from the early nineteenth century has been reconstructed inside the Lincoln National Birthplace Memorial. Hours: 8 A.M.-6:45 P.M. lune through August; 8 A.M.-4:45 P.M. rest of year. Closed: Christmas. For further information write: Superintendent, Route 1, Hodgenville, KY 42748."|Lincoln|"Russell Freedman"
08:00|"8 A.M"|"Lincoln Boyhood National Memorial and adjacent Lincoln State Park, 4 miles W of Santa Claus, IN, on State Route 162. (812) 937-4757. Site of the farm where Abraham did most of his growing up. Includes a reconstructed log cabin, a living pioneer farmstead with crops and animals of Lincoln's time, the graves of Lincoln's mother and sister, a school attended by Lincoln, and the Lincoln family church. Hours: 8 A.M.-5 P.M. Closed: Thanksgiving, Christmas, New Year's Day. For further information write: Superintendent, P.O. Box 1816, Lincoln City, IN 47522."|Lincoln|"Russell Freedman"
17:00|"5 P.M."|"Lincoln Boyhood National Memorial and adjacent Lincoln State Park, 4 miles W of Santa Claus, IN, on State Route 162. (812) 937-4757. Site of the farm where Abraham did most of his growing up. Includes a reconstructed log cabin, a living pioneer farmstead with crops and animals of Lincoln's time, the graves of Lincoln's mother and sister, a school attended by Lincoln, and the Lincoln family church. Hours: 8 A.M.-5 P.M. Closed: Thanksgiving, Christmas, New Year's Day. For further information write: Superintendent, P.O. Box 1816, Lincoln City, IN 47522."|Lincoln|"Russell Freedman"
09:00|"9 A.M."|"Lincoln's New Salem State Park, 20 miles NW of Springfield, IL, near Petersburg on State Route 97. (217) 632-7953. Reconstructed logcabin village where Lincoln spent his early adult years. Features twenty-three timber buildings, including a sawmill and gristmill, the Rutledge tavern, the Lincoln-Berry store, the village school, and a stagecoach stop, along with oxen and farm animals, and craftspeople and guides in period clothing. Hours: 9 A.M.— 5 P.M. summer; 8 A.M.—4 P.M. winter. Closed: Thanksgiving, Christmas, New Year's Day. For further information write: Superintendent, R.R. 1, Petersburg, IL 62675."|Lincoln|"Russell Freedman"
17:00|"5 P.M."|"Lincoln's New Salem State Park, 20 miles NW of Springfield, IL, near Petersburg on State Route 97. (217) 632-7953. Reconstructed logcabin village where Lincoln spent his early adult years. Features twenty-three timber buildings, including a sawmill and gristmill, the Rutledge tavern, the Lincoln-Berry store, the village school, and a stagecoach stop, along with oxen and farm animals, and craftspeople and guides in period clothing. Hours: 9 A.M.— 5 P.M. summer; 8 A.M.—4 P.M. winter. Closed: Thanksgiving, Christmas, New Year's Day. For further information write: Superintendent, R.R. 1, Petersburg, IL 62675."|Lincoln|"Russell Freedman"
08:00|"8 A.M."|"Lincoln's New Salem State Park, 20 miles NW of Springfield, IL, near Petersburg on State Route 97. (217) 632-7953. Reconstructed logcabin village where Lincoln spent his early adult years. Features twenty-three timber buildings, including a sawmill and gristmill, the Rutledge tavern, the Lincoln-Berry store, the village school, and a stagecoach stop, along with oxen and farm animals, and craftspeople and guides in period clothing. Hours: 9 A.M.— 5 P.M. summer; 8 A.M.—4 P.M. winter. Closed: Thanksgiving, Christmas, New Year's Day. For further information write: Superintendent, R.R. 1, Petersburg, IL 62675."|Lincoln|"Russell Freedman"
16:00|"4 P.M."|"Lincoln's New Salem State Park, 20 miles NW of Springfield, IL, near Petersburg on State Route 97. (217) 632-7953. Reconstructed logcabin village where Lincoln spent his early adult years. Features twenty-three timber buildings, including a sawmill and gristmill, the Rutledge tavern, the Lincoln-Berry store, the village school, and a stagecoach stop, along with oxen and farm animals, and craftspeople and guides in period clothing. Hours: 9 A.M.— 5 P.M. summer; 8 A.M.—4 P.M. winter. Closed: Thanksgiving, Christmas, New Year's Day. For further information write: Superintendent, R.R. 1, Petersburg, IL 62675."|Lincoln|"Russell Freedman"
08:30|"8:30 A.M."|"Lincoln Home National Historic Site, 8th and Jackson, Springfield, IL. (217) 492-4150. The only home that Lincoln ever owned. The family lived here for seventeen years, until their departure for Washington. Furnished with period pieces, including many associated with the Lincoln family. Hours: 8:30 A.M.—5 P.M. summer; hours may be reduced in winter. Closed: Thanksgiving, Christmas, New Year's Day."|Lincoln|"Russell Freedman"
