"ap 07:30"|seven-thirty|"Ana was soon joined at Theranos by Justin Maxwell and Mike Bauerly, two other recruits hired to work on the design of the Edison’s software and other parts of the system that patients would interact with, like the packaging for the cartridges. Ana and Justin had worked together at Apple and knew Mike through his girlfriend, who had been a colleague of theirs there. It wasn’t long before the Apple transplants began noticing that Elizabeth and Theranos had their quirks. Ana would arrive early every morning for a daily seven-thirty meeting with Elizabeth to update her on design issues. When she pulled her car into the parking lot, Ana would find her jamming to loud hip-hop music in her black Infiniti SUV, the blond streaks in her hair bouncing wildly."|"Bad Blood"|"John Carreyrou"
"ap 08:30"|"eight thirty"|"One of the assistants kept track of when employees arrived and when they left so that Elizabeth knew exactly how many hours everyone put in. To entice people into working longer days, she had dinner catered every evening. The food often didn’t arrive until eight or eight thirty, which meant that the earliest you got out of the office was ten."|"Bad Blood"|"John Carreyrou"
23:17|"11:17 p.m."|"At 11:17 p.m. on Christmas Eve, Esquivel sent Avie an email accusing him of acting in “bad faith” and warned him that Theranos was giving serious consideration to suing him for breach of his fiduciary duties as a board member and for public disparagement of the company."|"Bad Blood"|"John Carreyrou"
16:00|"four that afternoon"|"But at four that afternoon, Matt got pulled into a conference room with Michael Esquivel and Gary Frenzel. Elizabeth was conferenced in by phone from Switzerland, where she was conducting a second demonstration for Novartis some fourteen months after the faked one that had led to Henry Mosley’s departure. She’d just learned that the landlord would charge them rent for the month of February if they didn’t clear the premises by midnight. There was no way she was going to let that happen, she said."|"Bad Blood"|"John Carreyrou"
00:00|midnight|"But at four that afternoon, Matt got pulled into a conference room with Michael Esquivel and Gary Frenzel. Elizabeth was conferenced in by phone from Switzerland, where she was conducting a second demonstration for Novartis some fourteen months after the faked one that had led to Henry Mosley’s departure. She’d just learned that the landlord would charge them rent for the month of February if they didn’t clear the premises by midnight. There was no way she was going to let that happen, she said."|"Bad Blood"|"John Carreyrou"
23:59|"11:59 p.m."|"After several crazed hours, Matt was finally able to talk some sense into her by pointing out that even if they somehow cleared the building by 11:59 p.m. that night, they would still have to conduct walkthroughs with state officials to demonstrate that they had properly disposed of any hazardous materials. Theranos was a biotech company, after all. Those walkthroughs would take weeks to schedule and no new tenant would be able to move in until they had occurred."|"Bad Blood"|"John Carreyrou"
"ap 07:30"|7:30|"At 7:30 on the evening of Friday, September 23, 2005, Fuisz sent an email to his longtime patent attorney, Alan Schiavelli of the law firm Antonelli, Terry, Stout & Kraus, with the subject line “Blood Analysis—deviation from norm (individualized)”:"|"Bad Blood"|"John Carreyrou"
"< 08:00"|"A FEW MINUTES BEFORE eight a.m."|"A FEW MINUTES BEFORE eight a.m. on August 24, 2010, a group of rental cars pulled up in front of 3200 Hillview Avenue in Palo Alto. A stocky man with glasses and dimples on his wide nose stepped out of one of them. His name was Kevin Hunter and he headed a small lab consulting firm called Colaborate. He was part of a Walgreens delegation led by Dr. J that had flown to California for a two-day meeting with Theranos. The drugstore chain had hired him a few weeks before to help evaluate and set up a partnership it was negotiating with the startup."|"Bad Blood"|"John Carreyrou"
16:00|"four in the afternoon"|"The cloak-and-dagger theatrics struck Hunter as silly. It was four in the afternoon and the restaurant was empty. There was no one to conceal their presence from. What’s more, if there was anything likely to draw attention, it was Sunny’s Lamborghini in the parking lot."|"Bad Blood"|"John Carreyrou"
16:00|"four p.m."|"But Big Del didn’t want to be fixed. Shortly after the meeting, he emailed his resignation notice to Elizabeth’s assistant. He heard nothing back and dutifully worked the last two weeks of his notice period. Then, at four p.m. on a Friday, Big Del picked up his belongings and walked toward the building’s exit. Sunny and Elizabeth suddenly came running down the stairs behind him. He couldn’t leave without signing a nondisclosure agreement, they said."|"Bad Blood"|"John Carreyrou"
15:30|"3:30 p.m."|"What was valid for vaccines was also valid for medical devices. If Theranos wanted to try out its blood-testing machines on troops in Afghanistan, Shoemaker felt certain that it would need to put together an IRB-approved study protocol. But since Elizabeth had been so adamant and he was also getting second-guessed by CENTCOM, he decided to bring in Jeremiah Kelly, an army lawyer who’d previously worked at the FDA. He scheduled another meeting with Elizabeth so Kelly could hear from her directly and provide a second opinion. They agreed to meet at 3:30 p.m. on December 9, 2011, at the Washington, D.C., offices of Theranos’s law firm, Zuckerman Spaeder."|"Bad Blood"|"John Carreyrou"
