12:00|noon|"The morning of the twenty-second of November dawned, and the noon passed, and with every moment Alard’s restlessness and abstraction grew, until with evening it possessed him utterly, and he could no longer resist. He presented himself before Roger after supper, when his mood might be mellow from good food and wine."|"A Rare Benedictine"|"Ellis Peters"
"~ 16:30"|Vespers|"It was fair, he considered; it was enough. He turned and went away without another word. He went, just as he was, to Vespers in the parish church, for no better reason or so he thought then than that the dimness within the open doorway beckoned him as he turned his back on a duty completed, inviting him to quietness and thought, and the bell was just sounding. The little prior was there, ardent in thanksgiving, one more creature who had fumbled his way to the completion of a task, and the turning of a leaf in the book of his life."|"A Rare Benedictine"|"Ellis Peters"
"~ 16:30"|Vespers|"“You, my son! And surely it was you at Vespers? I felt that I should know the shape of you. You are the most welcome of guests here, and if there is anything I and mine can do to repay you for what you did for us, you need but name it.”"|"A Rare Benedictine"|"Ellis Peters"
"> 07:30"|"after Prime"|"“Surely, my son, we leave after Prime. Abbot Godefrid will be waiting to hear how we have fared.”"|"A Rare Benedictine"|"Ellis Peters"
"~ 16:30"|Vespers|"FitzHamon and his party appeared at Vespers in full glory, to see the candlesticks reverently installed upon the altar in the Lady Chapel. Abbot, prior and brothers had no difficulty in sufficiently admiring the gift, for they were indeed things of beauty, two fluted stems ending in the twin cups of flowering lilies. Even the veins of the leaves showed delicate and perfect as in the living plant. Brother Oswald the almoner, himself a skilled silversmith when he had time to exercise his craft, stood gazing at the new embellishments of the altar with a face and mind curiously torn between rapture and regret, and ventured to delay the donor for a moment, as he was being ushered away to sup with Abbot Heribert in his lodging."|"A Rare Benedictine"|"Ellis Peters"
"~ 18:00"|Compline|"It was a good question, Cadfael thought, as they went to supper in the refectory. Ask Brother Jordan, for instance, the value of light. Jordan was old and frail, and gradually going blind. As yet he could distinguish shapes, but like shadows in a dream, though he knew his way about cloisters and precincts so well that his gathering darkness was no hindrance to his freedom of movement. But as every day the twilight closed in on him by a shade, so did his profound love of light grow daily more devoted, until he had forsaken other duties, and taken upon himself to tend all the lamps and candles on both altars, for the sake of being always irradiated by light, and sacred light, at that. As soon as Compline was over, this evening, he would be busy devoutly trimming the wicks of candle and lamp, to have the steady flames smokeless and immaculate for the Matins of Christmas Day. Doubtful if he would go to his bed at all until Matins and Lauds were over. The very old need little sleep, and sleep is itself a kind of darkness. But what Jordan treasured was the flame of light, and not the vessel holding it; and would not those splendid two-pound candles shine upon him just as well from plain wooden sconces?"|"A Rare Benedictine"|"Ellis Peters"
02:30|Matins|"It was a good question, Cadfael thought, as they went to supper in the refectory. Ask Brother Jordan, for instance, the value of light. Jordan was old and frail, and gradually going blind. As yet he could distinguish shapes, but like shadows in a dream, though he knew his way about cloisters and precincts so well that his gathering darkness was no hindrance to his freedom of movement. But as every day the twilight closed in on him by a shade, so did his profound love of light grow daily more devoted, until he had forsaken other duties, and taken upon himself to tend all the lamps and candles on both altars, for the sake of being always irradiated by light, and sacred light, at that. As soon as Compline was over, this evening, he would be busy devoutly trimming the wicks of candle and lamp, to have the steady flames smokeless and immaculate for the Matins of Christmas Day. Doubtful if he would go to his bed at all until Matins and Lauds were over. The very old need little sleep, and sleep is itself a kind of darkness. But what Jordan treasured was the flame of light, and not the vessel holding it; and would not those splendid two-pound candles shine upon him just as well from plain wooden sconces?"|"A Rare Benedictine"|"Ellis Peters"
05:00|Lauds|"It was a good question, Cadfael thought, as they went to supper in the refectory. Ask Brother Jordan, for instance, the value of light. Jordan was old and frail, and gradually going blind. As yet he could distinguish shapes, but like shadows in a dream, though he knew his way about cloisters and precincts so well that his gathering darkness was no hindrance to his freedom of movement. But as every day the twilight closed in on him by a shade, so did his profound love of light grow daily more devoted, until he had forsaken other duties, and taken upon himself to tend all the lamps and candles on both altars, for the sake of being always irradiated by light, and sacred light, at that. As soon as Compline was over, this evening, he would be busy devoutly trimming the wicks of candle and lamp, to have the steady flames smokeless and immaculate for the Matins of Christmas Day. Doubtful if he would go to his bed at all until Matins and Lauds were over. The very old need little sleep, and sleep is itself a kind of darkness. But what Jordan treasured was the flame of light, and not the vessel holding it; and would not those splendid two-pound candles shine upon him just as well from plain wooden sconces?"|"A Rare Benedictine"|"Ellis Peters"
"~ 17:45"|"about a quarter of an hour before Compline"|"Cadfael was in the warming-house with the rest of the brothers, about a quarter of an hour before Compline, when a lay brother from the guest-hall came enquiring for him."|"A Rare Benedictine"|"Ellis Peters"
"~ 16:30"|Vespers|"Cadfael went with him without comment, but with some curiosity, for at Vespers the Lady FitzHamon had looked in blooming health and sparkling spirits. Nor did she seem greatly changed when he met her in the hall, though she was still swathed in the cloak she had worn to cross the great court to and from the abbot’s house, and had the hood so drawn that it shadowed her face. The silent maid hovered at her shoulder."|"A Rare Benedictine"|"Ellis Peters"
"~ 18:00"|Compline|"He put out his lamp and closed the door, and led them back to the great court just in time to take leave of them and still be prompt for Compline. Clearly the lady had no intention of attending. As for the lord, he was just being helped away from the abbot’s lodging, his grooms supporting him one on either side, though as yet he was not gravely drunk. They headed for the guest-hall at an easy roll. No doubt only the hour of Compline had concluded the drawn-out supper, probably to the abbot’s considerable relief. He was no drinker, and could have very little in common with Hamo FitzHamon. Apart, of course, from a deep devotion to the altar of St Mary."|"A Rare Benedictine"|"Ellis Peters"
"~ 18:00"|Compline|"The lady and her maid had already vanished within the guest-hall. The younger groom carried in his free hand a large jug, full, to judge by the way he held it. The young wife could drain her draught and clutch her herbal pillow with confidence; the drinking was not yet at an end, and her sleep would be solitary and untroubled. Brother Cadfael went to Compline mildly sad, and obscurely comforted."|"A Rare Benedictine"|"Ellis Peters"
"< 00:00"|"before midnight"|"Cadfael went to bed, and slept without dreams, and rose at the Matin bell, some minutes before midnight. The procession of the brothers wound its way down the night stairs into the church, and into the soft, full glow of the lights before St Mary’s altar."|"A Rare Benedictine"|"Ellis Peters"
02:30|Matins|"Through loss, disorder, consternation and suspicion, Prior Robert would still hold fast to the order of the day. Let Hamo FitzHamon sleep in happy ignorance till morning, still Matins and Lauds must be properly celebrated. Christmas was larger than all the giving and losing of silverware. Grimly he saw the services of the church observed, and despatched the brethren back to their beds until Prime, to sleep or lie wakeful and fearful, as they might. Nor would he allow any pestering of Brother Jerome by others, though possibly he did try in private to extort something more satisfactory from the old man. Clearly the theft, whether he knew anything about it or not, troubled Jordan not at all. To everything he said only: “I am enjoined to silence until midnight of the third day.” And when they asked by whom?, he smiled seraphically, and was silent."|"A Rare Benedictine"|"Ellis Peters"
05:00|Lauds|"Through loss, disorder, consternation and suspicion, Prior Robert would still hold fast to the order of the day. Let Hamo FitzHamon sleep in happy ignorance till morning, still Matins and Lauds must be properly celebrated. Christmas was larger than all the giving and losing of silverware. Grimly he saw the services of the church observed, and despatched the brethren back to their beds until Prime, to sleep or lie wakeful and fearful, as they might. Nor would he allow any pestering of Brother Jerome by others, though possibly he did try in private to extort something more satisfactory from the old man. Clearly the theft, whether he knew anything about it or not, troubled Jordan not at all. To everything he said only: “I am enjoined to silence until midnight of the third day.” And when they asked by whom?, he smiled seraphically, and was silent."|"A Rare Benedictine"|"Ellis Peters"
"> 18:00"|"after Compline"|"It was Robert himself who broke the news to Hamo FitzHamon, in the morning, before Mass. The uproar, though vicious, was somewhat tempered by the after-effects of Cadfael’s poppy draught, which dulled the edges of energy, if not of malice. His body-servant, the older groom Sweyn, was keeping well back out of reach, even with Robert still present, and the lady sat somewhat apart, too, as though still frail and possibly a little out of temper. She exclaimed dutifully, and apparently sincerely, at the outrage done to her husband, and echoed his demand that the thief should be hunted down, and the candlesticks recovered. Prior Robert was just as zealous in the matter. No effort should be spared to regain the princely gift, of that they could be sure. He had already made certain of various circumstances which should limit the hunt. There had been a brief fall of snow after Compline, just enough to lay down a clean film of white on the ground. No single footprint had as yet marked this pure layer. He had only to look for himself at the paths leading from both parish doors of the church to see that no one had left by that way. The porter would swear that no one had passed the gatehouse; and on the one side of the abbey grounds not walled, the Meole brook was full and frozen, but the snow on both sides of it was virgin. Within the enclave, of course, tracks and cross-tracks were trodden out everywhere; but no one had left the enclave since Compline, when the candlesticks were still in their place."|"A Rare Benedictine"|"Ellis Peters"
"~ 18:00"|Compline|"It was Robert himself who broke the news to Hamo FitzHamon, in the morning, before Mass. The uproar, though vicious, was somewhat tempered by the after-effects of Cadfael’s poppy draught, which dulled the edges of energy, if not of malice. His body-servant, the older groom Sweyn, was keeping well back out of reach, even with Robert still present, and the lady sat somewhat apart, too, as though still frail and possibly a little out of temper. She exclaimed dutifully, and apparently sincerely, at the outrage done to her husband, and echoed his demand that the thief should be hunted down, and the candlesticks recovered. Prior Robert was just as zealous in the matter. No effort should be spared to regain the princely gift, of that they could be sure. He had already made certain of various circumstances which should limit the hunt. There had been a brief fall of snow after Compline, just enough to lay down a clean film of white on the ground. No single footprint had as yet marked this pure layer. He had only to look for himself at the paths leading from both parish doors of the church to see that no one had left by that way. The porter would swear that no one had passed the gatehouse; and on the one side of the abbey grounds not walled, the Meole brook was full and frozen, but the snow on both sides of it was virgin. Within the enclave, of course, tracks and cross-tracks were trodden out everywhere; but no one had left the enclave since Compline, when the candlesticks were still in their place."|"A Rare Benedictine"|"Ellis Peters"
"< 16:30"|"before Vespers"|"It was well that he had moved it, for the searchers, driven by an increasingly angry Hamo, reached his hut before Vespers, examined everything within it, while he stood by to prevent actual damage to his medicines, and went away satisfied that what they were seeking was not there. They had not, in fact, been very thorough about the sack of lavender, the candlesticks might well have escaped notice even if he had left them there. It did not occur to anyone to tear the hedges apart, luckily. When they were gone, to probe all the fodder and grain in the barns, Cadfael restored the silver to its original place. Let the bait lie safe in the trap until the quarry came to claim it, as he surely would, once relieved of the fear that the hunters might find it first."|"A Rare Benedictine"|"Ellis Peters"
"ap 10:00"|"ten o’clock"|"But it was not wasted. He reckoned it might be as late as ten o’clock when he heard a light hand at the door. Two hours before the bell would sound for Matins, almost two hours since the household had retired. Even the guest-hall should be silent and asleep by now; the hour was carefully chosen. Cadfael held his breath, and waited. The door swung open, a shadow stole past him, light steps felt their way unerringly to where the sack of lavender was propped against the wall. Equally silently Cadfael swung the door to again, and set his back against it. Only then did he strike a spark, and hold the blown flame to the wick of his little lamp."|"A Rare Benedictine"|"Ellis Peters"
02:30|Matins|"But it was not wasted. He reckoned it might be as late as ten o’clock when he heard a light hand at the door. Two hours before the bell would sound for Matins, almost two hours since the household had retired. Even the guest-hall should be silent and asleep by now; the hour was carefully chosen. Cadfael held his breath, and waited. The door swung open, a shadow stole past him, light steps felt their way unerringly to where the sack of lavender was propped against the wall. Equally silently Cadfael swung the door to again, and set his back against it. Only then did he strike a spark, and hold the blown flame to the wick of his little lamp."|"A Rare Benedictine"|"Ellis Peters"
"< 02:30"|"before Matins"|"She bound up her pale, bright hair and covered her head, wrapping the cloak about her, and was again the maidservant in homespun. She obeyed without question his every word, moved silently at his back round the great court by way of the shadows, halting when he halted, and so he brought her to the church, and let her out by the parish door into the public street, still a good hour before Matins. At the last moment she said, close at his shoulder within the half-open door. “I shall be grateful always. Some day I shall send you word.”"|"A Rare Benedictine"|"Ellis Peters"
