"> 12:00"|"after high noon"|"This time, since it was after high noon, the gates were ajar and the keeper of the gate idled upon the threshold, picking his teeth with a bamboo sliver after his meal. He was a tall fellow with a large mole upon his left cheek, and from the mole hung three long black hairs which had never been cut. When Wang Lung appeared he shouted roughly, thinking from the basket that he had come to sell something."|"The Good Earth"|"Pearl S. Buck"
00:00|midnight|"BUT THERE is not that about three rooms and two meals a day to keep busy a woman who has been a slave in a great house and who has worked from dawn until midnight. One day when Wang Lung was hard pressed with the swelling wheat and was cultivating it with his hoe, day after day, until his back throbbed with weariness, her shadow fell across the furrow over which he bent himself, and there she stood, with a hoe across her shoulder."|"The Good Earth"|"Pearl S. Buck"
12:00|noon|"SHE WOULD have no one with her when the hour came. It came one night, early, when the sun was scarcely set. She was working beside him in the harvest field. The wheat had borne and been cut and the field flooded and the young rice set, and now the rice bore harvest, and the ears were ripe and full after the summer rains and the warm ripening sun of early autumn. Together they cut the sheaves all day, bending and cutting with short-handled scythes. She had stooped stiffly, because of the burden she bore, and she moved more slowly than he, so that they cut unevenly, his row ahead, and hers behind. She began to cut more and more slowly as noon wore on to afternoon and evening, and he turned to look at her with impatience. She stopped and stood up then, her scythe dropped. On her face was a new sweat, the sweat of a new agony."|"The Good Earth"|"Pearl S. Buck"
12:00|noon|"THIS PIECE OF LAND which Wang Lung now owned was a thing which greatly changed his life. At first, after he had dug the silver from the wall and taken it to the great house, after the honor of speaking as an equal to the Old Lord's equal was past, he was visited with a depression of spirit which was almost regret. When he thought of the hole in the wall now empty that had been filled with silver he need not use, he wished that he had his silver back. After all, this land, it would take hours of labor again, and as O-lan said, it was far away, more than a li which is a third of a mile. And again, the buying of it had not been quite so filled with glory as he had anticipated. He had gone too early to the great house and the Old Lord was still sleeping. True, it was noon, but when he said in a loud voice,"|"The Good Earth"|"Pearl S. Buck"
12:00|noon|"Beyond this nothing was said of the second child from the time he noticed its growth swelling her body until the day came in autumn when she laid down her hoe one morning and crept into the house. He did not go back that day even for bis noon meal, for the sky was heavy with thunder clouds and his rice lay dead ripe for gathering into sheaves. Later before the sun set she was back beside him, her body flattened, spent, but her face silent and undaunted. His impulse was to say,"|"The Good Earth"|"Pearl S. Buck"
12:00|noon|"As for the old man, he fared better than any, for if there was anything to eat he was given it, even though the children were without. Wang Lung said to himself proudly that none should say in the hour of death he had forgotten his father. Even if his own flesh went to feed him the old man should eat. The old man slept day and night, and ate what was given him and there was still strength in him to creep about the dooryard at noon when the sun was warm. He was more cheerful than any of them and he quavered forth one day in his old voice that was like a little wind trembling among cracked bamboos,"|"The Good Earth"|"Pearl S. Buck"
00:00|midnight|"Men labored all day at the baking of breads and cakes for feasts for the rich and children labored from dawn to midnight and slept all greasy and grimed as they were upon rough pallets on the floor and staggered to the ovens next day, and there was not money enough given them to buy a piece of the rich breads they made for others. And men and women labored at the cutting and contriving of heavy furs for the winter and of soft light furs for the spring and at the thick brocaded silks, to cut and shape them into sumptuous robes for the ones who ate of the profusion at the markets, and they themselves snatched a bit of coarse blue cotton cloth and sewed it hastily together to cover their bareness."|"The Good Earth"|"Pearl S. Buck"
12:00|noon|"There was no more idle talk at twilight about the huts. In the market places the stalls where food had been were now empty. The silk shops drew in their bright banners and closed the fronts of their great shops with thick boards fitting one into the other solidly, so that passing through the city at noon it was as though the people slept."|"The Good Earth"|"Pearl S. Buck"
12:00|noon|"Only in the warm days of spring and summer did the pupils have a respite for then the old man nodded and slept after he had eaten at noon, and the dark small room was filled with the sound of his slumber. Then the lads whispered and played and drew pictures to show each other of this naughty thing and that, and snickered to see a fly buzzing about the old man's hanging, open jaw, and laid wagers with each other as to whether the fly would enter the cavern of his mouth or not But when the old teacher opened his eyes suddenly---and there was no telling when he would open them as quickly and secretly as though he had not slept---he saw them before they were aware and then laid about him with his fan, cracking this skull and that. And hearing the cracks of his stout fan and the cries of the pupils, the neighbors said,"|"The Good Earth"|"Pearl S. Buck"
"> 00:00"|"after midnight"|"Now this tea shop was the only building in all that town which had an upper floor, except the Western Pagoda,[17] which stood five stories high outside the West Gate. But the pagoda was narrow and more narrow toward the top, while the second floor of the tea shop was as square as that part of the building which stood upon the ground.[Pict22] At night the high singing of women's voices and light laughter floated out of the upper windows and the sweet strumming of lutes struck delicately by the hands of girls. One could hear the music streaming into the streets, especially after midnight, although where Wang Lung sat the clatter and noise of many men drinking tea and the sharp bony click of dice and sparrow dominoes muffled all else."|"The Good Earth"|"Pearl S. Buck"
12:00|noon|"But O-lan looked at him in astonishment and did not know what to make from all this, except that one day after staring at him for a long time as they ate rice at noon, she said heavily,"|"The Good Earth"|"Pearl S. Buck"
