"ap < 01:00"|"nearly one o’clock"|"It’s nearly one o’clock and clear skies outside over the Saronian Gulf. We’ve just completed the quite dramatic navigational feat of the passage of the Corinth Canal – a man-made gorge it took us an hour to pass through."|"Travelling to Work"|"Michael Palin"
"ap 06:20"|6.20|"Slept fitfully until finally rising at 6.20 to watch us approach Alexandria."|"Travelling to Work"|"Michael Palin"
"ap 07:00"|"Seven o’clock"|"Seven o’clock at the Red Sea Hotel – the silence outside on the straight, empty avenues is quite a shock after Cairo. So is the hot water, even though it’s only a shower – no bath since Venice. The room is quite characterless and depressing, as is Suez. Can’t wait to get on a boat tomorrow and get moving."|"Travelling to Work"|"Michael Palin"
"ap 07:30"|7.30|"The hotel is dry and we’re all meeting at 7.30 to seek out a place for beer."|"Travelling to Work"|"Michael Palin"
22:00|"10 p.m"|"Out on deck as I write (10 p.m.) are sleeping, like corpses, hundreds of Egyptian workers, many of whom are leaving everything behind for a year or more."|"Travelling to Work"|"Michael Palin"
"ap 08:30"|8.30|"It’s 8.30, dazzlingly bright outside and two weeks since I left home on a grey, London autumn morning. Ironically, here in the middle of the Arabian desert, I find myself in surroundings as familiar, comfortable and un-foreign as I’ve known in those two weeks. English businessmen and English voices downstairs in the lobby of the Al-Khozama, and in the breakfast room croissants and coffee almost as good as any I might have been sharing with Rachel two or three weeks ago."|"Travelling to Work"|"Michael Palin"
"ap 07:45"|7.45|"Midway through our second day in Dubai. Very hot this morning as we filmed at the dhow-builders – 110 in the sun – sweat poured off us. I took the opportunity for a run this morning, half an hour from 7.45, along the waterfront, past dhows loading, past the small, wood-hulled boats ferrying people to work across the creek, past ancient, wafer-thin old gentlemen in white robes who remind me of my mother."|"Travelling to Work"|"Michael Palin"
"ap 11:45"|11.45|"It’s late – 11.45. Later, by several hours, than I’ve been to bed for the last seven days. I feel a slight tiredness in the eyes, an ache, otherwise well. Have eaten today for the first time since my stomach turned on Sunday night. My bags are open and airing, laundry is being done, I’m spread out and reordering my life in this disorderly city after seven days and nights on the dhow."|"Travelling to Work"|"Michael Palin"
09:20|"9.20 in the morning"|"It’s a Sunday and Sundays seem to be the days most susceptible to the stirrings of homesickness. And today aboard the Susak I have time on my hands. We’ve filmed most of our sequences over the last three days of the voyage, so, at the time of writing – 9.20 in the morning – I’m on my bed in the sickroom with the indistinct but mountainous skyline of Great Nicobar Island on the port horizon, nearly a thousand miles from Madras and with two and a half more days’ sailing down the busy shipping lanes of the Malacca Strait until we reach Singapore. So, plenty of time to think."|"Travelling to Work"|"Michael Palin"
"> 09:00"|"just after nine in the morning"|"It’s just after nine in the morning. I sit on deck writing at the table at which we enjoyed the great barbecue party on Sunday. Today the weather is markedly different. Skies are grey and the air is sticky, warm and humid."|"Travelling to Work"|"Michael Palin"
"ap 06:30"|6.30|"I have one of the brown parcels of Chinese medicine and, at the time of writing (6.30), feel pretty good. Drew the curtains across and lay and listened to Billy Joel and Pat Metheny and emptied my mind for a couple of hours."|"Travelling to Work"|"Michael Palin"
"ap 11:30"|"half past eleven"|"Safely out of Tokyo Bay at half past eleven. The last night in Tokyo not as bad as I feared. The karaoke bar was very lively and silly and the Japanese there were very courteous. Many autographs were handed out. I think they just accepted I was a television star of some sort, even though they had no clue what I did."|"Travelling to Work"|"Michael Palin"
"ap 09:15"|9.15|"This morning the engines were shut down to repair a leak in a pipe, which gave me a restful lie-in until 9.15. But I could not really relax – the weight of the project still hangs round my neck sometimes, feeling like the albatross that Nigel Walters [cameraman on this second leg of the journey] claims he’s seen off the stern, following us."|"Travelling to Work"|"Michael Palin"
"ap ~ 10:45"|"about a quarter to eleven"|"Rose about a quarter to eleven and made a cup of coffee and went up to the bridge. The officers were tracing a strange, zigzag course on the map table and only after a while I realised they were marking out a crown for tomorrow’s Crossing the Line ceremony. At one point it was tried out on a sheepish electrical engineer. It looked fairly ludicrous against his oily blue overalls."|"Travelling to Work"|"Michael Palin"
"ap 10:30"|ten-thirty|"It’s ten-thirty on a bright, clear morning and our Chicago–New York train is being split between the Boston and the Grand Central sections. Across the River Hudson, about a half a mile away, is the skyline of Albany."|"Travelling to Work"|"Michael Palin"
09:30|"9.30 in the morning"|"Back at home. As I write it’s 9.30 in the morning on Tuesday 13th and my 80 days are up. In fact I was at the Reform Club at 4.45 yesterday evening, having completed the journey with 17 hours to spare."|"Travelling to Work"|"Michael Palin"
"ap 04:45"|4.45|"Back at home. As I write it’s 9.30 in the morning on Tuesday 13th and my 80 days are up. In fact I was at the Reform Club at 4.45 yesterday evening, having completed the journey with 17 hours to spare."|"Travelling to Work"|"Michael Palin"
"ap 03:00"|3|"Out into Duke Street, St James’s, at the sober hour of 3.15. ‘It’s still light!’ exclaims Tristram, with some disappointment. Buy a book of work by Atkinson Grimshaw at Thomas Heneage, where the young assistants jest amongst themselves."|"Travelling to Work"|"Michael Palin"
"ap ~ 10:00"|"about ten o’clock"|"Call Terry J, but wake him up at about ten o’clock. He films Erik until the end of next week."|"Travelling to Work"|"Michael Palin"
