"ap 01:00"|one|"And yet, being a problem is a strange experience,—peculiar even for one who has never been anything else, save perhaps in babyhood and in Europe. It is in the early days of rollicking boyhood that the revelation first bursts upon one, all in a day, as it were. I remember well when the shadow swept across me. I was a little thing, away up in the hills of New England, where the dark Housatonic winds between Hoosac and Taghkanic to the sea. In a wee wooden schoolhouse, something put it into the boys’ and girls’ heads to buy gorgeous visiting-cards—ten cents a package—and exchange. The exchange was merry, till one girl, a tall newcomer, refused my card,—refused it peremptorily, with a glance. Then it dawned upon me with a certain suddenness that I was different from the others; or like, mayhap, in heart and life and longing, but shut out from their world by a vast veil. I had thereafter no desire to tear down that veil, to creep through; I held all beyond it in common contempt, and lived above it in a region of blue sky and great wandering shadows. That sky was bluest when I could beat my mates at examination-time, or beat them at a foot-race, or even beat their stringy heads. Alas, with the years all this fine contempt began to fade; for the worlds I longed for, and all their dazzling opportunities, were theirs, not mine. But they should not keep these prizes, I said; some, all, I would wrest from them. Just how I would do it I could never decide: by reading law, by healing the sick, by telling the wonderful tales that swam in my head,—some way. With other black boys the strife was not so fiercely sunny: their youth shrunk into tasteless sycophancy, or into silent hatred of the pale world about them and mocking distrust of everything white; or wasted itself in a bitter cry, Why did God make me an outcast and a stranger in mine own house? The shades of the prison-house closed round about us all: walls strait and stubborn to the whitest, but relentlessly narrow, tall, and unscalable to sons of night who must plod darkly on in resignation, or beat unavailing palms against the stone, or steadily, half hopelessly, watch the streak of blue above."|"The Souls of Black Folk"|"W. E. B. Du Bois"
00:00|midnight|"Thus it is doubly difficult to write of this period calmly, so intense was the feeling, so mighty the human passions that swayed and blinded men. Amid it all, two figures ever stand to typify that day to coming ages,—the one, a gray-haired gentleman, whose fathers had quit themselves like men, whose sons lay in nameless graves; who bowed to the evil of slavery because its abolition threatened untold ill to all; who stood at last, in the evening of life, a blighted, ruined form, with hate in his eyes;—and the other, a form hovering dark and mother-like, her awful face black with the mists of centuries, had aforetime quailed at that white master’s command, had bent in love over the cradles of his sons and daughters, and closed in death the sunken eyes of his wife,—aye, too, at his behest had laid herself low to his lust, and borne a tawny man-child to the world, only to see her dark boy’s limbs scattered to the winds by midnight marauders riding after “cursed Niggers.” These were the saddest sights of that woful day; and no man clasped the hands of these two passing figures of the present-past; but, hating, they went to their long home, and, hating, their children’s children live to-day."|"The Souls of Black Folk"|"W. E. B. Du Bois"
00:00|midnight|"There were the Burkes,—two brown and yellow lads, and a tiny haughty-eyed girl. Fat Reuben’s little chubby girl came, with golden face and old-gold hair, faithful and solemn. ‘Thenie was on hand early,—a jolly, ugly, good-hearted girl, who slyly dipped snuff and looked after her little bow-legged brother. When her mother could spare her, ’Tildy came,—a midnight beauty, with starry eyes and tapering limbs; and her brother, correspondingly homely. And then the big boys,—the hulking Lawrences; the lazy Neills, unfathered sons of mother and daughter; Hickman, with a stoop in his shoulders; and the rest."|"The Souls of Black Folk"|"W. E. B. Du Bois"
"~ 10:00"|"about ten in the morning"|"It gets pretty hot in Southern Georgia in July,—a sort of dull, determined heat that seems quite independent of the sun; so it took us some days to muster courage enough to leave the porch and venture out on the long country roads, that we might see this unknown world. Finally we started. It was about ten in the morning, bright with a faint breeze, and we jogged leisurely southward in the valley of the Flint. We passed the scattered box-like cabins of the brick-yard hands, and the long tenement-row facetiously called “The Ark,” and were soon in the open country, and on the confines of the great plantations of other days. There is the “Joe Fields place”; a rough old fellow was he, and had killed many a “nigger” in his day. Twelve miles his plantation used to run,—a regular barony. It is nearly all gone now; only straggling bits belong to the family, and the rest has passed to Jews and Negroes. Even the bits which are left are heavily mortgaged, and, like the rest of the land, tilled by tenants. Here is one of them now,—a tall brown man, a hard worker and a hard drinker, illiterate, but versed in farm-lore, as his nodding crops declare. This distressingly new board house is his, and he has just moved out of yonder moss-grown cabin with its one square room."|"The Souls of Black Folk"|"W. E. B. Du Bois"
00:00|midnight|"The second fact noted, namely, that the Negro church antedates the Negro home, leads to an explanation of much that is paradoxical in this communistic institution and in the morals of its members. But especially it leads us to regard this institution as peculiarly the expression of the inner ethical life of a people in a sense seldom true elsewhere. Let us turn, then, from the outer physical development of the church to the more important inner ethical life of the people who compose it. The Negro has already been pointed out many times as a religious animal,-a being of that deep emotional nature which turns instinctively toward the supernatural. Endowed with a rich tropical imagination and a keen, delicate appreciation of Nature, the transplanted African lived in a world animate with gods and devils, elves and witches; full of strange influences,—of Good to be implored, of Evil to be propitiated. Slavery, then, was to him the dark triumph of Evil over him. All the hateful powers of the Under-world were striving against him, and a spirit of revolt and revenge filled his heart. He called up all the resources of heathenism to aid,—exorcism and witchcraft, the mysterious Obi worship with its barbarous rites, spells, and blood-sacrifice even, now and then, of human victims. Weird midnight orgies and mystic conjurations were invoked, the witch-woman and the voodoo-priest became the centre of Negro group life, and that vein of vague superstition which characterizes the unlettered Negro even to-day was deepened and strengthened."|"The Souls of Black Folk"|"W. E. B. Du Bois"
00:00|midnight|"Then the day ended not, and night was a dreamless terror, and joy and sleep slipped away. I hear now that Voice at midnight calling me from dull and dreamless trance,—crying, “The Shadow of Death! The Shadow of Death!” Out into the starlight I crept, to rouse the gray physician,—the Shadow of Death, the Shadow of Death. The hours trembled on; the night listened; the ghastly dawn glided like a tired thing across the lamplight. Then we two alone looked upon the child as he turned toward us with great eyes, and stretched his string-like hands,—the Shadow of Death! And we spoke no word, and turned away."|"The Souls of Black Folk"|"W. E. B. Du Bois"
12:00|noonday|"THIS IS the history of a human heart,—the tale of a black boy who many long years ago began to struggle with life that he might know the world and know himself. Three temptations he met on those dark dunes that lay gray and dismal before the wonder-eyes of the child: the temptation of Hate, that stood out against the red dawn; the temptation of Despair, that darkened noonday; and the temptation of Doubt, that ever steals along with twilight. Above all, you must hear of the vales he crossed,—the Valley of Humiliation and the Valley of the Shadow of Death."|"The Souls of Black Folk"|"W. E. B. Du Bois"
00:00|midnight|"What bring they ‘neath the midnight,
Beside the River-sea?
They bring the human heart wherein
No nightly calm can be;
That droppeth never with the wind,
Nor drieth with the dew;
O calm it, God; thy calm is broad
To cover spirits too.
The river floweth on.
MRS. BROWNING"|"The Souls of Black Folk"|"W. E. B. Du Bois"
00:00|midnight|"Perhaps we imagined it, but someway it seemed to us that the serious look that crept over his boyish face that afternoon never left it again. When he came back to us he went to work with all his rugged strength. It was a hard struggle, for things did not come easily to him,—few crowding memories of early life and teaching came to help him on his new way; but all the world toward which he strove was of his own building, and he builded slow and hard. As the light dawned lingeringly on his new creations, he sat rapt and silent before the vision, or wandered alone over the green campus peering through and beyond the world of men into a world of thought. And the thoughts at times puzzled him sorely; he could not see just why the circle was not square, and carried it out fifty-six decimal places one midnight,—would have gone further, indeed, had not the matron rapped for lights out. He caught terrible colds lying on his back in the meadows of nights, trying to think out the solar system; he had grave doubts as to the ethics of the Fall of Rome, and strongly suspected the Germans of being thieves and rascals, despite his text-books; he pondered long over every new Greek word, and wondered why this meant that and why it couldn’t mean something else, and how it must have felt to think all things in Greek. So he thought and puzzled along for himself,—pausing perplexed where others skipped merrily, and walking steadily through the difficulties where the rest stopped and surrendered."|"The Souls of Black Folk"|"W. E. B. Du Bois"
12:00|noontide|"Down in Altamaha, after seven long years, all the world knew John was coming. The homes were scrubbed and scoured,—above all, one; the gardens and yards had an unwonted trimness, and Jennie bought a new gingham. With some finesse and negotiation, all the dark Methodists and Presbyterians were induced to join in a monster welcome at the Baptist Church; and as the day drew near, warm discussions arose on every corner as to the exact extent and nature of John’s accomplishments. It was noontide on a gray and cloudy day when he came. The black town flocked to the depot, with a little of the white at the edges,—a happy throng, with “Good- mawnings” and “Howdys” and laughing and joking and jostling. Mother sat yonder in the window watching; but sister Jennie stood on the platform, nervously fingering her dress,—tall and lithe, with soft brown skin and loving eyes peering from out a tangled wilderness of hair. John rose gloomily as the train stopped, for he was thinking of the “Jim Crow” car; he stepped to the platform, and paused: a little dingy station, a black crowd gaudy and dirty, a half-mile of dilapidated shanties along a straggling ditch of mud. An overwhelming sense of the sordidness and narrowness of it all seized him; he look in vain for his mother, kissed coldly the tall, strange girl who called him brother, spoke a short, dry word here and there; then, lingering neither for hand-shaking nor gossip, started silently up the street, raising his hat merely to the least eager old aunty, to her open-mouthed astonishment. The people were distinctly bewildered. This silent, cold man,—was this John? Where was his smile and hearty hand-grasp? “‘Peared kind o’ down in the mouf,” said the Methodist preacher thoughtfully. “Seemed monstus stuck up,” complained a Baptist sister. But the white postmaster from the edge of the crowd expressed the opinion of his folks plainly. “That damn Nigger,” said he, as he shouldered the mail and arranged his tobacco, “has gone North and got plum full o’ fool notions; but they won’t work in Altamaha.” And the crowd melted away."|"The Souls of Black Folk"|"W. E. B. Du Bois"
12:00|noon|"THEY THAT WALKED in darkness sang songs in the olden days—Sorrow Songs—for they were weary at heart. And so before each thought that I have written in this book I have set a phrase, a haunting echo of these weird old songs in which the soul of the black slave spoke to men. Ever since I was a child these songs have stirred me strangely. They came out of the South unknown to me, one by one, and yet at once I knew them as of me and of mine. Then in after years when I came to Nashville I saw the great temple builded of these songs towering over the pale city. To me Jubilee Hall seemed ever made of the songs themselves, and its bricks were red with the blood and dust of toil. Out of them rose for me morning, noon, and night, bursts of wonderful melody, full of the voices of my brothers and sisters, full of the voices of the past."|"The Souls of Black Folk"|"W. E. B. Du Bois"
