09:03|"9:03 AM"|"Chapter 1 – Pretty Please!!!!
From: Mark Finlay – January 2, 2011 – 9:03 AM
To: Renee Greene"|"The Click Trilogy"|"Lisa Becker"
09:16|"9:16 AM"|"
From: Renee Greene – January 3, 2011 – 9:16 AM
To: Shelley Manning"|"The Click Trilogy"|"Lisa Becker"
09:38|"9:38 AM"|"
From: Shelley Manning – January 3, 2011 – 9:38 AM
To: Renee Greene"|"The Click Trilogy"|"Lisa Becker"
09:43|"9:43 AM"|"
From: Renee Greene – January 3, 2011 – 9:43 AM
To: Shelley Manning"|"The Click Trilogy"|"Lisa Becker"
"ap 00:30"|12:30|"Thank you for your generous contribution to the “Flatter Renee Greene’s Ego Foundation.”  Next time, don’t be such a tight wad.  Okay, I’ll give it a whirl.  But you have to promise – I mean promise on a box of cupcakes and a jar of anti-wrinkle cream – that you won’t tell anyone.  Not a soul.
Lunch tomorrow is great.  Meet you at Mel’s at 12:30.
"|"The Click Trilogy"|"Lisa Becker"
09:58|"9:58 AM"|"
From: Shelley Manning – January 3, 2011 – 9:58 AM
To: Renee Greene"|"The Click Trilogy"|"Lisa Becker"
11:59|"11:59 AM"|"
From: Renee Greene – January 3, 2011 – 11:59 AM
To: Mark Finlay"|"The Click Trilogy"|"Lisa Becker"
14:02|"2:02 PM"|"
From: Shelley Manning – January 3, 2011 – 2:02 PM
To: Renee Greene"|"The Click Trilogy"|"Lisa Becker"
16:45|"4:45 PM"|"
From: Ashley Price – January 3, 2011 – 4:45 PM
To: Renee Greene"|"The Click Trilogy"|"Lisa Becker"
17:00|"5:00 PM"|"
From: Renee Greene – January 3, 2011 – 5:00 PM
To: Ashley Price"|"The Click Trilogy"|"Lisa Becker"
"ap 00:30"|12:30|"I’m so sorry, Ashley.  I know you were really hoping it would work out this time.  Don’t give up.  There’s someone out there just perfect for you.  We all had a good time at Mark’s party.  Shelley and I are meeting tomorrow for lunch…12:30 at Mel’s.  Why don’t you meet us there?"|"The Click Trilogy"|"Lisa Becker"
17:15|"5:15 PM"|"
From: Ashley Price – January 3, 2011 – 5:15 PM
To: Renee Greene"|"The Click Trilogy"|"Lisa Becker"
14:33|"2:33 PM"|"
From: Mark Finlay – January 4, 2011 – 2:33 PM
To: Renee Greene"|"The Click Trilogy"|"Lisa Becker"
16:59|"4:59 PM"|"
From: Renee Greene – January 4, 2011 – 4:59 PM
To: Shelley Manning"|"The Click Trilogy"|"Lisa Becker"
17:03|"5:03 PM"|"
From: Shelley Manning – January 4, 2011 – 5:03 PM
To: Renee Greene"|"The Click Trilogy"|"Lisa Becker"
08:58|"8:58 AM"|"
From: Renee Greene – January 5, 2011 – 8:58 AM
To: Shelley Manning"|"The Click Trilogy"|"Lisa Becker"
09:25|"9:25 AM"|"
From: Shelley Manning – January 5, 2011 – 9:25 AM
To: Renee Greene"|"The Click Trilogy"|"Lisa Becker"
09:43|"9:43 AM"|"
From: Renee Greene – January 5, 2011 – 9:43 AM
To: Shelley Manning"|"The Click Trilogy"|"Lisa Becker"
09:48|"9:48 AM"|"
From: Shelley Manning – January 5, 2011 – 9:48 AM
To: Renee Greene"|"The Click Trilogy"|"Lisa Becker"
