00:00|Midnight|"In Preparation for Violence
Blood At Midnight
Gone"|"The Illustrated Gormenghast Trilogy"|"Mervyn Peake"
00:00|midnight|"There was a library and it is ashes. Let its long length assemble. Than its stone walls its paper walls are thicker; armoured with learning, with philosophy, with poetry that drifts or dances clamped though it is in midnight. Shielded with flax and calfskin and a cold weight of ink, there broods the ghost of Sepulchrave, the melancholy Earl, seventy-sixth lord of half-light."|"The Illustrated Gormenghast Trilogy"|"Mervyn Peake"
00:00|midnight|"Within an hour the morning classes were under way. At an ink-stained desk, with his chin cupped in his hands, Titus was contemplating, as in a dream, the chalk marks on the blackboard. They represented a sum in short division, but might as well have been some hieroglyphic message from a moonstruck prophet to his lost tribe a thousand years ago. His mind, and the minds of his small companions in that leather-walled school-room, was far away, but in a world, not of prophets, but of swopped marbles, birds’ eggs, wooden daggers, secrets and catapults, midnight feasts, heroes, deadly rivalries and desperate friendships."|"The Illustrated Gormenghast Trilogy"|"Mervyn Peake"
00:00|midnight|"‘Queen bee,’ he said, ‘look at me, if you can. Through your midnight spectacles. It shouldn’t be too dreadful – for one who had fed on horrors. Now, listen …’ Irma’s eyes were already beginning to close."|"The Illustrated Gormenghast Trilogy"|"Mervyn Peake"
"ap 01:00"|one|"He had no time to ponder the matter now, so at one and the same time he tossed a mop of grey thatch from his brow and an army-on-the-march from his mind."|"The Illustrated Gormenghast Trilogy"|"Mervyn Peake"
"ap 07:30"|"half-past seven"|"‘To comfort me,’ said Cora, looking hard at a leg of the iron table. ‘You can go on doing it until half-past seven, and then it will be your turn to be depressed.’"|"The Illustrated Gormenghast Trilogy"|"Mervyn Peake"
"ap 11:00"|"eleven o’clock"|"Through the vile subterranean light that filled the Professors’ Common-room three figures appeared to float as the brown billows shifted. Tobacco smoke had made of the place a kind of umber tomb. These three were the vanguard of a daily foregathering, as sacrosanct and inevitable as the elm-top meeting place of rooks in March. But how much less healthy! A foregathering of the Professors, for it was eleven o’clock and the short recreation had begun."|"The Illustrated Gormenghast Trilogy"|"Mervyn Peake"
12:00|noon|"Someone had lit a lantern. It did very little, as it stood on the table, but illumine with a dusky glow the breast of the stuffed cormorant. There was something disgraceful about its necessity at noon in summer-time."|"The Illustrated Gormenghast Trilogy"|"Mervyn Peake"
00:00|midnight|"They were as tall as towers, their great brows beetling over their sunken eyes, like shelves of overhanging rocks. In their ears were hoops of red gold, and in their mouths scythe-edged cutlasses a-drip. Out of the red darkness they emerged, their eyes half closed against the sun, the water at their waists circling and bubbling with the hot light reflected from their bodies, their dimensions blotted out all else: and still they came on, until their wire-glinting breasts and rocky heads filled out the boy’s brain. And still they came on, until there was only room enough for the smouldering head of the central buccaneer, a great salt-water lord, every inch of whose face was scabbed and scarred like a boy’s knee, whose teeth were carved into the shapes of skulls, whose throat was circled by the tattooing of a scaled snake. And as the head enlarged, an eye became visible in the darkness of its sockets, and in a moment nothing else but this wild and sinister organ could be seen. For a short while it stayed there, motionless. There was nothing else in the great world but this – globe. It was the world, and suddenly like the world it rolled. And as it rolled it grew yet again, until there was nothing but the pupil, filling the consciousness; and in that midnight pupil Titus saw the reflection of himself peering forward. And someone approached him out of the darkness of the pirate’s pupil, and a rust-red pinpoint of light above the figure’s brow became the coiled locks of his mother’s wealth of hair. But before she could reach him her face and body had faded and in the place of the hair was Fuchsia’s ruby; and the ruby danced about in the darkness, as though it were being jerked on the end of a string. And then it, also, was gone and the marble shone in his hand with all its spiralled colours – yellow, green, violet, blue, red … yellow … green … violet … blue … yellow … green … violet … yellow … green … yellow … yellow."|"The Illustrated Gormenghast Trilogy"|"Mervyn Peake"
"ap 05:00"|"five o’clock"|"The excitement in the multiform legs of the dragon had only begun to operate since the professors had left the Masters’ Hall behind them, and with the Hall their duties also. For their day in the classrooms of Gormenghast was over, and if there was one thing above others that the professors looked forward to, it was this thrill, this five o’clock thrill of returning to their quarters."|"The Illustrated Gormenghast Trilogy"|"Mervyn Peake"
"ap 07:00"|"seven o’clock"|"‘Next Friday evening, at seven o’clock – R.S.V.P. it is,’ panted Flannelcat."|"The Illustrated Gormenghast Trilogy"|"Mervyn Peake"
12:00|midday|"Was there a slightly different feeling about the light as it slanted through the oak leaves and lay along the glades? Was there a less deathly stillness in the air? For a moment Titus thought he heard a sigh among the leaves above him. Was there a quickening in the torpor of the midday stillness?"|"The Illustrated Gormenghast Trilogy"|"Mervyn Peake"
12:00|midday|"It was not long before the peerless lawns of moss that stretched between the oaks became pranked by clumps of ferns which, ignoring the sun’s rays, appeared silhouetted, so dark was the viridian of their hanging fronds, so luminous their golden background. The relief to the boy’s spirit was instantaneous, and when the sumptuous floor gave place to coarse grasses and the rank profusion of flowering weeds, and when, most refreshing of all to Titus’ eyes, the oaks no longer cast their ancestral spell across the vistas, but were challenged by a variety of trees and shrubs, until the last of those gnarled monarchs had withdrawn and Titus found himself in a fresher atmosphere, then, at last he was clear of the nightmare and, with his hunger for redundant proof, was once again in the clear, sharp, actual world that he knew. The ground began to drop away before him at a lively gradient. As on the far side of the oak forest, here also were scattered rocks and groups of ferns; and then all of a sudden Titus gave a shout of happiness to see a living thing after the emptiness and nervelessness of the golden glades – a dog fox that, disturbed by his footsteps, had woken out of its midday sleep in a quiet nest of ferns, had got to its feet with extraordinary self-possession and trotted away at an even pace across the slant of the falling ground."|"The Illustrated Gormenghast Trilogy"|"Mervyn Peake"
