"~ 20:00"|"about eight o‘clock in the evening"|"It was about eight o‘clock in the evening: as he did not know the streets, he walked at random."|"Les Miserables (Abridged)"|"Victor Hugo"
"ap 08:00"|"eight o‘clock"|"At eight o‘clock he was still at work, writing with some inconvenience on little slips of paper, with a large book open on his knees, when Madame Magloire, as usual, came in to take the silver from the cupboard near the bed. A moment after, the bishop, knowing that the table was laid, and that his sister was perhaps waiting, closed his book and went into the dining-room."|"Les Miserables (Abridged)"|"Victor Hugo"
00:00|midnight|"“We say that this house is not safe at all; and if monseigneur will permit me, I will go and tell Paulin Musebois, the locksmith, to come and put the old bolts in the door again; they are there, and it will take but a minute. I say we must have bolts, were it only for to-night; for I say that a door which opens by a latch on the outside to the first comer, nothing could be more horrible: and then monseigneur has the habit of always saying ‘Come in,’ even at midnight. But, my goodness! there is no need even to ask leave—”"|"Les Miserables (Abridged)"|"Victor Hugo"
"ap 06:00"|six|"“Start to-morrow morning. I think there is at the Cour des Fontaines a coach which starts at six o‘clock and arrives at night. Take it. He says it’s urgent.”"|"Les Miserables (Abridged)"|"Victor Hugo"
00:00|Midnight|"As to the man, he was so completely exhausted that he did not even avail himself of the clean white sheets; he blew out the candle with his nostril, after the manner of convicts, and fell on the bed, dressed as he was, into a sound sleep.
Midnight struck as the bishop came back to his room.
A few moments afterwards all in the little house slept."|"Les Miserables (Abridged)"|"Victor Hugo"
20:00|"eight o‘clock in the evening"|"That day he forgot to go to dinner. At eight o‘clock in the evening he discovered it, and as it was too late to go down to the Rue Saint Jacques, “No matter,” said he, and he ate a piece of bread."|"Les Miserables (Abridged)"|"Victor Hugo"
06:00|"six in the morning"|"It is the old story. These poor little lives, these creatures of God, henceforth without support, or guide, or asylum; they passed away wherever chance led, who knows even? Each took a different path, it may be, and sank little by little into the chilling dark which engulfs solitary destinies; that sullen gloom where are lost so many ill-fated souls in the sombre advance of the human race. They left that region; the church of what had been their village forgot them; the stile of what had been their field forgot them; after a few years in the galleys, even Jean Valjean forgot them. In that heart, in which there had been a wound, there was a scar; that was all. During the time he was at Toulon, he heard but once of his sister; that was, I think, at the end of the fourth year of his confinement. I do not know how the news reached him: some one who had known him at home had seen his sister. She was in Paris, living in a poor street near Saint Sulpice, the Rue du Geindre. She had with her but one child, the youngest, a little boy. Where were the other six? She did not know herself, perhaps. Every morning she went to a bindery, No. 3 Rue du Sabot, where she was employed as a folder and book stitcher. She had to be there by six in the morning, long before the dawn in the winter. In the same building with the bindery, there was a school, where she sent her little boy, seven years old. As the school did not open until seven, and she must be at her work at six, her boy had to wait in the yard an hour, until the school opened—an hour of cold and darkness in the winter. They would not let the child wait in the bindery, because he was troublesome, they said. The workmen, as they passed in the morning, saw the poor little fellow sometimes sitting on the pavement nodding with weariness, and often sleeping in the dark, crouched and bent over his basket. When it rained, an old woman, the portress, took pity on him; she let him come into her lodge, the furniture of which was only a pallet bed, a spinning-wheel, and two wooden chairs; and the little one slept there in a corner, hugging the cat to keep himself warm. At seven o‘clock the school opened and he went in. That is what was told Jean Valjean. It was as if a window had suddenly been opened looking upon the destiny of those he had loved, and then all was closed again, and he heard nothing more for ever. Nothing more came to him; he had not seen them, never will he see them again! and through the remainder of this sad history we shall not meet them again."|"Les Miserables (Abridged)"|"Victor Hugo"
"ap 07:00"|seven|"It is the old story. These poor little lives, these creatures of God, henceforth without support, or guide, or asylum; they passed away wherever chance led, who knows even? Each took a different path, it may be, and sank little by little into the chilling dark which engulfs solitary destinies; that sullen gloom where are lost so many ill-fated souls in the sombre advance of the human race. They left that region; the church of what had been their village forgot them; the stile of what had been their field forgot them; after a few years in the galleys, even Jean Valjean forgot them. In that heart, in which there had been a wound, there was a scar; that was all. During the time he was at Toulon, he heard but once of his sister; that was, I think, at the end of the fourth year of his confinement. I do not know how the news reached him: some one who had known him at home had seen his sister. She was in Paris, living in a poor street near Saint Sulpice, the Rue du Geindre. She had with her but one child, the youngest, a little boy. Where were the other six? She did not know herself, perhaps. Every morning she went to a bindery, No. 3 Rue du Sabot, where she was employed as a folder and book stitcher. She had to be there by six in the morning, long before the dawn in the winter. In the same building with the bindery, there was a school, where she sent her little boy, seven years old. As the school did not open until seven, and she must be at her work at six, her boy had to wait in the yard an hour, until the school opened—an hour of cold and darkness in the winter. They would not let the child wait in the bindery, because he was troublesome, they said. The workmen, as they passed in the morning, saw the poor little fellow sometimes sitting on the pavement nodding with weariness, and often sleeping in the dark, crouched and bent over his basket. When it rained, an old woman, the portress, took pity on him; she let him come into her lodge, the furniture of which was only a pallet bed, a spinning-wheel, and two wooden chairs; and the little one slept there in a corner, hugging the cat to keep himself warm. At seven o‘clock the school opened and he went in. That is what was told Jean Valjean. It was as if a window had suddenly been opened looking upon the destiny of those he had loved, and then all was closed again, and he heard nothing more for ever. Nothing more came to him; he had not seen them, never will he see them again! and through the remainder of this sad history we shall not meet them again."|"Les Miserables (Abridged)"|"Victor Hugo"
"ap 06:00"|six|"It is the old story. These poor little lives, these creatures of God, henceforth without support, or guide, or asylum; they passed away wherever chance led, who knows even? Each took a different path, it may be, and sank little by little into the chilling dark which engulfs solitary destinies; that sullen gloom where are lost so many ill-fated souls in the sombre advance of the human race. They left that region; the church of what had been their village forgot them; the stile of what had been their field forgot them; after a few years in the galleys, even Jean Valjean forgot them. In that heart, in which there had been a wound, there was a scar; that was all. During the time he was at Toulon, he heard but once of his sister; that was, I think, at the end of the fourth year of his confinement. I do not know how the news reached him: some one who had known him at home had seen his sister. She was in Paris, living in a poor street near Saint Sulpice, the Rue du Geindre. She had with her but one child, the youngest, a little boy. Where were the other six? She did not know herself, perhaps. Every morning she went to a bindery, No. 3 Rue du Sabot, where she was employed as a folder and book stitcher. She had to be there by six in the morning, long before the dawn in the winter. In the same building with the bindery, there was a school, where she sent her little boy, seven years old. As the school did not open until seven, and she must be at her work at six, her boy had to wait in the yard an hour, until the school opened—an hour of cold and darkness in the winter. They would not let the child wait in the bindery, because he was troublesome, they said. The workmen, as they passed in the morning, saw the poor little fellow sometimes sitting on the pavement nodding with weariness, and often sleeping in the dark, crouched and bent over his basket. When it rained, an old woman, the portress, took pity on him; she let him come into her lodge, the furniture of which was only a pallet bed, a spinning-wheel, and two wooden chairs; and the little one slept there in a corner, hugging the cat to keep himself warm. At seven o‘clock the school opened and he went in. That is what was told Jean Valjean. It was as if a window had suddenly been opened looking upon the destiny of those he had loved, and then all was closed again, and he heard nothing more for ever. Nothing more came to him; he had not seen them, never will he see them again! and through the remainder of this sad history we shall not meet them again."|"Les Miserables (Abridged)"|"Victor Hugo"
"ap 07:00"|"seven o‘clock"|"It is the old story. These poor little lives, these creatures of God, henceforth without support, or guide, or asylum; they passed away wherever chance led, who knows even? Each took a different path, it may be, and sank little by little into the chilling dark which engulfs solitary destinies; that sullen gloom where are lost so many ill-fated souls in the sombre advance of the human race. They left that region; the church of what had been their village forgot them; the stile of what had been their field forgot them; after a few years in the galleys, even Jean Valjean forgot them. In that heart, in which there had been a wound, there was a scar; that was all. During the time he was at Toulon, he heard but once of his sister; that was, I think, at the end of the fourth year of his confinement. I do not know how the news reached him: some one who had known him at home had seen his sister. She was in Paris, living in a poor street near Saint Sulpice, the Rue du Geindre. She had with her but one child, the youngest, a little boy. Where were the other six? She did not know herself, perhaps. Every morning she went to a bindery, No. 3 Rue du Sabot, where she was employed as a folder and book stitcher. She had to be there by six in the morning, long before the dawn in the winter. In the same building with the bindery, there was a school, where she sent her little boy, seven years old. As the school did not open until seven, and she must be at her work at six, her boy had to wait in the yard an hour, until the school opened—an hour of cold and darkness in the winter. They would not let the child wait in the bindery, because he was troublesome, they said. The workmen, as they passed in the morning, saw the poor little fellow sometimes sitting on the pavement nodding with weariness, and often sleeping in the dark, crouched and bent over his basket. When it rained, an old woman, the portress, took pity on him; she let him come into her lodge, the furniture of which was only a pallet bed, a spinning-wheel, and two wooden chairs; and the little one slept there in a corner, hugging the cat to keep himself warm. At seven o‘clock the school opened and he went in. That is what was told Jean Valjean. It was as if a window had suddenly been opened looking upon the destiny of those he had loved, and then all was closed again, and he heard nothing more for ever. Nothing more came to him; he had not seen them, never will he see them again! and through the remainder of this sad history we shall not meet them again."|"Les Miserables (Abridged)"|"Victor Hugo"
22:00|"ten o‘clock in the evening"|"The next day nobody at the Luxembourg Gardens. Marius waited all day, and then went to perform his night duty under the windows. That took him till ten o‘clock in the evening. His dinner took care of itself. Fever supports the sick man, and love the lover."|"Les Miserables (Abridged)"|"Victor Hugo"
