"ap 10:00"|ten|"Neverthelesse it is not Prudence that distinguisheth man from beast. There be beasts, that at a year old observe more, and pursue that which is for their good, more prudently, than a child can do at ten."|Leviathan|"Thomas Hobbes"
12:00|noon|"Nor does it alter the case of Honour, whether an action (so it be great and difficult, and consequently a signe of much power,) be just or unjust: for Honour consisteth onely in the opinion of Power. Therefore the ancient Heathen did not thinke they Dishonoured, but greatly Honoured the Gods, when they introduced them in their Poems, committing Rapes, Thefts, and other great, but unjust, or unclean acts: In so much as nothing is so much celebrated in Jupiter, as his Adulteries; nor in Mercury, as his Frauds, and Thefts: of whose praises, in a hymne of Homer, the greatest is this, that being born in the morning, he had invented Musique at noon, and before night, stolen away the Cattell of Appollo, from his Herdsmen."|Leviathan|"Thomas Hobbes"
"ap 09:21"|9.21|"As for the two Books of the Kings, and the two books of the Chronicles, besides the places which mention such monuments, as the Writer saith, remained till his own days; such as are 1 Kings 9.13. 9.21. 10. 12. 12.19. 2 Kings 2.22. 8.22. 10.27. 14.7. 16.6. 17.23. 17.34. 17.41. 1 Chron. 4.41. 5.26. It is argument sufficient they were written after the captivity in Babylon, that the History of them is continued till that time. For the Facts Registred are alwaies more ancient than such Books as make mention of, and quote the Register; as these Books doe in divers places, referring the Reader to the Chronicles of the Kings of Juda, to the Chronicles of the Kings of Israel, to the Books of the Prophet Samuel, or the Prophet Nathan, of the Prophet Ahijah; to the Vision of Jehdo, to the Books of the Prophet Serveiah, and of the Prophet Addo."|Leviathan|"Thomas Hobbes"
"ap 00:19"|12.19|"As for the two Books of the Kings, and the two books of the Chronicles, besides the places which mention such monuments, as the Writer saith, remained till his own days; such as are 1 Kings 9.13. 9.21. 10. 12. 12.19. 2 Kings 2.22. 8.22. 10.27. 14.7. 16.6. 17.23. 17.34. 17.41. 1 Chron. 4.41. 5.26. It is argument sufficient they were written after the captivity in Babylon, that the History of them is continued till that time. For the Facts Registred are alwaies more ancient than such Books as make mention of, and quote the Register; as these Books doe in divers places, referring the Reader to the Chronicles of the Kings of Juda, to the Chronicles of the Kings of Israel, to the Books of the Prophet Samuel, or the Prophet Nathan, of the Prophet Ahijah; to the Vision of Jehdo, to the Books of the Prophet Serveiah, and of the Prophet Addo."|Leviathan|"Thomas Hobbes"
"ap 08:22"|8.22|"As for the two Books of the Kings, and the two books of the Chronicles, besides the places which mention such monuments, as the Writer saith, remained till his own days; such as are 1 Kings 9.13. 9.21. 10. 12. 12.19. 2 Kings 2.22. 8.22. 10.27. 14.7. 16.6. 17.23. 17.34. 17.41. 1 Chron. 4.41. 5.26. It is argument sufficient they were written after the captivity in Babylon, that the History of them is continued till that time. For the Facts Registred are alwaies more ancient than such Books as make mention of, and quote the Register; as these Books doe in divers places, referring the Reader to the Chronicles of the Kings of Juda, to the Chronicles of the Kings of Israel, to the Books of the Prophet Samuel, or the Prophet Nathan, of the Prophet Ahijah; to the Vision of Jehdo, to the Books of the Prophet Serveiah, and of the Prophet Addo."|Leviathan|"Thomas Hobbes"
"ap 10:27"|10.27|"As for the two Books of the Kings, and the two books of the Chronicles, besides the places which mention such monuments, as the Writer saith, remained till his own days; such as are 1 Kings 9.13. 9.21. 10. 12. 12.19. 2 Kings 2.22. 8.22. 10.27. 14.7. 16.6. 17.23. 17.34. 17.41. 1 Chron. 4.41. 5.26. It is argument sufficient they were written after the captivity in Babylon, that the History of them is continued till that time. For the Facts Registred are alwaies more ancient than such Books as make mention of, and quote the Register; as these Books doe in divers places, referring the Reader to the Chronicles of the Kings of Juda, to the Chronicles of the Kings of Israel, to the Books of the Prophet Samuel, or the Prophet Nathan, of the Prophet Ahijah; to the Vision of Jehdo, to the Books of the Prophet Serveiah, and of the Prophet Addo."|Leviathan|"Thomas Hobbes"
17:23|17.23|"As for the two Books of the Kings, and the two books of the Chronicles, besides the places which mention such monuments, as the Writer saith, remained till his own days; such as are 1 Kings 9.13. 9.21. 10. 12. 12.19. 2 Kings 2.22. 8.22. 10.27. 14.7. 16.6. 17.23. 17.34. 17.41. 1 Chron. 4.41. 5.26. It is argument sufficient they were written after the captivity in Babylon, that the History of them is continued till that time. For the Facts Registred are alwaies more ancient than such Books as make mention of, and quote the Register; as these Books doe in divers places, referring the Reader to the Chronicles of the Kings of Juda, to the Chronicles of the Kings of Israel, to the Books of the Prophet Samuel, or the Prophet Nathan, of the Prophet Ahijah; to the Vision of Jehdo, to the Books of the Prophet Serveiah, and of the Prophet Addo."|Leviathan|"Thomas Hobbes"
17:34|17.34|"As for the two Books of the Kings, and the two books of the Chronicles, besides the places which mention such monuments, as the Writer saith, remained till his own days; such as are 1 Kings 9.13. 9.21. 10. 12. 12.19. 2 Kings 2.22. 8.22. 10.27. 14.7. 16.6. 17.23. 17.34. 17.41. 1 Chron. 4.41. 5.26. It is argument sufficient they were written after the captivity in Babylon, that the History of them is continued till that time. For the Facts Registred are alwaies more ancient than such Books as make mention of, and quote the Register; as these Books doe in divers places, referring the Reader to the Chronicles of the Kings of Juda, to the Chronicles of the Kings of Israel, to the Books of the Prophet Samuel, or the Prophet Nathan, of the Prophet Ahijah; to the Vision of Jehdo, to the Books of the Prophet Serveiah, and of the Prophet Addo."|Leviathan|"Thomas Hobbes"
17:41|17.41|"As for the two Books of the Kings, and the two books of the Chronicles, besides the places which mention such monuments, as the Writer saith, remained till his own days; such as are 1 Kings 9.13. 9.21. 10. 12. 12.19. 2 Kings 2.22. 8.22. 10.27. 14.7. 16.6. 17.23. 17.34. 17.41. 1 Chron. 4.41. 5.26. It is argument sufficient they were written after the captivity in Babylon, that the History of them is continued till that time. For the Facts Registred are alwaies more ancient than such Books as make mention of, and quote the Register; as these Books doe in divers places, referring the Reader to the Chronicles of the Kings of Juda, to the Chronicles of the Kings of Israel, to the Books of the Prophet Samuel, or the Prophet Nathan, of the Prophet Ahijah; to the Vision of Jehdo, to the Books of the Prophet Serveiah, and of the Prophet Addo."|Leviathan|"Thomas Hobbes"
"ap 04:41"|4.41|"As for the two Books of the Kings, and the two books of the Chronicles, besides the places which mention such monuments, as the Writer saith, remained till his own days; such as are 1 Kings 9.13. 9.21. 10. 12. 12.19. 2 Kings 2.22. 8.22. 10.27. 14.7. 16.6. 17.23. 17.34. 17.41. 1 Chron. 4.41. 5.26. It is argument sufficient they were written after the captivity in Babylon, that the History of them is continued till that time. For the Facts Registred are alwaies more ancient than such Books as make mention of, and quote the Register; as these Books doe in divers places, referring the Reader to the Chronicles of the Kings of Juda, to the Chronicles of the Kings of Israel, to the Books of the Prophet Samuel, or the Prophet Nathan, of the Prophet Ahijah; to the Vision of Jehdo, to the Books of the Prophet Serveiah, and of the Prophet Addo."|Leviathan|"Thomas Hobbes"
