12:00|noontime|"He brings an athlete’s discipline to his work. While laboring on April 1865 he refused even to use e-mail. (He still doesn’t give out his cell phone number and won’t carry a BlackBerry; people looking for him end up calling his wife.) He eats the same breakfast each day and follows the same schedule, revising work from the previous day before sitting down to write. Except for the occasional movie, while at work he lives an almost monkish existence. (His vice is sneaking out during the spring, summer, and early fall for a periodic “nooner”—a noontime game of tennis.) Only Bogey, his Wheaten Terrier, intrudes to make his home among the books piled in the study."|"April 1865"|"Jay Winik"
12:00|noontime|"His vice is sneaking out during the spring, summer, and early fall for a periodic ‘nooner’—a noontime game of tennis."|"April 1865"|"Jay Winik"
12:00|noon|"Abraham Lincoln had been at the Capitol since midmorning, forgoing a traditional celebratory carriage ride up Pennsylvania Avenue to sign a stack of bills passed in the waning hours of the lame-duck Congress. He was determined to make his own mark on them before the vice presidential swearing in, scheduled for noon. Cloistered in the Senate wing, tracing and retracing the letters of his name, Lincoln remained the very picture of exhaustion. His face was heavily lined, his cheeks were sunken, and he had lost thirty pounds in recent months. Though only fifty-six, he could easily pass for a very old man. He was sick, dispirited, and even his hands were routinely cold and clammy. And today, the weather itself seemed to be colluding with his foul and melancholy mood. That morning, heavy clouds moved over Washington, as they had the day before and the day before that, whipping the capital with blasts of rain and wind. Even when the rain let up, the ground didn’t. The streets were a sea of mud at least ten inches deep. Still, the people came."|"April 1865"|"Jay Winik"
"~ 00:00"|"around midnight"|"In the early, predawn hours, Lee had already vetted his options with General John B. Gordon, a shrewd, able warrior and one of his most trusted lieutenants. That meeting had proved to be an eye-opener. A Confederate courier, sent by Lee, had roused Gordon sometime around midnight, and it took the thirty-three-year-old two hours of hard riding in a bitter chill to reach the commanding general at his Edge Hill headquarters, outside Petersburg. There, as Union troops slumbered and Washington celebrated, Gordon found Lee surrounded by a long table strewn with recent reports from every part of the army. One by one, Lee handed Gordon the papers to read. Lee, his face tight, already knew what was in them."|"April 1865"|"Jay Winik"
12:00|noon|"Others in high places, however, felt differently. In the weeks and days that followed, the matter continued to be debated endlessly in the Southern press and by Southern politicians, with perhaps the tensest confrontation occurring at noon on February 9, during a mass meeting at the African Church in Richmond, one of the rallies held in the wake of the failure of the North-South meeting at Hampton Roads."|"April 1865"|"Jay Winik"
"ap 08:00"|"eight o’clock"|"But as the early sun began to climb, the Confederate forces proved pitifully inadequate. They faced a fierce Union counterattack, a converging fire so intense that it was likened to a “metallic storm” or a massing, dark “flock of blackbirds with blazing tails beating about in a gale.” By eight o’clock, Lee’s daring raid had sputtered, and by midmorning, the Confederates had been driven back with a terrible loss of 4,800 men. The attack had gained Lee nothing, nothing except the loss of a solid tenth of his command. And if there were one thing he could ill afford to lose at this point, it was precisely that. Yet, “as if incapable of exhaustion,” noted Lee’s personal physician, “Lee rode erect—and from his perch, never faltered or lost his cool.” But as the reality hit that the assault had failed, and failed badly, even Lee could not mask the “careworn expression” lining his face. He knew time was running short."|"April 1865"|"Jay Winik"
"~ 12:00"|"Around noontime"|"This is hardly the first tight spot Robert E. Lee has been in. After other battles and on other retreats, following Antietam and Gettysburg, each time Lee has given his adversaries the slip. Around noontime today, his eyes gleaming, his face flushed with anticipation, Lee himself rides out to watch the developments firsthand by Burgess Hill."|"April 1865"|"Jay Winik"
"ap 04:00"|"four o’clock"|"By four o’clock, the initial reports are that his men may have checked the Federals once again. Across the Virginia hills, the tireless crack of enemy fire could be heard. Moodily, anxiously, he stares off in the distance, waiting for further news."|"April 1865"|"Jay Winik"
12:00|noon|"The Wilderness began as did so many other fateful battles—with a chance encounter. But within hours, this battle became something radically different. Under the dense cover of the woods, a savage fighting ruled: soldiers could rarely see the enemy through the twisted expanse of scrub oak and pines. They fired blindly into the smoke and murk, shooting at adversaries and allies alike. By noon, the combat had descended into sheer chaos. Commands separated and scattered. Mistakes went unexploited. And the geometry of conflict was maddening; opposing pockets of men, lost or confused or confounded, were tangled along all points of the compass—and soon the compass was the only instrument by which commanders could find their regiments. Darker than the blackest night, beneath the canopy of smoke and trees, without even stars to steer by, the Wilderness was now plunged into what one veteran described as the “battle of the invisibles with invisibles.” Explained another soldier, “It was a blind and bloody hunt to the death, in bewildering thickets, rather than a battle.” As the fighting raged throughout the afternoon, men crawled feverishly on their bellies, groping their way forward as bullets sliced through the air like a thousand small scythes. Then, suddenly, exploding rounds of shells set the underbrush on fire, and, soon, the crackle of flames intermingled with the wild screams of men and animals roasting alive."|"April 1865"|"Jay Winik"
"> 20:00"|"After 8 P.M."|"But the Federals kept coming, attacking and attacking, in wave after wave, never surrendering the advantage and never once allowing Lee a chance to maneuver. The fighting seesawed back and forth. By nightfall, a tenuous stalemate reigned, and men lay exhausted, resting fitfully on their muskets, mindful that their closest neighbor—“a biscuit’s toss away”—might be the enemy. After 8 P.M., except for random, anxious gunfire and the moans of the near-dead and dying, it grew strangely quiet. But the lull was only momentary: the Federals had secured a crucial position for attacking Lee’s right. Now they meant to make something of it; before dawn came, Grant ordered the assault."|"April 1865"|"Jay Winik"
04:30|"4:30 A.M."|"The bugles blew at 4:30 A.M. the next day, and 60,000 Union men rose up. In the dim, gray light, the rebels were waiting."|"April 1865"|"Jay Winik"
19:00|"seven o’clock that evening"|"But on April 1, by seven o’clock that evening, amid the budding trees and blooming daffodils, Five Forks was turning into Lee’s first disaster since the campaign had commenced in the Wilderness. At long last, a coordinated assault by the Federals had worked; they had not only crumpled Lee’s right flank and seized the Five Forks area, but they had almost encircled Petersburg south of the Appomattox River. Of even greater consequence was the fearful toll that the fighting of March 25 and April 1 had taken on Lee’s army. He had now lost a solid fourth of his men."|"April 1865"|"Jay Winik"
"> 00:00"|"just after midnight"|"For his part, Grant sensed opportunity. When he received news of Sheridan’s victory, he bluntly announced, “All right,” then ordered a frontal assault. It opened just after midnight on April 2, with a massive bombardment, hundreds of guns shelling the rebel trenches. Then, in a thickening fog, the infantry attack began at 4:45 A.M.—all along the Petersburg lines. It was the most massive attack since the start of the siege. It would unleash eighteen hours of continuous fighting."|"April 1865"|"Jay Winik"
04:45|"4:45 A.M."|"For his part, Grant sensed opportunity. When he received news of Sheridan’s victory, he bluntly announced, “All right,” then ordered a frontal assault. It opened just after midnight on April 2, with a massive bombardment, hundreds of guns shelling the rebel trenches. Then, in a thickening fog, the infantry attack began at 4:45 A.M.—all along the Petersburg lines. It was the most massive attack since the start of the siege. It would unleash eighteen hours of continuous fighting."|"April 1865"|"Jay Winik"
04:00|"4 A.M."|"As Grant’s army prepared to approach, Lee was in his headquarters, conferring with two of his closest lieutenants, Generals Longstreet and A. P. Hill. His demeanor was calm, but not so his body; he felt unwell, exhausted, and he had barely slept. It was 4 A.M."|"April 1865"|"Jay Winik"
"~ 16:00"|"around 4 P.M."|"Rumors flew. Word of the slow, bleak truth spread throughout the seven hills, and, by afternoon, most of Richmond knew that the city would have to be abandoned. Acceptance of the disaster began fitfully, accompanied by a sickening feeling of emptiness. Then came the initial panic. Railroad cars on the Danville line were hastily packed with boxes of official papers and more than $500,000 in gold and silver—gold eagles, gold bars, gold bullion, gold nuggets, and gold ingots; Mexican pesos; fine foreign currency; and gold plate and jewelry—while government officials tried to secure household goods and get reservations on the James River Canal packet boats for their families. It was generally assumed that the Confederate government had made adequate plans for evacuation. But events that afternoon told a different story. Church prayer services were canceled. For the next several hours, depositors stormed banks, and soldiers lugged wheelbarrows of Confederate specie onto the lawns of Capitol Square to light one of many fires set during the day. An official evacuation announcement was finally made, around 4 P.M., and it was at that point that any remaining veneer of calm broke."|"April 1865"|"Jay Winik"
"< 17:00"|"shortly before 5 P.M."|"For his part, a grim-faced but calm Jefferson Davis continued working in his office while his executive papers were packed up. Then, shortly before 5 P.M., he straightened his desk—not wanting the Federals to think him sloppy—and departed alone for the Confederate White House. His wife and children had already left the capital on a train bound for Charlotte, North Carolina. Around seven, after sending a favorite armchair to Mary Custis Lee with a note saying that he hoped it would ease her arthritis, Davis climbed into a carriage and headed for the railroad station, a freshly lit cigar clenched between his teeth."|"April 1865"|"Jay Winik"
"ap ~ 07:00"|"Around seven"|"For his part, a grim-faced but calm Jefferson Davis continued working in his office while his executive papers were packed up. Then, shortly before 5 P.M., he straightened his desk—not wanting the Federals to think him sloppy—and departed alone for the Confederate White House. His wife and children had already left the capital on a train bound for Charlotte, North Carolina. Around seven, after sending a favorite armchair to Mary Custis Lee with a note saying that he hoped it would ease her arthritis, Davis climbed into a carriage and headed for the railroad station, a freshly lit cigar clenched between his teeth."|"April 1865"|"Jay Winik"
