"ap 07:30"|"half-past seven"|"'To 'comfort' me,' said Cora, looking hard at a leg of the iron table. 'You can go on doing it until half-past seven, and then it will be your turn to be depressed.'"|"Boy in Darkness"|"Mervyn Peake"
"ap 11:00"|"eleven O' clock"|"Through the vile subterranean light that filled the Professors' Common-room three figures appeared to float as the brown billows shifted. Tobacco smoke had made of the place a kind of umber tomb. These three were the vanguard of a daily foregathering, as sacrosanct and inevitable as the elm-top meeting place of rooks in March. But how much less healthy! A foregathering of the Professors, for it was eleven O' clock and the short recreation had begun."|"Boy in Darkness"|"Mervyn Peake"
12:00|noon|"Someone had lit a lantern. It did very little, as it stood on the table, but illumine with a dusky glow the breast of the stuffed cormorant. There was something disgraceful about its necessity at noon in summer-time."|"Boy in Darkness"|"Mervyn Peake"
00:00|midnight|"They were as tall as towers, their great brows beetling over their sunken eyes, like shelves of overhanging rocks. In their ears were hoops of red gold, and in their mouths scytheedged cutlasses a-drip. Out of the red darkness they emerged, their eyes half closed against the sun, the water at their waists circling and bubbling with the hot light reflected from their bodies, their dimensions blotted out all else: and still they came on, until their wire-glinting breasts and rocky heads filled out the boy's brain. And still they came on, until there was only room enough for the smouldering head of the central buccaneer, a great salt-water lord, every inch of whose face was scabbed and scarred like a boy's knee, whose teeth were carved into the shapes of skulls, whose throat was circled by the tattooing of a scaled snake. And as the head enlarged, an eye became visible in the darkness of its sockets, and in a moment nothing else hut this wild and sinister organ could be seen. For a short while it stayed there, motionless. There was nothing else in the great world but this - globe. It 'was' the world, and suddenly like the world it rolled. And as it rolled it grew yet again, until there was nothing but the pupil, filling the consciousness; and in that midnight pupil Titus saw the reflection of himself peering forward. And someone approached him out of the darkness, of the pirate's pupil, and a rust-red pinpoint of light above the figure's brow became the coiled locks of his mother's wealth of hair. But before she could reach him her face and body had faded and in the place of the hair was Fuchsia's ruby; and the ruby danced about in the darkness, as though it were being jerked on the end of a string. And then it, also, was gone and the marble shone in his hand with all its spiralled colours - yellow, green, violet, blue, red... yellow... green... violet... blue... yellow... green... violet... yellow... green... yellow... 'yellow'."|"Boy in Darkness"|"Mervyn Peake"
"ap 05:00"|"five o'clock"|"The excitement in the multiform legs of the dragon had only begun to operate since the professors had left the Masters' Hall behind them, and with the Hall their duties also. For their day in the classrooms of Gormenghast was over, and if there was one thing above others that the professors looked forward to, it was this thrill, this five o'clock thrill of returning to their quarters."|"Boy in Darkness"|"Mervyn Peake"
"ap 07:00"|"seven o'clock"|"'Next Friday evening, at seven o'clock - R. S. V. P. it is,' panted Flannelcat."|"Boy in Darkness"|"Mervyn Peake"
12:00|midday|"Was there a slightly different feeling about the light as it slanted through the oak leaves and lay along the glades? Was there a less deathly stillness in the air? For a moment Titus thought he heard a sigh among the leaves above him. Was there a quickening in the torpor of the midday stillness?"|"Boy in Darkness"|"Mervyn Peake"
12:00|midday|"It was not long before the peerless lawns of moss that stretched between the oaks became pranked by dumps of ferns which, ignoring the sun's rays, appeared silhouetted, so dark was the viridian of their hanging fronds, so luminous their golden background. The relief to the boy's spirit was instantaneous, and when the sumptuous floor gave place to coarse grasses and the rank profusion of flowering weeds, and when, most refreshing of all to Titus' eyes, the oaks no longer cast their ancestral spell across the vistas, but were challenged by a variety of trees and shrubs, until the last of those gnarled monarchs had withdrawn and Titus found himself in a fresher atmosphere, then, at last he was dear of the nightmare and, with his hunger for redundant proof, was once again in the clear, sharp, actual world that he knew. The ground began to drop away before him at a lively gradient. As on the far side of the oak forest, here also were scattered rooks and groups of ferns; and then all of a sudden Titus gave a shout of happiness to see a living thing after the emptiness and nervelessness of the golden glades - a dog fox that, disturbed by his footsteps, had woken out of its midday sleep in a quiet nest of ferns, had got to its feet with extraordinary self-possession and trotted away at an even pace across the slant of the falling ground."|"Boy in Darkness"|"Mervyn Peake"
14:37|"fourteen... thirty-seven"|"'Now, if you are twelve, my boy, and I am eighty-six, let us say, for I think that ought to cover me, then let us take twelve from eighty-six and halve the result. No, no. I won't make 'you' do it because that would be most unfair. Ah yes, indeed it would - for what's the good of being a prisoner and then being made to do lessons too? Eh? Eh? Might as well not be punished, eh?... Let me see, where were we, where were we? Yes, yes, yes, twelve from eighty-six, that's about seventy-four, isn't it? Well, what is half seventy-four? I wonder... h'm, yes, twice three are six, carry one, and twice seven are fourteen... thirty-seven, I do believe. Thirty-seven. And what is thirty-seven? Why, it's just exactly the half-way age between us. So if I tried to be thirty-seven years young - and you tried to be thirty-seven years old - but that would be ' ' difficult, wouldn't it? Because you've never been thirty-seven, have you? But then, although your old headmaster has 'been' thirty-seven, long ago, he can't remember a thing about it except that it was somewhere about that time that he bought a bag of glass marbles. O yes he did. And why? Because he became tired of teaching grammar and spelling and arithmetic. O yes, and because he saw how much happier the people were who played marbles than the people were who didn't. That's a bad sentence, my boy. So I used to play in the dark after the other young professors were asleep. We had one of the old Gormenghast tapestry-carpets in the room and I used to light a candle and place my marbles on the corners of patterns in the carpet, and in the middle of crimson and yellow flowers. I can remember the carpet perfectly as though it was here in this old fort, and there, every night by the glow of a candle, I would practise until I could flick a marble along the floor so that when it struck another it spun round and round but stayed exactly where it was, my boy, while the one it had struck shot off like a rocket to land at the other end of the room in the centre of a crimson carpet flower (if I was successful), or if not, near enough to couch itself at the next flick. And the sounds of the glass marbles in the still of the night when they struck was like the sound of tiny crystal vases breaking on stone floors - but I am getting too poetic, my boy, aren't I? And boys don't like poetry, do they?'"|"Boy in Darkness"|"Mervyn Peake"
00:00|midnight|"There was no need for him to dress. He slept in his clothes on a lice-infested mattress. There was no bed; just the crawling mattress on the carpetless floor-boards where cockroaches and beetles burrowed and insects of all kinds lived, bred and died, and where the midnight rat sat upright in the silver dust and bared its long teeth to the pale beams, when in its fullness the moon filled up the midnight window like an abstract of itself in a picture frame."|"Boy in Darkness"|"Mervyn Peake"
05:00|"five in the morning"|"If Barquentine rose early from his hideous couch, Steerpike in a secret room of his own choosing, a room as spotless and bright as a new pin, arose earlier. This was not a habit with him. He had no habits in that sort of way. He did what he wanted to do. He did what furthered his plans. If getting up at five in the morning would lead to something he coveted, then it was the most natural thing in the world for him to rise at that hour. If there was no necessity for action he would lie in bed all morning reading, practising knots with the cord he kept by his bedside, making paper darts of complicated design which he would float across his bedroom, or polishing the steel of the razoredged blade of his swordstick."|"Boy in Darkness"|"Mervyn Peake"
