05:30|"five-thirty in the morning"|"‘On the day they were going to kill him, Santiago Nasar got up at five-thirty in the morning to wait for the boat the bishop was coming on …’"|"Love in the Time of Cholera"|"Gabriel Garcia Marquez"
06:00|"six that morning"|"At six that morning, as he was making his last rounds, the night watchman had seen the note nailed to the street door: Come in without knocking and inform the police. A short while later the inspector arrived with the intern, and the two of them had searched the house for some evidence that might contradict the unmistakable breath of bitter almonds. But in the brief minutes the Doctor needed to study the unfinished game, the inspector discovered an envelope among the papers on the desk, addressed to Dr. Juvenal Urbino and sealed with so much sealing wax that it had to be ripped to pieces to get the letter out. The Doctor opened the black curtain over the window to have more light, gave a quick glance at the eleven sheets covered on both sides by a diligent handwriting, and when he had read the first paragraph he knew that he would miss Pentecost Communion. He read with agitated breath, turning back on several pages to find the thread he had lost, and when he finished he seemed to return from very far away and very long ago. His despondency was obvious despite his effort to control it: his lips were as blue as the corpse and he could not stop the trembling of his fingers as he refolded the letter and placed it in his vest pocket. Then he remembered the inspector and the young doctor, and he smiled at them through the mists of grief."|"Love in the Time of Cholera"|"Gabriel Garcia Marquez"
"ap 05:00"|five|"So he chose to spend a few minutes more and attend to all the details, although he could hardly bear his intense longing to share the secrets of the letter with his wife. He promised to notify the numerous Caribbean refugees who lived in the city in case they wanted to pay their last respects to the man who had conducted himself as if he were the most respectable of them all, the most active and the most radical, even after it had become all too clear that he had been overwhelmed by the burden of disillusion. He would also inform his chess partners, who ranged from distinguished professional men to nameless laborers, as well as other, less intimate acquaintances who might perhaps wish to attend the funeral. Before he read the posthumous letter he had resolved to be first among them, but afterward he was not certain of anything. In any case, he was going to send a wreath of gardenias in the event that Jeremiah de Saint-Amour had repented at the last moment. The burial would be at five, which was the most suitable hour during the hottest months. If they needed him, from noon on he would be at the country house of Dr. Lácides Olivella, his beloved disciple, who was celebrating his silver anniversary in the profession with a formal luncheon that day."|"Love in the Time of Cholera"|"Gabriel Garcia Marquez"
12:00|noon|"So he chose to spend a few minutes more and attend to all the details, although he could hardly bear his intense longing to share the secrets of the letter with his wife. He promised to notify the numerous Caribbean refugees who lived in the city in case they wanted to pay their last respects to the man who had conducted himself as if he were the most respectable of them all, the most active and the most radical, even after it had become all too clear that he had been overwhelmed by the burden of disillusion. He would also inform his chess partners, who ranged from distinguished professional men to nameless laborers, as well as other, less intimate acquaintances who might perhaps wish to attend the funeral. Before he read the posthumous letter he had resolved to be first among them, but afterward he was not certain of anything. In any case, he was going to send a wreath of gardenias in the event that Jeremiah de Saint-Amour had repented at the last moment. The burial would be at five, which was the most suitable hour during the hottest months. If they needed him, from noon on he would be at the country house of Dr. Lácides Olivella, his beloved disciple, who was celebrating his silver anniversary in the profession with a formal luncheon that day."|"Love in the Time of Cholera"|"Gabriel Garcia Marquez"
"ap 08:00"|"eight o’clock"|"He would spend an hour in his study preparing for the class in general clinical medicine that he taught at the Medical School every morning, Monday through Saturday, at eight o’clock, until the day before his death. He was also an avid reader of the latest books that his bookseller in Paris mailed to him, or the ones from Barcelona that his local bookseller ordered for him, although he did not follow Spanish literature as closely as French. In any case, he never read them in the morning, but only for an hour after his siesta and at night before he went to sleep. When he was finished in the study he did fifteen minutes of respiratory exercises in front of the open window in the bathroom, always breathing toward the side where the roosters were crowing, which was where the air was new. Then he bathed, arranged his beard and waxed his mustache in an atmosphere saturated with genuine cologne from Farina Gegenüber, and dressed in white linen, with a vest and a soft hat and cordovan boots. At eighty-one years of age he preserved the same easygoing manner and festive spirit that he had on his return from Paris soon after the great cholera epidemic, and except for the metallic color, his carefully combed hair with the center part was the same as it had been in his youth. He breakfasted en famille but followed his own personal regimen of an infusion of wormwood blossoms for his stomach and a head of garlic that he peeled and ate a clove at a time, chewing each one carefully with bread, to prevent heart failure. After class it was rare for him not to have an appointment related to his civic initiatives, or his Catholic service, or his artistic and social innovations."|"Love in the Time of Cholera"|"Gabriel Garcia Marquez"
"ap 04:00"|"four o’clock"|"He almost always ate lunch at home and had a ten-minute siesta on the terrace in the patio, hearing in his sleep the songs of the servant girls under the leaves of the mango trees, the cries of vendors on the street, the uproar of oil and motors from the bay whose exhaust fumes fluttered through the house on hot afternoons like an angel condemned to putrefaction. Then he read his new books for an hour, above all novels and works of history, and gave lessons in French and singing to the tame parrot who had been a local attraction for years. At four o’clock, after drinking a large glass of lemonade with ice, he left to call on his patients. In spite of his age he would not see patients in his office and continued to care for them in their homes as he always had, since the city was so domesticated that one could go anywhere in safety."|"Love in the Time of Cholera"|"Gabriel Garcia Marquez"
"ap 07:00"|"seven o’clock"|"It was all for chess. At first they played after supper at seven o’clock, with a reasonable handicap for Jeremiah de Saint-Amour because of his notable superiority, but the handicap was reduced until at last they played as equals. Later, when Don Galileo Daconte opened the first outdoor cinema, Jeremiah de Saint-Amour was one of his most dependable customers, and the games of chess were limited to the nights when a new film was not being shown. By then he and the Doctor had become such good friends that they would go to see the films together, but never with the Doctor’s wife, in part because she did not have the patience to follow the complicated plot lines, and in part because it always seemed to her, through sheer intuition, that Jeremiah de Saint-Amour was not a good companion for anyone."|"Love in the Time of Cholera"|"Gabriel Garcia Marquez"
"< 12:00"|"before noon"|"The sky had begun to threaten very early in the day and the weather was cloudy and cool, but there was no chance of rain before noon. In his effort to find a shorter route, the coachman braved the rough cobblestones of the colonial city and had to stop often to keep the horse from being frightened by the rowdiness of the religious societies and fraternities coming back from the Pentecost liturgy. The streets were full of paper garlands, music, flowers, and girls with colored parasols and muslin ruffles who watched the celebration from their balconies. In the Plaza of the Cathedral, where the statue of The Liberator was almost hidden among the African palm trees and the globes of the new streetlights, traffic was congested because Mass had ended, and not a seat was empty in the venerable and noisy Parish Café. Dr. Urbino’s was the only horse-drawn carriage; it was distinguishable from the handful left in the city because the patent-leather roof was always kept polished, and it had fittings of bronze that would not be corroded by salt, and wheels and poles painted red with gilt trimming like gala nights at the Vienna Opera. Furthermore, while the most demanding families were satisfied if their drivers had a clean shirt, he still required his coachman to wear livery of faded velvet and a top hat like a circus ringmaster’s, which, more than an anachronism, was thought to show a lack of compassion in the dog days of the Caribbean summer."|"Love in the Time of Cholera"|"Gabriel Garcia Marquez"
"ap ~ 11:15"|"about a quarter past eleven"|"She insisted that she deserved no praise, but rather that Jeremiah de Saint-Amour, already lost in the mists of death, had moved his pieces without love. When he stopped the game at about a quarter past eleven, for the music from the public dances had ended, he asked her to leave him. He wanted to write a letter to Dr. Juvenal Urbino, whom he considered the most honorable man he had ever known, and his soul’s friend, as he liked to say, despite the fact that the only affinity between the two was their addiction to chess understood as a dialogue of reason and not as a science. And then she knew that Jeremiah de Saint-Amour had come to the end of his suffering and that he had only enough life left to write the letter. The Doctor could not believe it."|"Love in the Time of Cholera"|"Gabriel Garcia Marquez"
"> 00:00"|"a little after midnight"|"She had returned home a little after midnight. She lay down fully dressed on her bed, to smoke one cigarette after another and give him time to finish what she knew was a long and difficult letter, and a little before three o’clock, when the dogs began to howl, she put the water for coffee on the stove, dressed in full mourning, and cut the first rose of dawn in the patio. Dr. Urbino already realized how completely he would repudiate the memory of that irredeemable woman, and he thought he knew why: only a person without principles could be so complaisant toward grief."|"Love in the Time of Cholera"|"Gabriel Garcia Marquez"
"ap < 03:00"|"a little before three o’clock"|"She had returned home a little after midnight. She lay down fully dressed on her bed, to smoke one cigarette after another and give him time to finish what she knew was a long and difficult letter, and a little before three o’clock, when the dogs began to howl, she put the water for coffee on the stove, dressed in full mourning, and cut the first rose of dawn in the patio. Dr. Urbino already realized how completely he would repudiate the memory of that irredeemable woman, and he thought he knew why: only a person without principles could be so complaisant toward grief."|"Love in the Time of Cholera"|"Gabriel Garcia Marquez"
