23:59|"one minute before midnight"|"Before the dwarf could announce the time of the performance, before the crowd of youths could draw out their clubs, Frex leaped on the lower step of the thing—a fold-down stage on hinges. “Why is this thing called a clock? The only clock face it has is flat, dull, and lost in all that distracting detail. Furthermore, the hands don’t move: Look, see for yourselves! They’re painted to remain at one minute before midnight! All you’ll see here is mechanics, my friends: I know this for a fact. You’ll see mechanical cornfields growing, moons waxing and waning, a volcano to spew a soft red cloth done up with black and red sequins. With all this tiktok-y business, why not have a pair of circulating arms on the clock face? Why not? I ask you, I’m asking you, yes, you, Gawnette, and you, Stoy, and you, Perippa. Why no real clock here?”"|Wicked|"Gregory Maguire"
00:00|midnight|"“Your father is a charlatan,” continued Melena. “He used to be very good in bed for a religious man, and this is how I know his secret. Holy men are supposed to be above earthly pleasures, but your father enjoyed his midnight wrestling. Once upon a time! We must never tell him we know he’s a humbug, it would break his heart. We don’t want to break his heart, do we?” And then Melena burst into a high peal of laughter."|Wicked|"Gregory Maguire"
00:00|midnight|"So Galinda was stuck. Last night’s brief interview with Madame Morrible had not provided any escape route, either. Galinda had arrived promptly, in a dotted morpheline skirt with lace bodice, a vision, as she’d said to herself, in nocturnal purples and midnight blues. Madame Morrible bade her enter the reception room, in which a small cluster of leather chairs and a settee were drawn up before an unnecessary fire. The Head poured mint tea and offered crystallized ginger wrapped in pearlfruit leaves. She indicated a chair for Galinda, but herself stood by the mantelpiece like a big game hunter."|Wicked|"Gregory Maguire"
12:00|midday|"My dear Miss Elphaba,
    I am bade to write to you by my hostesses the Misses Pfannee of Pfann Hall and Shenshen of the Minkos Clan. We are having a lovely summer at Lake Chorge. The air is calm and sweet and all is as pleasant as anything. If you would like to visit us for three or four days before school begins, we know you have been hard at work all summer and so. A little change. If you would like to come no need to write if you would like to visit. Just arrive by coach at Neverdale and come by foot or hire a hansom cab, it’s just a mile or two by the bridge. The house is dear, covered in roses and ivy, it’s called the “Caprice-in-the-Pines.” Who wouldn’t love it here! I do hope you can come! I do very specially hope so for reasons I dare not write. I cannot advise you as to chaperones as Ama Clutch is already here and so is Ama Clipp and Ama Vimp. You can decide. We hope for long hours of amusing conversation. Ever your loving friend,
  Miss Galinda
of the Arduennas of the Upland
33 Highsummer, midday
at “Caprice-in-the-Pines”"|Wicked|"Gregory Maguire"
"ap 11:00"|eleven|"Five days later they had made it past the gatekeeper, the receptionists, and the social secretary. They had sat for hours awaiting a three-minute interview with the Commander-General of Audiences. Elphaba, a hard, twisted look on her face, had managed to eject the words “Madame Morrible” from between her clamping lips. “Tomorrow at eleven,” said the Commander-General. “You will have four minutes between the Ambassador to Ix and the Matron of the Ladies’ Home Guard Social Nourishment Brigade. Dress code is formal.” He handed them a card of regulations that, being unequipped with courtly dress, they were obliged to ignore."|Wicked|"Gregory Maguire"
"ap 03:00"|three|"At three the following afternoon (everything running late), the Ambassador to Ix left the Throne Room looking agitated and splenetic. Glinda fluffed the bedraggled feathers in her traveling hat for the eightieth time, and sighed, “Now you’re the one who says what should be said.” Elphaba nodded. To Glinda she looked tired, terrified, but strong, as if her form were knit with iron and whiskey instead of bones and blood. The Commander-General of Audiences appeared in the doorway of the waiting salon."|Wicked|"Gregory Maguire"
03:00|"three in the morning"|"“How do I know, how could I know?” She twisted her fingers together, a puzzle of green sticks. “They march in those boots all over the poor and the weak. They terrify households at three in the morning and drag away dissenters—and break up printing presses with their axes—and hold mock trials for treason at midnight and executions at dawn. They rake over every quarter of this beautiful, false city. They harvest a crop of victims on a monthly basis. It’s government by terror. They could be massing on the street right now. Never having yet followed me, they may have followed you.”"|Wicked|"Gregory Maguire"
00:00|midnight|"“How do I know, how could I know?” She twisted her fingers together, a puzzle of green sticks. “They march in those boots all over the poor and the weak. They terrify households at three in the morning and drag away dissenters—and break up printing presses with their axes—and hold mock trials for treason at midnight and executions at dawn. They rake over every quarter of this beautiful, false city. They harvest a crop of victims on a monthly basis. It’s government by terror. They could be massing on the street right now. Never having yet followed me, they may have followed you.”"|Wicked|"Gregory Maguire"
"> 00:00"|"after midnight"|"“Look, I’ll sit you down here,” she said to the woman. “I don’t know if you need sanctuary or food or a bath or forgiveness, whatever. But you can stop here, warm and dry and safe and quiet. I’ll come back to you after midnight. It’s the feast day, you see. It’s the vigil service. Watch and wait, and hope.”"|Wicked|"Gregory Maguire"
00:00|midnight|"There had been bees in the kitchen garden at Crage Hall, and again at the Cloister of Saint Glinda in the Shale Shallows. Elphie was entranced by them. But Liir was terrified, and the cook threatened to disappear and leave the group traumatized by an inability to do a really top-notch bechamel sauce in the wilderness. Discussion was waged. An old man in the party, heading westward to die because of some midnight vision, ventured as to how a little honey would improve the tasteless sparrowleaf tea. A Glikkun mail-order bride agreed. Oatsie, of sentimental enthusiasms when least expected, voted for honey. So Elphie climbed the tree and talked to the bees, and they came along in a swarm, but most travelers stayed in the other wagons, suddenly scared of every fleck of dust that flitted against the skin."|Wicked|"Gregory Maguire"
00:00|midnight|"She felt in herself a jolt of pleasurable expectation over the thought of approaching the Scrow. Along with so much else, she had forgotten what pleasurable expectation was. As night fell, everyone seemed more alert, out of fear and excitement. The skies throbbed with turquoise, even at midnight. Starlight and comet tails burned the tips of endless grass below into a hammered silver. Like thousands of tapers in the chapel, just blown out but still glowing."|Wicked|"Gregory Maguire"
