15:17|"3:17 P.M."|"-----------------
3:17 P.M.
It had been raining hard since five o'clock that morning. Brontean weather, Dr. Barrett thought. He repressed a smile. He felt rather like a character in some latter-day Gothic romance."|"Hell House"|"Richard Matheson"
05:00|"five o'clock that morning"|"-----------------
3:17 P.M.
It had been raining hard since five o'clock that morning. Brontean weather, Dr. Barrett thought. He repressed a smile. He felt rather like a character in some latter-day Gothic romance."|"Hell House"|"Richard Matheson"
05:00|"five o'clock that morning"|"It had been raining hard since five o'clock that morning. Brontean weather, Dr. Barrett thought. He repressed a smile. He felt rather like a character in some latter-day Gothic romance."|"Hell House"|"Richard Matheson"
15:50|"3:50 P.M."|"He nodded once. ""A week,"" he said.
3:50 P.M.
Anything else?"" asked Hanley."|"Hell House"|"Richard Matheson"
16:37|"4:37 P.M."|"What if it was really as bad as the two accounts claimed it was?
4:37 P.M.
The Rolls-Royce sped along the highway toward Manhattan."|"Hell House"|"Richard Matheson"
22:39|"10:39 P.M."|"-----------------
10:39 P.M.
Florence Tanner crossed the yard which separated her small house from the church and walked along the alley to the street. She stood on the sidewalk and gazed at her church. It was only a converted store, but it had been everything to her these past six years. She looked at the sign in the painted window: TEMPLE OF SPIRITUAL HARMONY. She smiled. It was indeed. Those six years had been the most spiritually harmonious of her life."|"Hell House"|"Richard Matheson"
"ap 11:00"|11:00|"She walked to the door, unlocked it, and went inside. The warmth felt good. Shivering, she turned on the wall lamp in the vestibule. Her eye was caught by the bulletin board: Sunday Services--11:00 am., 8:00 p.m."|"Hell House"|"Richard Matheson"
"ap 11:00"|11:00|"She walked to the door, unlocked it, and went inside. The warmth felt good. Shivering, she turned on the wall lamp in the vestibule. Her eye was caught by the bulletin board: Sunday Services--11:00 am., 8:00 p.m.
Healing and Prophecy--Tuesdays, 7:45 p.m.
Lectures and Spirit Greetings--Wednesdays, 7:45 p.m."|"Hell House"|"Richard Matheson"
19:45|"7:45 p.m."|"She walked to the door, unlocked it, and went inside. The warmth felt good. Shivering, she turned on the wall lamp in the vestibule. Her eye was caught by the bulletin board: Sunday Services--11:00 am., 8:00 p.m.
Healing and Prophecy--Tuesdays, 7:45 p.m.
Lectures and Spirit Greetings--Wednesdays, 7:45 p.m."|"Hell House"|"Richard Matheson"
19:45|"7:45 p.m."|"Healing and Prophecy--Tuesdays, 7:45 p.m.
Lectures and Spirit Greetings--Wednesdays, 7:45 p.m.
Messages and Revelations--Thursdays, 7:45 p.m."|"Hell House"|"Richard Matheson"
19:45|"7:45 p.m."|"Lectures and Spirit Greetings--Wednesdays, 7:45 p.m.
Messages and Revelations--Thursdays, 7:45 p.m.
Holy Communion--1st Sunday of Month"|"Hell House"|"Richard Matheson"
23:17|"11:17 P.M."|"God was good.
11:17 P.M.
Edith finished brushing her teeth and gazed at her reflection in the mirror--at her short-cut auburn hair, her strong, almost masculine features. Her expression was a worried one."|"Hell House"|"Richard Matheson"
"ap 10:00"|"ten o'clock"|"Lionel was asleep. She sat on her bed and looked at him, listening to the sound of his heavy breathing. Poor dear, she thought. There had been so much to do. By ten o'clock he'd been exhausted, and she'd made him go to bed."|"Hell House"|"Richard Matheson"
23:41|"11:41 P.M."|"Edith closed her eyes and drew her legs up. She couldn't face that again. The worst haunted house in the world threatened her less than being alone.
11:41 P.M.
He couldn't sleep. Fischer opened his eyes and looked around the cabin of Deutsch's private plane. Strange to be sitting in an armchair in an airplane, he thought. Strange to be sitting in an airplane at all. He'd never flown in his life."|"Hell House"|"Richard Matheson"
11:19|"11:19 A.M."|"-----------------
11:19 A.M.
The two black Cadillacs moved along the road, which twisted through dense forest. In the lead car was Deutsch's representative. Dr. Barrett, Edith, Florence Tanner, and Fischer rode in the second, chauffeur-driven limousine, Fischer sitting on the pull-down seat, facing the other three."|"Hell House"|"Richard Matheson"
"ap 06:00"|six|"The man leaned over. ""We're at the turnoff,"" he said. ""Your chauffeur is going into Caribou Falls with us, so one of you will have to drive to the house--it's just a little way. The telephone has been connected, the electricity is on, and your rooms are ready."" He glanced at the floor. ""The food in that basket should see you through the afternoon. Supper will be delivered at six. Any questions?"""|"Hell House"|"Richard Matheson"
11:47|"11:47 A.M."|"Fischer answered without looking back. ""Expect anything,"" he said.
11:47 A.M.
For the past five minutes Fischer had been inching the Cadillac along the narrow, fog-bound road. Now he braked and stopped the engine. ""We're here."" he said. He wrenched up the door handle and ducked outside, buttoning his Navy pea coat."|"Hell House"|"Richard Matheson"
"ap 07:31"|7:31|"Fischer pointed the flashlight at the large electric wall clock above the stove. Its hands were stopped at 7:31. A.M. or P.M., and on what day? Barrett wondered as he limped along the wall to his right, pulling open drawers. Edith and Florence stood together, watching him. Barrett pulled open one of the cupboard doors and grunted as Fischer shone the light over. ""Genuine spirits,"" he said, looking at the shelves of dust-filmed bottles. ""Perhaps we'll raise some after supper."""|"Hell House"|"Richard Matheson"
12:19|"12:19 P.M."|"""The food wasn't aimed at their hearts,"" said Fischer, taking a box of candles from the drawer.
12:19 P.M.
They started back across the entry hall, each carrying a candle in a holder. As they moved, the flickering illumination made their shadows billow on the walls and ceiling."|"Hell House"|"Richard Matheson"
12:46|"12:46 P.M."|"""Do you?"" Fischer's smile was strange as he looked at the phonograph. ""We all had our attention on that a few moments ago,"" he said. ""How do you know he didn't walk right by us while we were listening?""
12:46 P.M.
They were moving up the staircase when an icy breeze passed over them, causing their candle flames to flicker. Edith's flame went out. ""What was that?"" she whispered."|"Hell House"|"Richard Matheson"
14:21|"2:21 P.M."|"He wasn't going to do anything prematurely, that was certain. He wasn't going to do a thing until he got the feel of the place.
2:21 P.M.
Fischer came into the great hall carrying his flashlight. He had changed into a black turtleneck sweater, black corduroy trousers, and a pair of scuffed white tennis shoes. His steps were soundless as he moved toward the huge round table where Barrett, seated, and Edith, standing, were opening wooden boxes and unloading equipment. In the fireplace, a fire was burning."|"Hell House"|"Richard Matheson"
14:53|"2:53 P.M."|"Edith put the list down numbly. My God, she thought. What kind of week was it going to be?
2:53 P.M.
The garage had been built to accommodate seven automobiles. Now it was empty. As they entered, Fischer thumbed off his flashlight, enough daylight filtering through the grimy door windows for them to see. He looked at the greenish mist which pressed against the panes of glass."|"Hell House"|"Richard Matheson"
18:42|"6:42 P.M."|"""Oh, shit."" Turning on his heel, he stalked away from her.
6:42 P.M.
The dining hall was sixty feet in length, and as high as it was wide--twenty-seven feet in both directions. There were two entrances to it--one an archway from the great hall, the other a swinging door leading to the kitchen."|"Hell House"|"Richard Matheson"
"ap 06:15"|six-fifteen|"The four were sitting at one end of the table, Barrett at its head. The unseen couple from Caribou Falls had left the supper at six-fifteen."|"Hell House"|"Richard Matheson"
"ap 05:00"|five|"""Sandler was married,"" Fischer said. He paused, went on. ""His childhood is a blank except for isolated incidents. At five he hanged a cat to see if it would revive for the second of its nine lives. When it didn't, he became infuriated and chopped the cat to pieces, flinging the parts from his bedroom window. After that, his mother called him Evil Emeric."""|"Hell House"|"Richard Matheson"
20:46|"8:46 P.M."|"""Belasco was not among them.""
8:46 P.M.
Florence came walking back across the great hall. For the past ten minutes, she'd been sitting in a corner, ""preparing herself,"" she'd told them. Now she was ready. ""As ready as one can be in this kind of climate. Excessive dampness is always a handicap."" She smiled. ""Shall we take our places?"""|"Hell House"|"Richard Matheson"
21:49|"9:49 P.M."|"""Just watch your step,"" he cut her off. ""The Lord may not have too much influence in Hell House.""
9:49 P.M.
_Science is more than a body of facts. It is, first and foremost, a method of investigation, and there is no acceptable reason why parapsychological phenomena should not be investigated by this method, for, as much as physics and chemistry, parapsychology is a science of the natural._"|"Hell House"|"Richard Matheson"
