"ap 07:30"|"half-past seven"|"This year it was held in the large hall of the University Y. M. C. A., a moral apartment with red wall paper, portraits of whiskered alumni who had gone out to be missionaries, and long thin pine boxes intended to resemble exposed oak beams. About the famous guests—Dr. Rouncefield the Chicago surgeon, a diabetes specialist from Omaha, a Pittsburgh internist—stood massed the faculty members. They tried to look festal, but they were worn and nervous after four months of school. They had wrinkles and tired eyes. They were all in business suits, mostly unpressed. They sounded scientific and interested; they used words like phlebarteriectasia and hepatocholangio-enterostomy, and they asked the guests, “So you just been in Rochester? What’s, uh, what’re Charley and Will doing in orthopedics?” But they were full of hunger and melancholy. It was half-past seven, and they who did not normally dine at seven, dined at six-thirty."|Arrowsmith|"Sinclair Lewis"
"ap 06:30"|six-thirty|"This year it was held in the large hall of the University Y. M. C. A., a moral apartment with red wall paper, portraits of whiskered alumni who had gone out to be missionaries, and long thin pine boxes intended to resemble exposed oak beams. About the famous guests—Dr. Rouncefield the Chicago surgeon, a diabetes specialist from Omaha, a Pittsburgh internist—stood massed the faculty members. They tried to look festal, but they were worn and nervous after four months of school. They had wrinkles and tired eyes. They were all in business suits, mostly unpressed. They sounded scientific and interested; they used words like phlebarteriectasia and hepatocholangio-enterostomy, and they asked the guests, “So you just been in Rochester? What’s, uh, what’re Charley and Will doing in orthopedics?” But they were full of hunger and melancholy. It was half-past seven, and they who did not normally dine at seven, dined at six-thirty."|Arrowsmith|"Sinclair Lewis"
12:00|noon|"How Clif obtained the hundred dollars has never been explained, but he was back with it in a quarter-hour. They went on to dinner, and Martin had much too much whisky. Clif took him to his own boarding house—which was decidedly less promissory of prosperity than Clif’s clothes—firmly gave him a cold bath to bring him to, and put him to bed. Next morning he offered to find a job for him, but Martin refused and left Zenith by the northbound train at noon."|Arrowsmith|"Sinclair Lewis"
"ap 02:43"|2:43|"But to return to the University before he had seen Leora was impossible. His need of her was an obsession, making the rest of earth absurd and worthless. He had, with blurry cunning, saved most of the hundred dollars he had taken from Clif; he had lived—very badly, on grease—swimming stews and soda-reeking bread—by what he earned along the way. Suddenly, on no particular day, in no particular town in Wisconsin, he stalked to the station, bought a ticket to Wheatsylvania, North Dakota, and telegraphed to Leora, “Coming 2:43 tomorrow Wednesday Sandy.”"|Arrowsmith|"Sinclair Lewis"
00:00|midnight|"He crossed the wide Mississippi into Minnesota. He changed trains at St. Paul; he rolled into gusty vastnesses of snow, cut by thin lines of fence-wire. He felt free, in release from the little fields of Winnemac and Ohio, in relaxation from the shaky nerves of midnight study and midnight booziness. He remembered his days of wire-stringing in Montana and regained that careless peace. Sunset was a surf of crimson, and by night, when he stepped from the choking railroad coach and tramped the platform at Sauk Centre, he drank the icy air and looked up to the vast and solitary winter stars. The fan of the Northern Lights frightened and glorified the sky. He returned to the coach with the energy of that courageous land. He nodded and gurgled in brief smothering sleep; he sprawled on the seat and talked with friendly fellow vagrants; he drank bitter coffee and ate enormously of buckwheat cakes at a station restaurant; and so, changing at anonymous towns, he came at last to the squatty shelters, the two wheat elevators, the cattle pen, the oil tank, and the red box of a station with its slushy platform, which composed the outskirts of Wheatsylvania. Against the station, absurd in a huge coonskin coat, stood Leora. He must have looked a little mad as he stared at her from the vestibule, as he shivered with the wind. She lifted to him her two open hands, childish in red mittens. He ran down, he dropped his awkward bag on the platform and, unaware of the gaping furry farmers, they were lost in a kiss."|Arrowsmith|"Sinclair Lewis"
12:00|noon|"Years after, in a tropic noon, he remembered the freshness of her wind-cooled cheeks."|Arrowsmith|"Sinclair Lewis"
"ap 09:30"|nine-thirty|"The conference lasted till nine-thirty, which, as Mr. Tozer pointed out, was everybody’s bedtime, and except for the five-minute discussion as to whether Miss Ada Quist was to stay to supper, and the debate on the saltiness of this last corn beef, they clave faithfully to the inquiry as to whether Martin and Leora were engaged. All persons interested, which apparently did not include Martin and Leora, decided that they were not. Bert ushered Martin upstairs. He saw to it that the lovers should not have a chance for a good-night kiss; and until Mr. Tozer called down the hall, at seven minutes after ten, “You going to stay up and chew the rag the whole blessed night, Bert?” he made himself agreeable by sitting on Martin’s bed, looking derisively at his shabby baggage, and demanding the details of his parentage, religion, politics, and attitude toward the horrors of card-playing and dancing."|Arrowsmith|"Sinclair Lewis"
"ap 10:07"|"seven minutes after ten"|"The conference lasted till nine-thirty, which, as Mr. Tozer pointed out, was everybody’s bedtime, and except for the five-minute discussion as to whether Miss Ada Quist was to stay to supper, and the debate on the saltiness of this last corn beef, they clave faithfully to the inquiry as to whether Martin and Leora were engaged. All persons interested, which apparently did not include Martin and Leora, decided that they were not. Bert ushered Martin upstairs. He saw to it that the lovers should not have a chance for a good-night kiss; and until Mr. Tozer called down the hall, at seven minutes after ten, “You going to stay up and chew the rag the whole blessed night, Bert?” he made himself agreeable by sitting on Martin’s bed, looking derisively at his shabby baggage, and demanding the details of his parentage, religion, politics, and attitude toward the horrors of card-playing and dancing."|Arrowsmith|"Sinclair Lewis"
13:00|"one that afternoon"|"But at ten Martin and Leora were on the eastbound train. They got out at the county seat, Leopolis, a vast city of four thousand population, with a three-story building. At one that afternoon they were married, by the German Lutheran pastor. His study was a bareness surrounding a large, rusty woodstove, and the witnesses, the pastor’s wife and an old German who had been shoveling walks, sat on the woodbox and looked drowsy. Not till they had caught the afternoon train for Wheatsylvania did Martin and Leora escape from the ghostly apprehension which had hunted them all day. In the fetid train, huddled close, hands locked, innocently free of the alienation which the pomposity of weddings sometimes casts between lovers, they sighed, “Now what are we going to do—what are we going to do?”"|Arrowsmith|"Sinclair Lewis"
"ap 03:00"|"three-o’clock"|"Once he heard a door open, and thrilled to her coming. He waited, taut. She did not come. He peeped out, determined to find her room. His deep feeling about his brother-in-law suddenly increased. Bert was parading the hall, on guard. Had Bert been more formidable, Martin might have killed him, but he could not face that buck-toothed and nickering righteousness. He lay and resolved to curse them all in the morning and go off with Leora, but with the coming of the three-o’clock depression he perceived that with him she would probably starve, that he was disgraced, that it was not at all certain he would not become a drunkard."|Arrowsmith|"Sinclair Lewis"
00:00|midnight|"Till Martin graduated they kept that room, their home, ever dearer. No one was so domestic as these birds of passage. At least two evenings a week Martin dashed in from Mohalis and studied there. She had a genius for keeping out of his way, for not demanding to be noticed, so that, while he plunged into his books as he never had done in Clif’s rustling, grunting, expectorating company, he had ever the warm, half-conscious feeling of her presence. Sometimes, at midnight, just as he began to realize that he was hungry, he would find that a plate of sandwiches had by silent magic appeared at his elbow. He was none the less affectionate because he did not comment. She made him secure. She shut out the world that had pounded at him."|Arrowsmith|"Sinclair Lewis"
