"ap 05:00"|"five o’clock"|"It was five o’clock on a winter’s morning in Syria. Alongside the platform at Aleppo stood the train grandly designated in railway guides as the Taurus Express. It consisted of a kitchen and dining car, a sleeping car and two local coaches."|"Murder on the Orient Express"|"Agatha Christie"
"ap 04:55"|"Five minutes to five"|"A cold wind came whistling down the platform. Both men shivered. Lieutenant Dubosc managed to cast a surreptitious glance at his watch. Five minutes to five—only five minutes more!"|"Murder on the Orient Express"|"Agatha Christie"
"ap 07:40"|seven-forty|"“Eh bien,” said Lieutenant Dubosc hastily as another pause seemed to be about to occur. “Tomorrow evening at seven-forty you will be in Constantinople.”"|"Murder on the Orient Express"|"Agatha Christie"
05:00|"Five o’clock in the morning"|"Five o’clock in the morning is an awkward time to board a train. There was still two hours before dawn. Conscious of an inadequate night’s sleep, and of a delicate mission successfully accomplished, M. Poirot curled up in a corner and fell asleep."|"Murder on the Orient Express"|"Agatha Christie"
"ap 09:30"|"half-past nine"|"When he awoke it was half-past nine, and he sallied forth to the restaurant car in search of hot coffee."|"Murder on the Orient Express"|"Agatha Christie"
"ap ~ 11:30"|"about half-past eleven"|"They arrived at Konya that night about half-past eleven. The two English travellers got out to stretch their legs, pacing up and down the snowy platform."|"Murder on the Orient Express"|"Agatha Christie"
"~ 14:30"|"about half-past two in the afternoon"|"It was about half-past two in the afternoon when the train came to a halt. Heads were poked out of windows. A little knot of men were clustered by the side of the line looking and pointing at something under the dining car."|"Murder on the Orient Express"|"Agatha Christie"
"ap 06:55"|6:55|"“But we can’t afford delay! The train is due in at 6:55 and one has to cross the Bosphorus and catch the Simplon Orient Express the other side at nine o’clock. If there is an hour or two of delay we shall miss the connection.”"|"Murder on the Orient Express"|"Agatha Christie"
"ap 01:00"|one|"“But we can’t afford delay! The train is due in at 6:55 and one has to cross the Bosphorus and catch the Simplon Orient Express the other side at nine o’clock. If there is an hour or two of delay we shall miss the connection.”"|"Murder on the Orient Express"|"Agatha Christie"
"ap 09:00"|"nine o’clock"|"“But we can’t afford delay! The train is due in at 6:55 and one has to cross the Bosphorus and catch the Simplon Orient Express the other side at nine o’clock. If there is an hour or two of delay we shall miss the connection.”"|"Murder on the Orient Express"|"Agatha Christie"
"ap 09:00"|"nine o’clock"|"“I shall have to go on tonight,” he said to the concierge. “At what time does the Simplon Orient leave?”
“At nine o’clock, Monsieur.”
“Can you get me a sleeper?”"|"Murder on the Orient Express"|"Agatha Christie"
"ap 07:50"|"ten minutes to eight"|"“Bien, Monsieur. I will get you a ticket to London and reserve your sleeping car accommodation in the Stamboul-Calais coach.”
Poirot glanced at the clock again. It was ten minutes to eight.
“I have time to dine?”"|"Murder on the Orient Express"|"Agatha Christie"
"ap 08:56"|"four minutes to nine"|"“No. 7 berth—a second-class. The gentleman has not yet come, and it is four minutes to nine.”"|"Murder on the Orient Express"|"Agatha Christie"
20:45|"quarter to nine that evening"|"The Simplon Orient Express arrived at Belgrade at a quarter to nine that evening. It was not due to depart again until 9:15, so Poirot descended to the platform. He did not, however, remain there long. The cold was bitter and though the platform itself was protected, heavy snow was falling outside. He returned to his compartment. The conductor, who was on the platform stamping his feet and waving his arms to keep warm, spoke to him."|"Murder on the Orient Express"|"Agatha Christie"
"ap 09:15"|9:15|"The Simplon Orient Express arrived at Belgrade at a quarter to nine that evening. It was not due to depart again until 9:15, so Poirot descended to the platform. He did not, however, remain there long. The cold was bitter and though the platform itself was protected, heavy snow was falling outside. He returned to his compartment. The conductor, who was on the platform stamping his feet and waving his arms to keep warm, spoke to him."|"Murder on the Orient Express"|"Agatha Christie"
