15:00|"three o’clock in the afternoon"|"“Hell, no,” said Keefer. “Especially three o’clock in the afternoon. Ah never miss it myself.”"|"The Caine Mutiny"|"Herman Wouk"
"ap 10:00"|ten|"“What’s there to show? Your dressing room is that one with the green curtain opposite the ladies’ room. It’s a hole, no window, no washbasin. We do shows at ten, twelve, and two. You’re supposed to be around at eight-thirty. That’s all there is to that.” He stood. “Do you like pizzas?”"|"The Caine Mutiny"|"Herman Wouk"
"ap 08:30"|eight-thirty|"“What’s there to show? Your dressing room is that one with the green curtain opposite the ladies’ room. It’s a hole, no window, no washbasin. We do shows at ten, twelve, and two. You’re supposed to be around at eight-thirty. That’s all there is to that.” He stood. “Do you like pizzas?”"|"The Caine Mutiny"|"Herman Wouk"
"ap 03:00"|"three o’clock"|"At three o’clock the next morning, Willie’s mother opened her eyes in her dark bedroom, breaking out of a singularly vivid dream that she was at the opera. She listened a moment to echoes of the music that still rang in her mind, then sat up as she realized that she was hearing real music-Cherubino’s love song, floating across the hallway from Willie’s room. She got out of bed and put on a blue silk kimono. “Willie dear-records at this hour?”"|"The Caine Mutiny"|"Herman Wouk"
"ap 05:30"|"half-past five"|"When he woke his watch read half-past five. He had slept, forgotten by the Navy, for eight hours. He washed his face in a basin, straightened his hair, and emerged from the dressing room with a look of martyrdom. The fat nurse’s jaws fell open when she saw him."|"The Caine Mutiny"|"Herman Wouk"
"ap 00:00"|Twelve|"“I’ll run downstairs,” Willie said.
“What, during study hour? Twelve demerits!” Keggs said.
“Come here, fella.” Keefer pointed out through the window. The spring lay in a rain gutter at the edge of a steeply slanting copper-covered roof projection beneath the window. The tenth floor was set slightly back from the rest of the building."|"The Caine Mutiny"|"Herman Wouk"
12:00|noon|"Willie Keith became the oracle of the tenth floor in matters of naval ordnance. Actually he was a blockhead on the subject. Reputations are made queerly and swiftly in wartime. It happened that in the first week a terrible examination was scheduled in Ordnance, with the announced purpose of causing weaklings to go down. Everybody crammed feverishly, of course. Willie was as earnest as the rest, but one page of the book, composed in the worst Navy jargon, baffled him; a description of a thing called a Frictionless Bearing. Keefer and Keggs had given it up. Willie read the page over seventeen times, then twice more aloud, and was on the point of quitting when he noticed that whole sentences had become embedded in his memory. He worked another half hour and memorized the entire page, word for word. The chief essay question on the examination, as luck would have it, was Explain the Frictionless Bearing. Willie happily disgorged the words, which meant no more to him than a Hindu chant. When the results of the test were announced he stood first in the school. “Apprentice Seaman Keith,” shouted Ensign Acres, squinting in the sunlight at noon assembly, “is officially commended for a brilliant Ordnance paper. He was the only man in the school to give an intelligent explanation of the Frictionless Bearing.”"|"The Caine Mutiny"|"Herman Wouk"
12:00|noon|"Now they were midshipmen, firmly rooted in the Navy, with blue dress uniforms, white officers’ caps, and most important, freedom on Saturdays from noon to midnight. This was Friday. They had been imprisoned incommunicado for three weeks. Willie telephoned May Wynn joyously and told her to meet him outside the school at one minute past twelve next day. She was there in a taxi; and she looked so beautiful stretching her arms eagerly to him that Willie momentarily pictured a wedding and all its consequences as he hugged her. He was still kissing her when he regretfully decided against it, for all the old reasons. They went to Luigi’s, and Willie was so stimulated by the beauty of his girl and the first taste of wine in three weeks that he ate a couple of pizzas. He slowed down, puffing, on the last bites, and glanced at his wrist watch."|"The Caine Mutiny"|"Herman Wouk"
00:00|midnight|"Now they were midshipmen, firmly rooted in the Navy, with blue dress uniforms, white officers’ caps, and most important, freedom on Saturdays from noon to midnight. This was Friday. They had been imprisoned incommunicado for three weeks. Willie telephoned May Wynn joyously and told her to meet him outside the school at one minute past twelve next day. She was there in a taxi; and she looked so beautiful stretching her arms eagerly to him that Willie momentarily pictured a wedding and all its consequences as he hugged her. He was still kissing her when he regretfully decided against it, for all the old reasons. They went to Luigi’s, and Willie was so stimulated by the beauty of his girl and the first taste of wine in three weeks that he ate a couple of pizzas. He slowed down, puffing, on the last bites, and glanced at his wrist watch."|"The Caine Mutiny"|"Herman Wouk"
00:00|midnight|"“May,” he said reluctantly, “I’ve got to leave you now.”
“Oh? Aren’t you free till midnight?”
“I ought to drop in on my family.”"|"The Caine Mutiny"|"Herman Wouk"
"ap 05:30"|"half-past five"|"“Just for a while-a half hour, maybe an hour. You take in a matinee. I can meet you again at”-he glanced at his watch-“half-past five.”"|"The Caine Mutiny"|"Herman Wouk"
