"ap 02:00"|2|"101101011010TWO = 1 x 211 +0 x 210 +1 x 29 +1 x 28 +0 x 27 +1 x 26 +0 x 25 +1 x 24 +1 x 23 +0 x 22 +1 x 21 +0 x 20If we just add up the parts in decimal, we get 2048 + 512 + 256 + 64 + 16 + 8 + 2, which is 2,906TEN."|Code|"Charles Petzold"
00:00|midnight|"""Listen, my children, and you shall hear / Of the midnight ride of Paul Revere,"" wrote Henry Wadsworth Longfellow, and while he might not have been historically accurate when describing how Paul Revere alerted the American colonies that the British had invaded, he did provide a thoughtprovoking example of the use of bits to communicate important information:"|Code|"Charles Petzold"
00:00|0|"The subscripts start at 0 and get higher for more significant digits because they correspond to the exponents of powers of two:"|Code|"Charles Petzold"
"ap 07:00"|7|"To do this, we start with the rightmost column. First we see that 6 is bigger than 3, so we have to borrow 1 from the 5, and then subtract 6 from 13, which is 7. Then we have to remember that we borrowed 1 from the 5, so it's really a 4, and this 4 is smaller than 7, so we borrow 1 from the 2 and subtract 7 from 14, which is 7. Then we have to remember that we borrowed 1 from the 2, so it's really a 1, and then we subtract 1 from it to get 0. Our answer is 77:"|Code|"Charles Petzold"
"ap 10:00"|ten|"This type of notation is called ten's complement. To convert a 3-digit negative number to ten's complement, we subtract it from 999 and add 1. In other words, the ten's complement is the nines' complement plus one. For example, to write –255 in ten's complement, subtract it from 999 to get 744 and then add 1 to get 745."|Code|"Charles Petzold"
"ap 02:00"|two|"The equivalent system in binary is called two's complement. Let's assume that we're working with 8-bit numbers. These range from 00000000 to 11111111, which normally correspond to decimal numbers 0 through 255. But if you also want to express negative numbers, every 8-bit number that begins with a 1 will actually represent a negative number, as shown in the following table:"|Code|"Charles Petzold"
"ap 01:00"|1|"A more interesting approach to the adding machine eliminates an entire row of eight switches. But first we need to modify the D-type flip-flop slightly by adding an OR gate and an input signal called Clear. The Clear input is normally 0. But when it's 1, the Q output becomes 0, as shown here:"|Code|"Charles Petzold"
"ap 01:00"|"0 to 1"|"I mentioned earlier that the D-type flip-flop we designed was level-triggered. This means that the Clock input must change its level from 0 to 1 in order for the value of the Data input to be stored in the latch. But during the time that the Clock input is 1, the Data input can change; any changes in the Data input while the Clock input is 1 will be reflected in the values of the Q and  outputs."|Code|"Charles Petzold"
"ap 01:00"|"0 to 1"|"For some applications, a level-triggered Clock input is quite sufficient. But for other applications, an edge-triggered Clock input is preferred. An edge trigger causes the outputs to change only when the Clock makes a transition from 0 to 1. As with the level-triggered flip-flop, when the Clock input is 0, any changes to the Data input don't affect the outputs. The difference in an edge-triggered flip-flop is that changes to the Data input also don't affect the outputs when the Clock input is 1. The Data input affects the outputs only at the instant that the Clock changes from 0 to 1."|Code|"Charles Petzold"
"ap 01:00"|"0 to 1"|"The idea here is that the Clock input controls both the first stage and the second stage. But notice that the clock is inverted in the first stage. This means that the first stage works exactly like a D-type flip-flop except that the Data input is stored when the Clock is 0. The outputs of the second stage are inputs to the first stage, and these are saved when the Clock is 1. The overall result is that the Data input is saved when the Clock changes from 0 to 1."|Code|"Charles Petzold"
00:00|0|"Let's take a closer look. Here's the flip-flop at rest with both the Data and Clock inputs at 0 and the Q output at 0:"|Code|"Charles Petzold"
"ap 01:00"|"0 to 1"|"The Q and  outputs can change only at the instant that the Clock input changes from 0 to 1."|Code|"Charles Petzold"
"ap 01:00"|"0 to 1"|"The arrow indicates that the output Q becomes the same as the Data input when the Clock makes a transition from 0 to 1. This is known as a positive transition of the Clock signal. (A negative transition is the transition from 1 to 0.) The flip-flop has a diagram like this:"|Code|"Charles Petzold"
23:59|"1 to 0"|"The arrow indicates that the output Q becomes the same as the Data input when the Clock makes a transition from 0 to 1. This is known as a positive transition of the Clock signal. (A negative transition is the transition from 1 to 0.) The flip-flop has a diagram like this:"|Code|"Charles Petzold"
"ap 01:00"|"0 to 1"|"When the Clock input changes from 0 to 1, the Q output will become the same as the D input:"|Code|"Charles Petzold"
"ap 01:00"|"0 to 1"|"What's happening here can be summed up very simply: Every time the Clock input changes from 0 to 1, the Q output changes, either from 0 to 1 or from 1 to 0. The situation is clearer if we look at the timing diagram:"|Code|"Charles Petzold"
23:59|"1 to 0"|"What's happening here can be summed up very simply: Every time the Clock input changes from 0 to 1, the Q output changes, either from 0 to 1 or from 1 to 0. The situation is clearer if we look at the timing diagram:"|Code|"Charles Petzold"
"ap 01:00"|"0 to 1"|"When the Clock input goes from 0 to 1, the value of D (which is the same as ) is transferred to Q, thus also changing  and D for the next transition of the Clock input from 0 to 1."|Code|"Charles Petzold"
01:00|10000h|"9A48Ch = 9 x 10000h +A x 1000h +4 x 100h +8 x 10h +C x 1hThis can be written using powers of 16:"|Code|"Charles Petzold"
10:00|1000h|"9A48Ch = 9 x 10000h +A x 1000h +4 x 100h +8 x 10h +C x 1hThis can be written using powers of 16:"|Code|"Charles Petzold"
01:00|100h|"9A48Ch = 9 x 10000h +A x 1000h +4 x 100h +8 x 10h +C x 1hThis can be written using powers of 16:"|Code|"Charles Petzold"
03:00|"3:00 A.M."|"Nor is human memory foolproof. Indeed, writing was probably invented specifically to compensate for the failings of human memory. Perhaps last night you suddenly woke up at 3:00 A.M. with a great idea for a screenplay. You grabbed the pen and paper you keep by your bed specifically for that purpose, and you wrote it down so you wouldn't forget. The next morning you can read the brilliant idea and start work on the screenplay. (""Boy meets girl w. car chase & explosions""? That's it?) Or maybe not."|Code|"Charles Petzold"
"ap 10:24"|1024|"What you don't say is that a 1-KB RAM array stores 1000 bytes, or (in English) ""one thousand bytes."" It's more than a thousand—it's 1024. To sound like you know what you're talking about, you say either ""1K"" or ""one kilobyte."""|Code|"Charles Petzold"
"ap 02:16"|216|"Why 64 KB? Why not 32 KB or 128 KB? Because 65,536 is a nice round number. It's 216. This RAM array has a 16-bit address. In other words, the address is 2 bytes exactly. In hexadecimal, the address ranges from 0000h through FFFFh."|Code|"Charles Petzold"
00:00|0000h|"Why 64 KB? Why not 32 KB or 128 KB? Because 65,536 is a nice round number. It's 216. This RAM array has a 16-bit address. In other words, the address is 2 bytes exactly. In hexadecimal, the address ranges from 0000h through FFFFh."|Code|"Charles Petzold"
"ap 01:00"|"0 to 1"|"At the time I showed this circuit to you in Chapter 14, the only latches that I had introduced so far were level triggered. In a level-triggered latch, the Clock input has to go to 1 and then back to 0 in order for the latch to store something. During the time the Clock input is 1, the data inputs of the latch can change and these changes will affect the stored output. Later in that chapter, I introduced edge-triggered latches. These latches save their values in the brief moment that the Clock input goes from 0 to 1. Edge-triggered latches are often somewhat easier to use, so I want to assume that all the latches in this chapter are edge triggered."|Code|"Charles Petzold"
