12:00|Noon|"The pig-woman nodded. “They’ll all be black as pots, too, sired by Dark Noon.”"|Riddle-Master|"Patricia A. McKillip"
00:00|midnight|"“He told me he was going to Yrye, to talk to Har. He is being tracked by shape-changers; he moves painstakingly from place to place, taking shape after shape out of fear. As soon as he left my doorstep at midnight he was gone—a brush of ash, a small night animal—I don’t know what he became.” He was silent a moment, then added wearily, “I told him to forget about Deth, that the wizards would kill him eventually, that he had greater powers in the world to contend with; but he told me that sometimes, as he lay sleepless in that place, his mind drained, exhausted from Ghisteslwchlohm’s probing, clinging to despair like a hard rock because that was the only thing he knew belonged to him, he could hear Deth piecing together new songs on his harp… Ghisteslwchlohm, the shape-changers, he can in some measure understand, but Deth he cannot. He has been hurt deeply, he is very bitter…”"|Riddle-Master|"Patricia A. McKillip"
12:00|noon|"They reached Isig again at noon the next day. Bri Corbett, grim and voluble with relief, took one look at Raederle, stayed long enough to hear Lyra’s tale, then departed to find a boat at Kyrth. Raederle said very little, either to Danan or Bri; she was grateful that the mountain-king refrained from questioning her. He only said gently, with a perception that startled her, “Isig is my home; the home of my mind, and still, after so many years, it is capable of surprising me. Whatever you are gripping to yourself in secret, remember this: Isig holds great beauty and great sorrow, and I could not desire anything less for it, than that it yields always, unsparingly, the truth of itself.”"|Riddle-Master|"Patricia A. McKillip"
12:00|midday|"She avoided people, so she had no news of the extent of the trouble, but she saw, again and again, empty fields at midday, barns and stables locked and guarded, lords travelling with armed retinues towards Anuin. Their tempers, she knew, must be worn thin by the constant harassment; they would, in time, turn their houses into small, armed fortresses, draw into themselves and soon trust no man, living or dead. The mistrust and the anger against the absent King of An would fester into open war, a great battleground of living and dead, that not even Mathom would be able to control. And she, bringing the Kings of Hel into Anuin, might precipitate it."|Riddle-Master|"Patricia A. McKillip"
00:00|midnight|"She and Morgon spent the rest of the day and the evening there, among ancient books and dusty parchments, while Duac sent to the docks for Bri Corbett. By midnight, Morgon had tamped down in the deep of his mind endless names of warrior-lords, their sons and far-flung families, and legends of love, blood feuds and land wars that spanned the history of An. He left the house then, walked alone through the still summer night into the fields behind the king’s house, which were the charnel house for the many who had died battling over Anuin. There he began his calling."|Riddle-Master|"Patricia A. McKillip"
00:00|midnight|"Duac nodded. “Bri Corbett said they’ll sail on the midnight tide. Actually, he said a great deal more when I told him what you wanted. But he knows men who would sail even a cargo of the dead for gold.”"|Riddle-Master|"Patricia A. McKillip"
00:00|midnight|"He hardly realized he had spoken until Bri, dousing the light, answered, “On the lee side of midnight. We got here sooner than I expected.”"|Riddle-Master|"Patricia A. McKillip"
12:00|noon|"3

      
    

    
      

      

      
    
  

  THE SHIP FOUND a quiet berth in the Caithnard harbor near dawn. Morgon heard the anchor splash in still water and saw through the lattice of the hatch covers squares of pearl-grey sky. Raederle was asleep. He looked at her a moment with an odd mixture of weariness and peace, as if he had brought some great treasure safely out of danger. Then he sagged down on the spice sacks and went to sleep. The clamor on the docks at midmorning, the stifling noon heat in the hold hardly troubled his dreams. He woke finally at late afternoon and found Raederle watching him, covered with floating spangles of sunlight."|Riddle-Master|"Patricia A. McKillip"
12:00|noon|"She did not speak to him for hours. They rode quickly through the early morning, until the easier pace of the traffic made them conspicuous. The road seemed full of animals: sheep, pigs, young white bullocks being driven from isolated farms to Caithnard. They blocked traffic and made the horses skittish. Traders’ carts were irritatingly slow; farmers’ wagons full of turnips and cabbages careened at a slow, drunken pace in front of them at odd moments. The noon heat pounded the road into a dry powder that they breathed and swallowed. The noise and smell of animals seemed inescapable. Raederle’s hair, limp with dust and sweat, kept sliding down, clinging to her face. She stopped her horse once, stuck her hat between her teeth, wound her hair into a knot in the plain view of an old woman driving a pig to market, and jammed her hat back on her head. Morgon, looking at her, checked a comment. Her silence began to wear at him subtly, like the heat and the constant interruptions of their pace. He searched back, wondering if he had been wrong, wondering if she wanted him to speak or keep quiet, wondering if she regretted ever setting foot out of Anuin. He envisioned the journey without her; he would have been halfway across Ymris, taking a crow’s path to Lungold, a silent night flight across the backlands to a strange city, to face Ghisteslwchlohm again. Her silence began to build stone by stone around his memories, forming a night smelling of limestone, broken only by the faint, faroff trickle of water running away from him."|Riddle-Master|"Patricia A. McKillip"
12:00|noon|"They scarcely spoke at all the next day. The summer heat poured down at them, even when they walked among the trees beside the road. Morgon carried both their packs. He had not realized until then how heavy they were. The straps wore at his shoulders as their quarrelling chafed at his mind. Raederle offered to carry one, but he refused with something kin to anger, and she did not suggest it again. At noon, they ate with their feet in the river. The cold water soothed them, and they spoke a little. The road in the afternoon was fairly quiet; they could hear the creak of cartwheels long before the carts came into view. But the heat was intense, almost unbearable. Finally they gave up, trudged along the rough river bank until twilight."|Riddle-Master|"Patricia A. McKillip"
00:00|midnight|"The shape-changer backed it a step without a shift of muscle. His eyes caught light like water; for an instant they seemed to smile. “Master Ohm,” he said, “do you know the riddle of the man who opened his door at midnight and found not the black sky filling his doorway but the black, black eye of some creature who stretched beyond him to measureless dimension? Look at us again. Then go, quietly, leaving the Star-Bearer and our kinswoman.”"|Riddle-Master|"Patricia A. McKillip"
