"ap 02:00"|"two o’clock"|"The King’s procession departed St. James’s at two o’clock, proceeding at walking speed. By tradition, two Horse Grenadiers with swords drawn rode in the lead to clear the way, followed by gleaming coaches filled with nobility, then a clattering of Horse Guards, the Yeomen of the Guard in red and gold livery, and a rank of footmen, also in red and gold. Finally came the King in his colossal golden chariot pulled by eight magnificent cream-colored horses (Hanoverian Creams), a single postilion riding the left lead horse, and six footmen at the side."|1776|"David McCullough"
"< 00:00"|"near midnight"|"Perhaps the most telling moment of the whole heated session came near midnight, when another army officer, but of an older generation than John Dyke Acland, rose to speak. Colonel Isaac Barré was a veteran of the French and Indian War who had come home from the Battle of Quebec badly disfigured. He had been hit in the head by a musket ball that blinded him in one eye and left his face twisted into a permanent sneer. Further, it had been Isaac Barré, in a past speech in defense of the Americans, who had first called them “Sons of Liberty,” and the name had taken hold."|1776|"David McCullough"
00:00|midnight|"In the House of Lords, where work had wound up at midnight, the opposition to the King’s address, and thus to all-out war in America, was defeated by a vote of more than two to one, 69 to 29."|1776|"David McCullough"
"ap 00:58"|"two to one"|"In the House of Lords, where work had wound up at midnight, the opposition to the King’s address, and thus to all-out war in America, was defeated by a vote of more than two to one, 69 to 29."|1776|"David McCullough"
04:00|"four in the morning"|"By the time the vote in the Commons had concluded, it was four in the morning."|1776|"David McCullough"
"ap 05:58"|"two to six"|"Night was the time for “frolicking,” remembered John Greenwood, the fifer, “as the British were constantly sending bombs at us, and sometimes from two to six at a time could be seen in the air overhead, looking like moving stars in the heavens.” Some early-morning British bombardments lasted several hours, the British clearly having no shortage of powder. In one furious cannonade from the British works on Bunker Hill, a rifleman lost a leg and a company clerk with Nathanael Greene’s Kentish Guards, Augustus Mumford, had his head blown off."|1776|"David McCullough"
00:00|midnight|"THE BOMBARDMENT of Boston began at midnight Saturday and continued at intervals until morning. The British answered at once with a heavier, louder cannonade. “The house shakes…with the roar of the cannon,” wrote Abigail Adams at her home ten miles away. “No sleep for me tonight.”"|1776|"David McCullough"
"ap 10:00"|"ten o’clock"|"Recounting the night’s events later, General Thomas would say it was as early as ten o’clock when the fortifications on the Heights were sufficiently ready to defend against small arms and grapeshot. It was also about ten when a British lieutenant colonel, Sir John Campbell, reported to Brigadier General Francis Smith that the “rebels were at work on Dorchester Heights.” It was news that called for immediate action. But Smith, a stout, slow-moving, slow-thinking veteran of thirty years’ service, chose to ignore it; and from that point on, the work proceeded unnoticed by any other British officers or troops on guard, or by any of the Loyalists in Boston who served as willing eyes and ears for the British."|1776|"David McCullough"
"ap ~ 10:00"|"about ten"|"Recounting the night’s events later, General Thomas would say it was as early as ten o’clock when the fortifications on the Heights were sufficiently ready to defend against small arms and grapeshot. It was also about ten when a British lieutenant colonel, Sir John Campbell, reported to Brigadier General Francis Smith that the “rebels were at work on Dorchester Heights.” It was news that called for immediate action. But Smith, a stout, slow-moving, slow-thinking veteran of thirty years’ service, chose to ignore it; and from that point on, the work proceeded unnoticed by any other British officers or troops on guard, or by any of the Loyalists in Boston who served as willing eyes and ears for the British."|1776|"David McCullough"
03:00|"three in the morning"|"On the Heights the men toiled steadily with picks and shovels, breaking the frozen ground for earth and stone to fill the chandeliers and barrels. At three in the morning a relief force of 3,000 men moved in, and an additional five regiments of riflemen took up positions near the shore. By the first faint light before dawn, everything was ready, with at least 20 cannon in place."|1776|"David McCullough"
"~ 12:00"|"about noon"|"Captain Archibald Robertson thought the plan little short of madness and said so to others. Writing in his diary during the course of the day, he called it “the most serious step ever an army of this strength in such a situation took, considering the state the rebels’ works are in and the number of men they appear to have under arms.” The fate of the whole town was at stake, “not to say the fate of America.” These were his sentiments, he declared, and he listed the names of the officers he had spoken to, hoping they could persuade Howe to change his mind and embark from Boston as quickly as possible. But starting about noon, the big transports loaded with troops began pushing off from Long Wharf."|1776|"David McCullough"
"~ 12:00"|"about noon"|"It was about noon when the first of the British troop transports pushed off for Castle Island and proceeded down the harbor with increasing difficulty against strong headwinds. For by early afternoon, what had been an abnormally warm, pleasant day had changed dramatically. The wind had turned southeasterly, blowing “pretty fresh.” Then, as foreseen in no one’s calculations, the elements took over."|1776|"David McCullough"
00:00|midnight|"By nightfall, a storm raged, with hail mixed with snow and sleet. By midnight, “the wind blew almost a hurricane.” Windows were smashed, fences blown over. Two of the transports bound for Castle Island were blown ashore. The American lieutenant Isaac Bangs, who was among those freezing at their posts on the high ground of Dorchester, called it the worst storm “that ever I was exposed to.” Clearly there would be no British assault that night."|1776|"David McCullough"
20:00|"eight o’clock in the evening"|"It is now eight o’clock in the evening. [We] went to headquarters at seven. After waiting some time Captain Montresor came down from the general [and] told me he had been in council and had advised the going off [embarking] altogether, that Lord [General Hugh] Percy and some others seconded him, and that the general said it was his own sentiments from the first, but thought the honor of the troops concerned. So it is agreed immediately to embark everything.
Interestingly, Isaac Bangs, in his account of the day, wondered whether the intent of the whole British expedition to Castle Island was never anything “more than to make a parade” and if the storm was only a “good excuse.”"|1776|"David McCullough"
"ap 07:00"|seven|"It is now eight o’clock in the evening. [We] went to headquarters at seven. After waiting some time Captain Montresor came down from the general [and] told me he had been in council and had advised the going off [embarking] altogether, that Lord [General Hugh] Percy and some others seconded him, and that the general said it was his own sentiments from the first, but thought the honor of the troops concerned. So it is agreed immediately to embark everything.
Interestingly, Isaac Bangs, in his account of the day, wondered whether the intent of the whole British expedition to Castle Island was never anything “more than to make a parade” and if the storm was only a “good excuse.”"|1776|"David McCullough"
"ap 07:00"|"seven o’clock"|"Howe made no mention in his official account of the council of war convened at seven o’clock, or of any second thoughts on his part. The “contrary” winds of the afternoon of March 5, the storm that followed that night, and the “weather continuing boisterous the next day and night” were the deciding factors, Howe wrote, in that they gave the enemy still more time to improve their defenses of the Heights. “I could promise myself little success by attacking them under all the disadvantages I had to encounter; wherefore I judged it most advisable to prepare for the evacuation of the town.”"|1776|"David McCullough"
