"ap 07:20"|seven-twenty|"Babbitt moaned, turned over, struggled back toward his dream. He could see only her face now, beyond misty waters. The furnace-man slammed the basement door. A dog barked in the next yard. As Babbitt sank blissfully into a dim warm tide, the paper-carrier went by whistling, and the rolled-up Advocate thumped the front door. Babbitt roused, his stomach constricted with alarm. As he relaxed, he was pierced by the familiar and irritating rattle of some one cranking a Ford: snap-ah-ah, snap-ah-ah, snap-ah-ah. Himself a pious motorist, Babbitt cranked with the unseen driver, with him waited through taut hours for the roar of the starting engine, with him agonized as the roar ceased and again began the infernal patient snap-ah-ah—a round, flat sound, a shivering cold-morning sound, a sound infuriating and inescapable. Not till the rising voice of the motor told him that the Ford was moving was he released from the panting tension. He glanced once at his favorite tree, elm twigs against the gold patina of sky, and fumbled for sleep as for a drug. He who had been a boy very credulous of life was no longer greatly interested in the possible and improbable adventures of each new day.
He escaped from reality till the alarm-clock rang, at seven-twenty.
"|Babbitt|"Sinclair Lewis"
00:00|midnight|"He sulkily admitted now that there was no more escape, but he lay and detested the grind of the real-estate business, and disliked his family, and disliked himself for disliking them. The evening before, he had played poker at Vergil Gunch’s till midnight, and after such holidays he was irritable before breakfast. It may have been the tremendous home-brewed beer of the prohibition era and the cigars to which that beer enticed him; it may have been resentment of return from this fine, bold man-world to a restricted region of wives and stenographers, and of suggestions not to smoke so much."|Babbitt|"Sinclair Lewis"
00:00|midnight|"The room displayed a modest and pleasant color-scheme, after one of the best standard designs of the decorator who “did the interiors” for most of the speculative-builders’ houses in Zenith. The walls were gray, the woodwork white, the rug a serene blue; and very much like mahogany was the furniture—the bureau with its great clear mirror, Mrs. Babbitt’s dressing-table with toilet-articles of almost solid silver, the plain twin beds, between them a small table holding a standard electric bedside lamp, a glass for water, and a standard bedside book with colored illustrations—what particular book it was cannot be ascertained, since no one had ever opened it. The mattresses were firm but not hard, triumphant modern mattresses which had cost a great deal of money; the hot-water radiator was of exactly the proper scientific surface for the cubic contents of the room. The windows were large and easily opened, with the best catches and cords, and Holland roller-shades guaranteed not to crack. It was a masterpiece among bedrooms, right out of Cheerful Modern Houses for Medium Incomes. Only it had nothing to do with the Babbitts, nor with any one else. If people had ever lived and loved here, read thrillers at midnight and lain in beautiful indolence on a Sunday morning, there were no signs of it. It had the air of  being a very good room in a very good hotel. One expected the chambermaid to come in and make it ready for people who would stay but one night, go without looking back, and never think of it again."|Babbitt|"Sinclair Lewis"
00:00|midnight|"Babbitt’s green and white Dutch Colonial house was one of three in that block on Chatham Road. To the left of it was the residence of Mr. Samuel Doppelbrau, secretary of an excellent firm of bathroom-fixture jobbers. His was a comfortable house with no architectural manners whatever; a large wooden box with a squat tower, a broad porch, and glossy paint yellow as a yolk. Babbitt disapproved of Mr. and Mrs. Doppelbrau as “Bohemian.” From their house came midnight music and obscene laughter; there were neighborhood rumors of bootlegged whisky and fast motor rides. They furnished Babbitt with many happy evenings of discussion, during which he announced firmly, “I’m not straitlaced, and I don’t mind seeing a fellow throw in a drink once in a while, but when it comes  to deliberately trying to get away with a lot of hell-raising all the while like the Doppelbraus do, it’s too rich for my blood!”"|Babbitt|"Sinclair Lewis"
00:00|midnight|"On the other side of Babbitt lived Howard Littlefield, Ph.D., in a strictly modern house whereof the lower part was dark red tapestry brick, with a leaded oriel, the upper part of pale stucco like spattered clay, and the roof red-tiled. Littlefield was the Great Scholar of the neighborhood; the authority on everything in the world except babies, cooking, and motors. He was a Bachelor of Arts of Blodgett College, and a Doctor of Philosophy in economics of Yale. He was the employment-manager and publicity-counsel of the Zenith Street Traction Company. He could, on ten hours’ notice, appear before the board of aldermen or the state legislature and prove, absolutely, with figures all in rows and with precedents from Poland and New Zealand, that the street-car company loved the Public and yearned over its employees; that all its stock was owned by Widows and Orphans; and that whatever it desired to do would benefit property-owners by increasing rental values, and help the poor by lowering rents. All his acquaintances turned to Littlefield when they desired to know the date of the battle of Saragossa, the definition of the word “sabotage,” the future of the German mark, the translation of “binc illœ lachrimæ,” or the number of products of coal tar. He awed Babbitt by confessing that he often sat up till midnight reading the figures and footnotes in Government reports, or skimming (with amusement at the author’s mistakes) the latest volumes of chemistry, archeology, and ichthyology."|Babbitt|"Sinclair Lewis"
"ap 11:30"|eleven-thirty|"This morning it was revealed to him that it had been too easy to open the file. Lock it, that was the thing! Inspired, he rushed out and locked up his cigars, his cigarettes, and even his box of safety matches; and the key to the file drawer he hid in his desk. But the crusading passion of it made him so tobacco-hungry that he immediately recovered the key, walked with forbidding dignity to the file, took out a cigar and a match—“but only one match; if ole cigar goes out, it’ll by golly have to stay out!” Later, when the cigar did go out, he took one more match from the file, and when a buyer and a seller came in for a conference at eleven-thirty, naturally he had to offer them cigars. His conscience protested, “Why, you’re smoking with them!” but he bullied it, “Oh, shut up! I’m busy now. Of course by-and-by—” There was no by-and-by, yet his belief that he had crushed the unclean habit made him feel noble and very happy. When he called up Paul Riesling he was, in his moral splendor, unusually eager."|Babbitt|"Sinclair Lewis"
12:00|noon|"“Oh, just stickin’ round. What’s up, Georgie?”
“How ’bout lil lunch ’s noon?”
“Be all right with me, I guess. Club?”"|Babbitt|"Sinclair Lewis"
"ap 00:30"|Twelve-thirty|"“Be all right with me, I guess. Club?”
“Yuh. Meet you there twelve-thirty.”
“A’ right. Twelve-thirty. S’ long, Georgie.”"|Babbitt|"Sinclair Lewis"
"ap 00:30"|Twelve-thirty|"“Yuh. Meet you there twelve-thirty.”
“A’ right. Twelve-thirty. S’ long, Georgie.”
"|Babbitt|"Sinclair Lewis"
"ap 11:30"|eleven-thirty|"Babbitt’s value to his clients was rarely better shown than this morning, in the conference at eleven-thirty between himself, Conrad Lyte, and Archibald Purdy."|Babbitt|"Sinclair Lewis"
12:00|noon|"He discovered that he was smoking another cigar. He threw it away, protesting, “Darn it, I thought you’d quit this darn smoking!” He courageously returned the cigar-box to the correspondence-file, locked it up, hid the key in a more difficult place, and raged, “Ought to take care of myself And need more exercise—walk to the club, every single noon—just what I’ll do—every noon—cut out this motoring all the time.”"|Babbitt|"Sinclair Lewis"
