"ap 02:00"|"two o’clock"|"This was a resort hotel, by the beach, on the outskirts of New York City. The husbands would go to work in the city and leave the wives behind to play cards, so you would always have to get the bridge tables out. Then at night the guys would play poker, so you’d get the tables ready for them–clean out the ashtrays and so on. I was always up until late at night, like two o’clock, so it really was thirteen and eleven hours a day."|"Surely You're Joking, Mr. Feynman!"|"Richard P. Feynman"
02:00|"2:00 A.M."|"My first day on the job the pantry lady explained that she usually made a ham sandwich, or something, for the guy who was on the late shift. I said that I liked desserts, so if there was a dessert left over from supper, I’d like that. The next night I was on the late shift till 2:00 A.M. with these guys playing poker. I was sitting around with nothing to do, getting bored, when suddenly I remembered there was a dessert to eat. I went over to the icebox and opened it up, and there she’d left _six_ desserts! There was a chocolate pudding, a piece of cake, some peach slices, some rice pudding, some jello–there was everything! So I sat there and ate the six desserts–it was sensational!"|"Surely You're Joking, Mr. Feynman!"|"Richard P. Feynman"
"ap 01:00"|one|"I did the same kind of trick four years later at Princeton when I was talking with an experienced character, an assistant of Einstein, who was surely working with gravity all the time. I gave him a problem: You blast off in a rocket which has a clock on board, and there’s a clock on the ground. The idea is that you have to be back when the clock on the ground says one hour has passed. Now you want it so that when you come back, your clock is as far ahead as possible. According to Einstein, if you go very high, your clock will go faster, because the higher something is in a gravitational field, the faster its clock goes. But if you try to go too high, since you’ve only got an hour, you have to go so fast to get there that the speed slows your clock down. So you can’t go too high. The question is, exactly what program of speed and height should you make so that you get the maximum time on your clock?"|"Surely You're Joking, Mr. Feynman!"|"Richard P. Feynman"
"ap ~ 05:00"|"about five o’clock"|"My masterpiece of mischief happened at the fraternity. One morning I woke up very early, about five o’clock, and couldn’t go back to sleep, so I went downstairs from the sleeping rooms and discovered some signs hanging on strings which said things like “DOOR! DOOR! WHO STOLE THE DOOR?” I saw that someone had taken a door off its hinges, and in its place they hung a sign that said, “PLEASE CLOSE THE DOOR!”–the sign that used to be on the door that was missing."|"Surely You're Joking, Mr. Feynman!"|"Richard P. Feynman"
"ap 04:00"|"four o’clock"|"At the Princeton graduate school, the physics department and the math department shared a common lounge, and every day at four o’clock we would have tea. It was a way of relaxing in the afternoon, in addition to imitating an English college. People would sit around playing Go, or discussing theorems. In those days topology was the big thing."|"Surely You're Joking, Mr. Feynman!"|"Richard P. Feynman"
"ap 03:00"|three|"He said, “All right, there’s a meeting at three o’clock. I’ll see you there.”"|"Surely You're Joking, Mr. Feynman!"|"Richard P. Feynman"
"ap 03:00"|three|"So I went back to work on my thesis–for about three minutes. Then I began to pace the floor and think about this thing. The Germans had Hitler and the possibility of developing an atomic bomb was obvious, and the possibility that they would develop it before we did was very much of a fright. So I decided to go to the meeting at three o’clock."|"Surely You're Joking, Mr. Feynman!"|"Richard P. Feynman"
"ap 04:00"|"four o’clock"|"By four o’clock I already had a desk in a room and was trying to calculate whether this particular method was limited by the total amount of current that you get in an ion beam, and so on. I won’t go into the details. But I had a desk, and I had paper, and I was working as hard as I could and as fast as I could, so the fellas who were building the apparatus could do the experiment right there."|"Surely You're Joking, Mr. Feynman!"|"Richard P. Feynman"
"ap > 05:59"|"after 559"|"It’s quite cute: It goes a little cockeyed after 559 when you’re carrying but it soon straightens itself out and repeats itself nicely. I thought it was kind of amusing."|"Surely You're Joking, Mr. Feynman!"|"Richard P. Feynman"
"ap 09:22"|9:22|"Arlene died a few hours after I got there. A nurse came in to fill out the death certificate, and went out again. I spent a little more time with my wife. Then I looked at the clock I had given her seven years before, when she had first become sick with tuberculosis. It was something which in those days was very nice: a digital clock whose numbers would change by turning around mechanically. The clock was very delicate and often stopped for one reason or another–I had to repair it from time to time–but I kept it going for all those years. Now, it had stopped once more–at 9:22, the time on the death certificate!"|"Surely You're Joking, Mr. Feynman!"|"Richard P. Feynman"
