"ap ~ 09:00"|"About nine o'clock"|"'I don't know – not for certain, that is. It was about an hour ago.' He made an effort to collect his wits, and added: 'About nine o'clock. I was clearing the table in the dining room, so it couldn't have been much later.'"|"A Blunt Instrument"|"Georgette Heyer"
22:05|"10.05 p.m."|"'It'll  save  time,  sir,  if  you'll  give  an  account  of  your movements between the time you and the deceased left the dining-room, and 10.05 p.m.'"|"A Blunt Instrument"|"Georgette Heyer"
22:02|"10.02 p.m."|"'I was on my beat, Sergeant, walking along Vale Avenue, the time being 10.02 p.m. When I came to the corner of Maple Grove, which, as you know, sir, is the lane running between Vale Avenue and the Arden Road, at the back of the house, my  attention  was  attracted by a  man coming out of the side gate of this house in what seemed to me a suspicious manner. He set off, walking very fast, towards the Arden Road.'"|"A Blunt Instrument"|"Georgette Heyer"
22:05|"10.05 p.m."|"'I called out to him to stop, but he paid no heed, and the next  instant had rounded  the  corner  into  the  Arden  Road. That circumstance led me to inspect these premises. I found the garden-gate standing open, and, seeing the light from this window, I came up the path with the intention of discovering whether anything was wrong.  I  saw  the deceased, like  you found him, Sergeant. The time, as verified by my watch and the clock there, was 10.05 p.m. My first action was to ascertain that Mr Fletcher was dead. Having assured myself that he was past mortal help, I effected a search of the room, and made sure no one was hiding in the bushes in the garden. I then called up the station on the telephone, the time being 10.10 p.m. While I was waiting to be connected, the butler, Joseph Simmons, entered the room, bearing the tray you see upon that table. I detained him, for interrogation. He states that at about 9 p.m. a person of the name of Abraham Budd came to see the deceased. He ushered same into this room. He states that he does not know when Abraham Budd left the house.'"|"A Blunt Instrument"|"Georgette Heyer"
22:10|"10.10 p.m."|"'I called out to him to stop, but he paid no heed, and the next  instant had rounded  the  corner  into  the  Arden  Road. That circumstance led me to inspect these premises. I found the garden-gate standing open, and, seeing the light from this window, I came up the path with the intention of discovering whether anything was wrong.  I  saw  the deceased, like  you found him, Sergeant. The time, as verified by my watch and the clock there, was 10.05 p.m. My first action was to ascertain that Mr Fletcher was dead. Having assured myself that he was past mortal help, I effected a search of the room, and made sure no one was hiding in the bushes in the garden. I then called up the station on the telephone, the time being 10.10 p.m. While I was waiting to be connected, the butler, Joseph Simmons, entered the room, bearing the tray you see upon that table. I detained him, for interrogation. He states that at about 9 p.m. a person of the name of Abraham Budd came to see the deceased. He ushered same into this room. He states that he does not know when Abraham Budd left the house.'"|"A Blunt Instrument"|"Georgette Heyer"
"~ 21:00"|"about 9 p.m."|"'I called out to him to stop, but he paid no heed, and the next  instant had rounded  the  corner  into  the  Arden  Road. That circumstance led me to inspect these premises. I found the garden-gate standing open, and, seeing the light from this window, I came up the path with the intention of discovering whether anything was wrong.  I  saw  the deceased, like  you found him, Sergeant. The time, as verified by my watch and the clock there, was 10.05 p.m. My first action was to ascertain that Mr Fletcher was dead. Having assured myself that he was past mortal help, I effected a search of the room, and made sure no one was hiding in the bushes in the garden. I then called up the station on the telephone, the time being 10.10 p.m. While I was waiting to be connected, the butler, Joseph Simmons, entered the room, bearing the tray you see upon that table. I detained him, for interrogation. He states that at about 9 p.m. a person of the name of Abraham Budd came to see the deceased. He ushered same into this room. He states that he does not know when Abraham Budd left the house.'"|"A Blunt Instrument"|"Georgette Heyer"
"~ 20:50"|"about 8.50 p.m."|"'I hadn't got to that, sir. Mr Neville Fletcher came in at that moment. He states that he saw the deceased last at about 8.50 p.m., when they left the dining-room together.'"|"A Blunt Instrument"|"Georgette Heyer"
"~ 21:00"|"about 9 p.m."|"'And you state,' pursued the Sergeant, consulting Glass's notes, ' That you last saw your master alive at about 9 p.m., when you showed a Mr Abraham Budd into this room. Is that correct?'"|"A Blunt Instrument"|"Georgette Heyer"
21:00|"9 p.m."|"'And that was at 9 p.m., or thereabouts? Did you hear any sounds of altercation?'"|"A Blunt Instrument"|"Georgette Heyer"
"ap 09:00"|9.00|"'Well, sir, we'll say that some time between 9.00 and 10.00 you went up to your room.'
'At half-past nine,' said Neville.
'At – A moment ago, sir, you said you had no idea what time it was!'"|"A Blunt Instrument"|"Georgette Heyer"
"ap 10:00"|10.00|"'Well, sir, we'll say that some time between 9.00 and 10.00 you went up to your room.'
'At half-past nine,' said Neville.
'At – A moment ago, sir, you said you had no idea what time it was!'"|"A Blunt Instrument"|"Georgette Heyer"
