20:01|2001|"It was 2001. A few months beforehand, two geneticists had come to the White House to stand next to President Bill Clinton for an announcement. “We are here to celebrate the completion of the first survey of the entire human genome,” Clinton said. “Without a doubt, this is the most important, most wondrous map ever produced by humankind.”"|"She Has Her Mother's Laugh"|"Carl Zimmer"
"ap 01:00"|one|"Before unlocking hidden intelligence, Goddard would first need a way to scientifically measure it. He wanted to assign intelligence a number, the way doctors measured blood pressure or body temperature or weight. In Goddard’s day, doctors regularly diagnosed children as imbeciles and idiots, but they did so mostly by intuition. Goddard tried to craft a test that could drill down to the biological basis of intelligence. He guessed that the speed of the nervous system was crucial, and so he would put Vineland students in front of an electric key and tell them to tap it with their finger as fast as they could. It worked badly. Some students couldn’t even understand what he wanted them to do. Goddard tried other tests. He had the students squeeze a dynamometer as hard as they could, to thread needles, to draw straight lines. But whenever Goddard sat down to analyze the test scores, he found they didn’t hang together. A student might do well at one and miserably at another."|"She Has Her Mother's Laugh"|"Carl Zimmer"
12:00|midday|"By midday, we were done inspecting my genome and hungry for lunch. Gronau signed off from Israel, and Hubisz, Siepel, and I stood up to stretch our legs. “I wish there was more of a punch line,” Hubisz said. “We found a lot of data.”"|"She Has Her Mother's Laugh"|"Carl Zimmer"
"ap 03:00"|three|"In later years, social scientists would document many benefits to the Head Start program. It raised the graduation rate of children by more than 5 percent, for instance; among children with mothers who didn’t finish high school, the rate rose by more than 10 percent. But it did not help children’s intelligence test scores in the long run. At three and four years of age, their scores improved, only to drift back down by first grade."|"She Has Her Mother's Laugh"|"Carl Zimmer"
"ap 01:24"|1:24|"Berg, Mary Anne, Jaime Guevara‐Aguirre, Arlan L. Rosenbloom, Ron G. Rosenfeld, and Uta Francke. 1992. “Mutation Creating a New Splice Site in the Growth Hormone Receptor Genes of 37 Ecuadorean Patients with Laron Syndrome.” Human Mutation 1:24–34."|"She Has Her Mother's Laugh"|"Carl Zimmer"
15:12|15:12|"Bygren, Lars O., Petter Tinghög, John Carstensen, Sören Edvinsson, Gunnar Kaati, Marcus E. Pembrey, and Michael Sjöström. 2014. “Change in Paternal Grandmothers’ Early Food Supply Influenced Cardiovascular Mortality of the Female Grandchildren.” BMC Genetics 15:12."|"She Has Her Mother's Laugh"|"Carl Zimmer"
23:34|23:34|"Donnelly, Kevin P. 1983. “The Probability That Related Individuals Share Some Section of Genome Identical by Descent.” Theoretical Population Biology 23:34–63."|"She Has Her Mother's Laugh"|"Carl Zimmer"
15:58|15.58|"Eaton, Sally A., Navind Jayasooriah, Michael E. Buckland, David Ik Martin, Jennifer E. Cropley, and Catherine M. Suter. 2015. “Roll Over Weismann: Extracellular Vesicles in the Transgenerational Transmission of Environmental Effects.” Epigenomics. doi:10.2217/epi.15.58."|"She Has Her Mother's Laugh"|"Carl Zimmer"
13:44|13:44|"Finger, Stanley, and Shawn E. Christ. 2004. “Pearl S. Buck and Phenylketonuria (PKU).” Journal of the History of the Neurosciences 13:44–57."|"She Has Her Mother's Laugh"|"Carl Zimmer"
14:35|14:35|"Fischbach, Ruth L., and John D. Loike. 2014. “Maternal-Fetal Cell Transfer in Surrogacy: Ties That Bind.” American Journal of Bioethics 14:35-36."|"She Has Her Mother's Laugh"|"Carl Zimmer"
