"ap 05:00"|five|"The Surprise, in her present state, carried no Marines and a much smaller crew than a regular man-of-war of her rate - no landsmen, no boys, and very little in the way of gold lace and glory: but she did possess a drum, and at five bells in the forenoon watch, the ship being under a great spread of sail with the gentle, steady breeze one point free, the sky perfectly clear and Mount Pitt in Norfolk Island sharp on the horizon at twelve or thirteen leagues, West, the officer of the watch, said to Oakes, the mate of the watch, 'Beat to divisions.' Oakes turned to Pratt, a musically gifted seaman, and said, 'Beat to divisions,' whereupon Pratt brought his poised drumsticks down with a fine determination and the generale boomed and roared throughout the ship."|"Clarissa Oakes"|"Patrick O'Brian"
"ap 04:00"|four|"Clean shirt and shave for muster at five bells."" Long before this the forenoon watch had brought up their clothes-bags and had stowed them in a hollow square on the quarter deck abaft the wheel, leaving a space over the companion to let daylight into the cabin; and at four bells the watch nominally below brought up theirs and made a pyramid of them on the booms before the boats, not without a good deal of jocular shoving and calling out, laughter and jokes about Mr O in the middle watch. It would never have done for the Royal Navy, and some of the old man-of-war's men tried to quieten their privateer shipmates: but by the time their officers had lined them up, and by the time each had reported his division 'present, properly dressed and clean, sir' to Pullings they really looked quite presentable, and Pullings was able, with a clear conscience, to turn to Captain Aubrey, take off his hat, and say 'All the officers have reported, sir.'"|"Clarissa Oakes"|"Patrick O'Brian"
12:00|Noon|"Noon. The officers took their altitudes: Pullings reported that the sun was on the meridian: Jack allowed that it was twelve o'clock and that the new naval day might now begin. Eight bells struck; the hands hurried to their dinner; and a curious noise they made, not the muffled anxiety of the day before, but still restrained and as it were conspiratorial."|"Clarissa Oakes"|"Patrick O'Brian"
"ap 00:00"|"twelve o'clock"|"Noon. The officers took their altitudes: Pullings reported that the sun was on the meridian: Jack allowed that it was twelve o'clock and that the new naval day might now begin. Eight bells struck; the hands hurried to their dinner; and a curious noise they made, not the muffled anxiety of the day before, but still restrained and as it were conspiratorial."|"Clarissa Oakes"|"Patrick O'Brian"
02:00|"two in the morning"|"'Aye. And then there was the jolly-boat with another mid, the carpenter and eight men. The next division was made up of the gig, commanded by the surgeon, our friend M'Mullen's father, and 16 men . . . but I must not be too particular. Six boats in all, counting the two cutters. So they pulled along, each division in tow, and each boat with a distinct task. The jolly-boat for example was to board on the starboard quarter, cut the stern cable and send two men aloft to loose the mizen topsail. It was a dark night with a smooth sea and a breeze off the land and all went swimmingly until they were within a mile of the Hermione, when they were seen by two Spanish gunboats rowing guard. ""Be damned to them,"" said Hamilton. He cut the tow, gave three cheers and dashed straight for the frigate, confident that all the rest would follow him. But some of them, eager to be knocking Spaniards on the head, set about these wretched gunboats and Captain Hamilton and his boat's crew found themselves almost alone when they boarded on the starboard bow and cleared the forecastle. There was a tremendous din going on and they found to their astonishment that the Spaniards were at quarters below them blazing away with the great guns at some imaginary foe that had not yet arrived. So the Surprises made their way aft along the gangway for the quarterdeck, where they met with violent resistance. By now the Doctor and the gig's crew had boarded on the larboard bow, but forgetting that they were to rendezvous on the quarterdeck they went for the Spaniards on the gangway and cut them up most dreadfully; but this left Hamilton alone on the quarterdeck and four Spaniards knocked him down. Happily some Surprises darted aft and rescued him and a moment later the Marines boarded on the larboard gangway, formed, fired a volley down the after hatchway and then charged with fixed bayonets. But there were a very great many Spaniards aboard and it was still nip and tuck until the Surprises managed to cut the bower cable, whereupon they loosed the foretopsail and with the boats towing the Hermione stood out to sea. The batteries fired at her of course as long as she was in gunshot, but they only knocked away the gaff and some rigging; and by two in the morning she was out of range with all prisoners secured. In that bout the Surprise had no one killed and only twelve wounded, though the poor gunner - I knew him well - who steered the Hermione as she made her offing, was shockingly knocked about. The Spaniards, out of 365, had 119 killed and 97 wounded. Captain Hamilton was knighted, and after that the Surprise was nearly always allowed a third lieutenant, an unofficial but a customary indulgence.'"|"Clarissa Oakes"|"Patrick O'Brian"
12:00|noon|"East-north-east the frigate sailed, rarely exceeding a hundred miles a day between noon and noon in spite of perpetual close attention to her great array of canvas; but on a Sunday, immediately after church, the south-east trades returned to their duty, and although the royals and flying kites had been taken in, the Surprise awoke to a life she had not known since leaving Sydney Cove. Her deck sloped, she leant her larboard bow well down, overtaking the swell and splitting it with a fine broad slash of white. All the tones of the rigging - quite different for the various sets of stays, shrouds and backstays and of course for all the cordage - rose and rose, and by the first dog-watch the resultant voice of all these sounds combined and sent forth by the hull reached the triumphant pitch that Stephen associated with ten knots. The wind, blowing under a sky beautifully mottled with white and an even purer blue, brought with it flying spray, and an uncommon freshness. At two bells the log was heaved and to his intense satisfaction Stephen heard Oakes report 'Ten knots and one fathom, sir, if you please.'"|"Clarissa Oakes"|"Patrick O'Brian"
"ap 02:00"|two|"East-north-east the frigate sailed, rarely exceeding a hundred miles a day between noon and noon in spite of perpetual close attention to her great array of canvas; but on a Sunday, immediately after church, the south-east trades returned to their duty, and although the royals and flying kites had been taken in, the Surprise awoke to a life she had not known since leaving Sydney Cove. Her deck sloped, she leant her larboard bow well down, overtaking the swell and splitting it with a fine broad slash of white. All the tones of the rigging - quite different for the various sets of stays, shrouds and backstays and of course for all the cordage - rose and rose, and by the first dog-watch the resultant voice of all these sounds combined and sent forth by the hull reached the triumphant pitch that Stephen associated with ten knots. The wind, blowing under a sky beautifully mottled with white and an even purer blue, brought with it flying spray, and an uncommon freshness. At two bells the log was heaved and to his intense satisfaction Stephen heard Oakes report 'Ten knots and one fathom, sir, if you please.'"|"Clarissa Oakes"|"Patrick O'Brian"
12:00|noonday|"Well before the ship took her position by measuring the noonday height of the sun, almost all her company knew that the Doctor had checked Mr Davidge something cruel for speaking chuff in the first watch last night; had dragged him up and down the gunroom deck, flogging him with his gold-headed cane; had made him weep tears of blood. At this point Jack knew perfectly well that the dear Surprise was about to cross the tropic of Capricorn; but he had no notion of how her surgeon had savaged her second lieutenant."|"Clarissa Oakes"|"Patrick O'Brian"
12:00|noon|"Stephen was not infallible. He was by no means infallible. The tap at his door five minutes later was his patient, true to her hour. The coming feast had brought some colour into her cheeks and she looked very well, but in point of fact he found neither improvement nor deterioration in her physical state; and when the examination was over he said, 'We must persevere with the steel and bark; I believe I shall increase the dose a trifle, and I shall also send a little wine forward, to be drank medicinally, a glass at noon and two glasses in the evening.'"|"Clarissa Oakes"|"Patrick O'Brian"
"ap 02:00"|two|"Stephen was not infallible. He was by no means infallible. The tap at his door five minutes later was his patient, true to her hour. The coming feast had brought some colour into her cheeks and she looked very well, but in point of fact he found neither improvement nor deterioration in her physical state; and when the examination was over he said, 'We must persevere with the steel and bark; I believe I shall increase the dose a trifle, and I shall also send a little wine forward, to be drank medicinally, a glass at noon and two glasses in the evening.'"|"Clarissa Oakes"|"Patrick O'Brian"
12:00|noon|"Dr Maturin, properly uniformed, was propelled up the companion-ladder to the quarterdeck as the noon observation was in progress. He was somewhat astonished first by the flood of midday light after the shaded cabin and then by the colours all about him, high, low and on every hand, a variety of reds and yellows and blues, square, oblong, triangular, swallow-tailed, chequered, strangely brilliant after the eternal blue or grey, for the ship was now dressed over all, a splendid sight under a most luminous and perfect sky. There was just enough breeze to waft out all the flags and streamers that clothed the masts, yards and rigging - a startling multitude of them, blazing away there in the sun: the whole ship too was very fine, her hammock-cloths stretched to a gleaming white unwrinkled smoothness, everything exactly as a sailor could wish it, decks, guns, falls, a quarterdeck alive with gold lace, the gangways and forecastle filled with hands in high Sunday rig, duck trousers, bright blue brass-buttoned jackets, embroidered shirts, ribboned hats."|"Clarissa Oakes"|"Patrick O'Brian"
