"ap 01:00"|one|"In the early 1960s, defense and foreign policy circles were awash in seminars, meetings, reports, and courses trying to establish proper counterinsurgency policy and doctrine. At one influential multiagency seminar organized by the US Army and attended by Godel’s ARPA colleagues, a military researcher described the difficulty of fighting counterinsurgencies in a very direct manner: “The problem is… that we must operate in a strange cultural environment and influence persons with different cultural values, customs, mores, beliefs, and attitudes.” He concluded with a stark statement: “The same bullet will kill with just about the same effectiveness whether used against a target in the United States, Africa, or Asia. However, the effectiveness of the counterinsurgency weapon is dependent upon the specific target.”57"|"Surveillance Valley"|"Yasha Levine"
07:00|"7:00 a.m."|"At precisely 7:00 a.m. on August 29, 1949, engineers sitting in a fortified bunker on the isolated steppes of the Kazakh Soviet Socialist Republic threw a switch and detonated the first Soviet nuclear bomb: First Lightning, codename RDS-1.4 The bomb was set up on a wooden tower surrounded by mock buildings and industrial and military machinery trucked there to test the effects of the blast: a T-34 tank, brick buildings, a metal bridge, a small section of a railroad complete with railroad cars, automobiles, trucks, field artillery, an airplane, and over a thousand different live animals—dogs, rats, pigs, sheep, guinea pigs, and rabbits—tied down in trenches, behind walls, and inside vehicles."|"Surveillance Valley"|"Yasha Levine"
00:00|Midnight|"51. John T. Halliday, Flying through Midnight: A Pilot’s Dramatic Story of His Secret Missions over Laos during the Vietnam War (New York: Charles Scribner’s Sons, 2005)."|"Surveillance Valley"|"Yasha Levine"
12:00|"00 p.m."|"80. Weinberger, Imagineers of War, chap. 8, “Shortly before 10: 00 p.m., the foreman sent a message to the judge…”"|"Surveillance Valley"|"Yasha Levine"
15:04|15:04|"18. “Steve Jobs’ Commencement address,” YouTube video, 15:04, June 12, 2005, posted March 7, 2008, https://www.youtube.com/watch?v=UF8uR6Z6KLc."|"Surveillance Valley"|"Yasha Levine"
15:04|15:04|"37. “When I was young, there was an amazing publication called the Whole Earth Catalog, which was one of the bibles of my generation. It was created by a fellow named Stewart Brand not far from here in Menlo Park and he brought it to life with his poetic touch. This was in the late 60s, before personal computers and desktop publishing so it was all made with typewriters, scissors, Polaroid cameras. It was sort of like Google in paperback form, 35 years before Google came along. It was idealistic, overflowing with neat tools and great notions. Stewart and his team put out several issues of the Whole Earth Catalog and then when it had run its course, they put out a final issue. It was the mid-1970s and I was your age. On the back cover of their final issue was a photograph of an early morning country road. The kind you might find yourself hitchhiking on if you were so adventurous. Beneath it were the words: stay hungry, stay foolish. It was their farewell message as they signed off. Stay hungry, stay foolish. And I have always wished that for myself,” said Steve Jobs at a commencement speech he gave at Stanford University in 2005. “Steve Jobs’ Commencement address,” YouTube video, 15:04, June 12, 2005, posted March 7, 2008, https://www.youtube.com/watch?v=UF8uR6Z6KLc."|"Surveillance Valley"|"Yasha Levine"
"ap 02:27"|2:27|"37. “Google CEO Larry Page: NSA Actions Threaten Democracy,” YouTube video, 2:27, from CBS This Morning, televised March 20, 2014, https://www.youtube.com/watch?v=IE99DtJmyaA."|"Surveillance Valley"|"Yasha Levine"
12:25|"12:25 pm"|"66. They posed for a photo at the thirtieth TED event, held in Vancouver, Canada. Chris Anderson (@TEDchris), Twitter post, March 18, 2014, 12:25 pm, http://web.archive.org/web/20170522131119/https:/twitter.com/TEDchris /status/446004368844652545."|"Surveillance Valley"|"Yasha Levine"
"ap 03:59"|3:59|"71. “Q&A Marathon with Jacob Appelbaum and Roger Dingledine,” YouTube video, 3:59:35, filmed July 24, 2013, at Technical University of Munich, posted by zerwas2ky, July 31, 2013, https://www.youtube.com/watch?v=c6ja_0X9gyg."|"Surveillance Valley"|"Yasha Levine"
11:19|"11:19 am"|"76. Anonymous (@YourAnonNews), Twitter post, November 24, 2014, 11:19 am, https://surveillancevalley.com/content/citations/youranonnews-twitter-24-november-2014.png."|"Surveillance Valley"|"Yasha Levine"
"ap 01:45"|1:45|"77. After Edward Snowden appeared on the scene in 2013, Fight for the Future launched several antisurveillance campaigns, including helping organize a big anti-NSA rally in Washington, DC, on October 5, 2013. In the summer of 2014, it launched Reset the Net, which promised to be a global protest campaign to end online surveillance (“Reset the Net: June 5, 2014,” Fight for the Future, accessed July 6, 2017, https://www.resetthenet.org/). One of the main tools Reset the Net offered participants as part of its “NSA-proof Privacy Pack”: the Tor Project (“June 5th, 2014: Reset the Net,” YouTube video, 1:45, posted by Fight for the Future, March 8, 2014, https://www.youtube.com/watch?v=gaH3thsKv2o). Fight for the Future is funded by Silicon Valley (Chris Ruen, Freeloading: How Our Insatiable Appetite for Free Content Starves Creativity [New York: OR Books, 2012])."|"Surveillance Valley"|"Yasha Levine"
08:21|"8:21 am"|"83. Here are a few examples of influential privacy personalities telling people to ignore my reporting: “I don’t have time for jerks who use that nonsense to service their other agenda. Boring waste of time,” Tor developer Jacob Appelbaum tweeted (@ioerror, Twitter post, October 26, 2014, 8:21 am, http://web.archive.org/web/20150623005502/https:/twitter.com/ioerror/status/526393121630740480). Jillian York, director for International Freedom of Expression at the Electronic Frontier Foundation, also counseled her forty-five thousand Twitter followers to ignore my story: “yeah I just don’t see the news here,” she tweeted. “it seems like only 15 or so people have bothered to tweet the article, so…” (@jilliancyork, Twitter post, July 17, 2014, 14:49 am, http://web.archive.org/web/20150623005501/https:/twitter.com/jilliancyork/status/489678221185536000). “I wish all the @torproject conspiracy theorists would just read the damn website,” tweeted Morgan Marquis-Boire, former Google security developer and now technologist at The Intercept (@headhntr, Twitter post, July 28, 2014, 5:51 am, http://web.archive.org/web/20150623005513/https:/twitter.com/headhntr/status/493740639927156737)."|"Surveillance Valley"|"Yasha Levine"
14:49|"14:49 am"|"83. Here are a few examples of influential privacy personalities telling people to ignore my reporting: “I don’t have time for jerks who use that nonsense to service their other agenda. Boring waste of time,” Tor developer Jacob Appelbaum tweeted (@ioerror, Twitter post, October 26, 2014, 8:21 am, http://web.archive.org/web/20150623005502/https:/twitter.com/ioerror/status/526393121630740480). Jillian York, director for International Freedom of Expression at the Electronic Frontier Foundation, also counseled her forty-five thousand Twitter followers to ignore my story: “yeah I just don’t see the news here,” she tweeted. “it seems like only 15 or so people have bothered to tweet the article, so…” (@jilliancyork, Twitter post, July 17, 2014, 14:49 am, http://web.archive.org/web/20150623005501/https:/twitter.com/jilliancyork/status/489678221185536000). “I wish all the @torproject conspiracy theorists would just read the damn website,” tweeted Morgan Marquis-Boire, former Google security developer and now technologist at The Intercept (@headhntr, Twitter post, July 28, 2014, 5:51 am, http://web.archive.org/web/20150623005513/https:/twitter.com/headhntr/status/493740639927156737)."|"Surveillance Valley"|"Yasha Levine"
05:51|"5:51 am"|"83. Here are a few examples of influential privacy personalities telling people to ignore my reporting: “I don’t have time for jerks who use that nonsense to service their other agenda. Boring waste of time,” Tor developer Jacob Appelbaum tweeted (@ioerror, Twitter post, October 26, 2014, 8:21 am, http://web.archive.org/web/20150623005502/https:/twitter.com/ioerror/status/526393121630740480). Jillian York, director for International Freedom of Expression at the Electronic Frontier Foundation, also counseled her forty-five thousand Twitter followers to ignore my story: “yeah I just don’t see the news here,” she tweeted. “it seems like only 15 or so people have bothered to tweet the article, so…” (@jilliancyork, Twitter post, July 17, 2014, 14:49 am, http://web.archive.org/web/20150623005501/https:/twitter.com/jilliancyork/status/489678221185536000). “I wish all the @torproject conspiracy theorists would just read the damn website,” tweeted Morgan Marquis-Boire, former Google security developer and now technologist at The Intercept (@headhntr, Twitter post, July 28, 2014, 5:51 am, http://web.archive.org/web/20150623005513/https:/twitter.com/headhntr/status/493740639927156737)."|"Surveillance Valley"|"Yasha Levine"
