"ap 05:09"|"Five nine"|"“How tall are you, Renault?”
“Five nine,” he gasped, still fighting for breath.
“Weight?”"|"The Chocolate War"|"Robert Cormier"
"ap 01:45"|"One forty-five"|"“Weight?”
“One forty-five,” he said, looking the coach straight in the eye.
“Soaking wet, I’ll bet,” the coach said sourly. “What the hell you want to play football for? You need more meat on those bones. What the hell you trying to play quarterback for? You’d make a better end. Maybe.”"|"The Chocolate War"|"Robert Cormier"
"ap 03:00"|"Three o’clock"|"“All right,” the coach said in disgust. “Show up tomorrow. Three o’clock sharp or you’re through before you start.”"|"The Chocolate War"|"Robert Cormier"
"ap 04:00"|"four o’clock"|"“Right,” Obie said, scrawling the name. Only two more to go. Archie had to come up with ten names by four o’clock and eight were now listed on Obie’s pad."|"The Chocolate War"|"Robert Cormier"
"ap 08:00"|eight|"“Right,” Obie said, scrawling the name. Only two more to go. Archie had to come up with ten names by four o’clock and eight were now listed on Obie’s pad."|"The Chocolate War"|"Robert Cormier"
02:30|Vigils|"“Jeez, no,” Obie said quickly. He shivered with dread, realizing how awesome Archie’s power really was. Which is why you had to stay on the good side of the bastard. Buy him Hersheys all the time to satisfy his craving for chocolate. Thank God Archie didn’t go in for pot or that stuff—Obie would have had to become a pusher, for crying out loud, to supply him. Obie was officially the secretary of The Vigils but he knew what the job really demanded. Carter, the president who was almost as big a bastard as Archie, said, “Keep him happy, when Archie’s happy, we’re all happy.”"|"The Chocolate War"|"Robert Cormier"
"ap 04:00"|four|"“I’ll think of something.”
“You’ve only got till four,” Obie reminded.
“The assignment must fit the kid. That’s the beauty of it, Obie.”"|"The Chocolate War"|"Robert Cormier"
02:30|Vigils|"Obie looked down at the field where the guys were skirmishing in the shadow of the goal posts. Sadness seized him. I should have gone out for football, he thought. He had wanted to—he’d been hot stuff with Pop Warner at St. Joe’s. Instead, he had ended up as Secretary of The Vigils. Cool. But, hell, he couldn’t even tell his parents about it."|"The Chocolate War"|"Robert Cormier"
"ap 04:00"|"four o’clock"|"The shadows of the goal posts definitely resembled a network of crosses, empty crucifixes. That’s enough symbolism for one day, Obie told himself. If he hurried he could make the four o’clock bus to work."|"The Chocolate War"|"Robert Cormier"
02:30|Vigils|"“My help?” Archie asked, feigning surprise, trying to keep any trace of mockery out of his voice. He knew now why he was here. Leon didn’t mean Archie’s help—he meant the help of The Vigils. And didn’t dare put in into words. No one was allowed to breathe a word about The Vigils. Officially, The Vigils did not exist. How could a school condone an organization like The Vigils? The school allowed it to function by ignoring it completely, pretending it wasn’t there. But it was there, all right, Archie thought bitterly. It was there because it served a purpose. The Vigils kept things under control. Without The Vigils, Trinity might have been torn apart like other schools had been, by demonstrations, protests, all that crap. Archie was surprised by Leon’s audacity, knowing his connection with The Vigils and bringing him in here this way."|"The Chocolate War"|"Robert Cormier"
02:30|Vigils|"“But how can I help?” Archie asked, turning the screw, emphasizing the singular of himself and not the plural of The Vigils."|"The Chocolate War"|"Robert Cormier"
