15:00|"three o’clock in the afternoon"|"And now the Rolex said three o’clock in the afternoon. I needed  some time to think, to consider the situation, figure out my next move. I fingered the buttons on my cell phone, flipped through my list of contacts, but I already knew I wouldn’t call anyone. Maybe Jen and I could still fix this thing, and if we did, we wouldn’t want anyone looking at us funny. I knew irrevocable damage had been done, innocence had been lost, trust slaughtered, but still, it was the age-old conundrum: If a wife sleeps with a boss, but no one finds out about it, did it actually happen? There was no one to call, no friends who weren’t also connected to Jen. I thought about calling my mother, but my father was in a coma and she had enough to deal with. My life was in a free fall, and there was nowhere to turn. A cold sense of desolation lodged itself somewhere in the base of my throat, and suddenly I was no longer enraged or devastated, but terrified of the immense, throbbing loneliness that was only now closing like a vise on my internal organs."|"This Is Where I Leave You"|"Jonathan Tropper"
12:15|"12:15 p.m."|"Chapter 4
12:15 p.m.
"|"This Is Where I Leave You"|"Jonathan Tropper"
13:55|"1:55 p.m."|"Chapter 5
1:55 p.m.
"|"This Is Where I Leave You"|"Jonathan Tropper"
14:07|"2:07 p.m."|"
2:07 p.m.
"|"This Is Where I Leave You"|"Jonathan Tropper"
14:30|"2:30 p.m."|"
2:30 p.m.
"|"This Is Where I Leave You"|"Jonathan Tropper"
15:43|"3:43 p.m."|"Chapter 7
3:43 p.m.
"|"This Is Where I Leave You"|"Jonathan Tropper"
16:02|"4:02 p.m."|"
4:02 p.m.
"|"This Is Where I Leave You"|"Jonathan Tropper"
19:45|"7:45 p.m."|"Chapter 8
7:45 p.m.
"|"This Is Where I Leave You"|"Jonathan Tropper"
20:30|"8:30 p.m."|"
8:30 p.m.
"|"This Is Where I Leave You"|"Jonathan Tropper"
21:05|"9:05 p.m."|"Chapter 9
9:05 p.m.
"|"This Is Where I Leave You"|"Jonathan Tropper"
22:30|"10:30 p.m."|"
10:30 p.m.
"|"This Is Where I Leave You"|"Jonathan Tropper"
23:06|"11:06 p.m."|"
11:06 p.m.
"|"This Is Where I Leave You"|"Jonathan Tropper"
07:43|"7:43 a.m."|"
7:43 a.m.
"|"This Is Where I Leave You"|"Jonathan Tropper"
08:25|"8:25 a.m."|"Chapter 11
8:25 a.m.
"|"This Is Where I Leave You"|"Jonathan Tropper"
10:00|"10:00 a.m."|"
10:00 a.m.
"|"This Is Where I Leave You"|"Jonathan Tropper"
11:30|"11:30 a.m."|"Chapter 12
11:30 a.m.
"|"This Is Where I Leave You"|"Jonathan Tropper"
14:30|"2:30 p.m."|"Chapter 13
2:30 p.m.
"|"This Is Where I Leave You"|"Jonathan Tropper"
19:00|"7:00 p.m."|"Chapter 15
7:00 p.m.
"|"This Is Where I Leave You"|"Jonathan Tropper"
20:15|"8:15 p.m."|"
8:15 p.m.
"|"This Is Where I Leave You"|"Jonathan Tropper"
20:42|"8:42 p.m."|"Chapter 16
8:42 p.m.
"|"This Is Where I Leave You"|"Jonathan Tropper"
20:50|"8:50 p.m."|"
8:50 p.m.
"|"This Is Where I Leave You"|"Jonathan Tropper"
02:00|"2:00 a.m."|"Chapter 17
2:00 a.m.
"|"This Is Where I Leave You"|"Jonathan Tropper"
08:25|"8:25 a.m."|"Chapter 18
8:25 a.m.
"|"This Is Where I Leave You"|"Jonathan Tropper"
09:37|"9:37 a.m."|"
9:37 a.m.
"|"This Is Where I Leave You"|"Jonathan Tropper"
10:00|"10:00 a.m."|"Chapter 19
10:00 a.m.
"|"This Is Where I Leave You"|"Jonathan Tropper"
10:12|"10:12 a.m."|"Chapter 20
10:12 a.m.
"|"This Is Where I Leave You"|"Jonathan Tropper"
11:25|"11:25 a.m."|"Chapter 22
11:25 a.m.
"|"This Is Where I Leave You"|"Jonathan Tropper"
11:45|"11:45 a.m."|"Chapter 23
11:45 a.m.
"|"This Is Where I Leave You"|"Jonathan Tropper"
12:20|"12:20 p.m."|"
12:20 p.m.
"|"This Is Where I Leave You"|"Jonathan Tropper"
12:55|"12:55 p.m."|"
12:55 p.m.
"|"This Is Where I Leave You"|"Jonathan Tropper"
13:00|"1:00 p.m."|"
1:00 p.m.
"|"This Is Where I Leave You"|"Jonathan Tropper"
13:35|"1:35 p.m."|"
1:35 p.m.
"|"This Is Where I Leave You"|"Jonathan Tropper"
15:20|"3:20 p.m."|"Chapter 24
3:20 p.m.
"|"This Is Where I Leave You"|"Jonathan Tropper"
15:50|"3:50 p.m."|"
3:50 p.m.
"|"This Is Where I Leave You"|"Jonathan Tropper"
16:20|"4:20 p.m."|"Chapter 25
4:20 p.m.
"|"This Is Where I Leave You"|"Jonathan Tropper"
20:45|"8:45 p.m."|"Chapter 26
8:45 p.m.
"|"This Is Where I Leave You"|"Jonathan Tropper"
20:54|"8:54 p.m."|"
8:54 p.m.
"|"This Is Where I Leave You"|"Jonathan Tropper"
21:30|"9:30 p.m."|"Chapter 27
9:30 p.m.
"|"This Is Where I Leave You"|"Jonathan Tropper"
21:50|"9:50 p.m."|"
9:50 p.m.
"|"This Is Where I Leave You"|"Jonathan Tropper"
22:25|"10:25 p.m."|"
10:25 p.m.
"|"This Is Where I Leave You"|"Jonathan Tropper"
23:55|"11:55 p.m."|"
11:55 p.m.
"|"This Is Where I Leave You"|"Jonathan Tropper"
